title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride offered - st louis to allentown on mon 11/19 (st louis),stlouis,http://stlouis.craigslist.org/rid/3417944820.html,"i'm offering a ride from st louis to allentown. 
leaving november 19th. non stop drive from lake of the ozarks, mo to allentown, pa. (through indianapolis, columbus, pittsburgh, etc.) driving i-70 the entire route. only room for one (1) passenger. mu [...]",2012-11-18T05:54:40-06:00,emailnotfound
s & e hauling & delivery (alton il),stlouis,http://stlouis.craigslist.org/rid/3400328364.html,"you call - we haul-----&gt; ride, hauling & delivery service - based out of alton il. 
pickup & hauling fees are negoitiable - then $1 per mile anywhere 
if you need a ride, or something moved, hauled, delivered: give us a call: (618) 401-9783",2012-11-17T22:38:34-06:00,emailnotfound
"ride offered to laredo n back (st louis, mo)",stlouis,http://stlouis.craigslist.org/rid/3417620440.html,"i plan on leaving sunday evening , i work until 4pm sunday, 
will be stopping at nueva laredo for 1 hr, (not an extended stay at all) driving in my jeep wrangler, so not the most comfortable ride, and only 16mpg, so if anyone can help! looking to sav [...]",2012-11-17T21:59:11-06:00,emailnotfound
reindeer ranch anyone? (stl &amp; il),stlouis,http://stlouis.craigslist.org/rid/3417610517.html,"i'd really like to go to reindeer ranch in illinois around christmas time this year, the 25th or any time through the end of december. i don't drive though so would be really awesome to find some other college age peoples who would like to go too who [...]",2012-11-17T21:50:52-06:00,emailnotfound
monday 11/19 early am st louis to columbia,stlouis,http://stlouis.craigslist.org/rid/3407843940.html,"i am leaving st louis around 7:30 am to 8:00 am monday 11/19 to go to the columbia mo area 
(meaning any place between st louis and columbia) . for $30.00 for fuel i will take you anywhere 
in the columbia area. if interested call jim for arrangement [...]",2012-11-17T19:26:27-06:00,emailnotfound
phoenix bound! monday or tuesday (st. louis to phoenix az),stlouis,http://stlouis.craigslist.org/rid/3417194198.html,"hello everyone! i will be passing through st. louis from chicago on monday or tuesday afternoon and will be heading southwest with a final destination of phoenix, az. i have three available spots in my clean, luxurious car and could use the good comp [...]",2012-11-17T17:27:29-06:00,emailnotfound
"room for cargo and animals..atlanta bound!! (st. louis, nashville, atl)",stlouis,http://stlouis.craigslist.org/rid/3416677724.html,"hi, 
we are leaving houston tomorrow morning (friday) and heading to atlanta for the holidays. we will be passing through oklahoma city, st. louis missouri, fayetteville and romance arkansas, nashville tennessee and atlanta. we have room for cargo an [...]",2012-11-17T13:35:49-06:00,emailnotfound
need ride from st. louis to fl (ready to roll and will pay for gas! :)),stlouis,http://stlouis.craigslist.org/rid/3416509408.html,"my husband and son need a ride from stl to florida (any city in fl will do! we'll pick them up on this end!) they have money for gas! they're hoping to come home for thanksgiving to visit with the ""army grandkids"" before they move to wa state! please [...]",2012-11-17T12:30:22-06:00,emailnotfound
"if you need a rides work, errands, airport, etc. call (stl / metro)",stlouis,http://stlouis.craigslist.org/rid/3416376530.html,"i offer transportation to appointments, airport, work and everything inbetween. 
15 hr/ plus gas call for appointment...safe and friendly service. 
314 801 4545 ",2012-11-17T11:39:53-06:00,emailnotfound
"if you need a rides work, errands, airport, etc. call  (stl / metro)",stlouis,http://stlouis.craigslist.org/rid/3416374897.html,"i offer transportation to appoints, airport, work and everything inbetween. 
15 hr/ plus gas call for appointment...safe and friendly service. 
314 801 4545",2012-11-17T11:39:16-06:00,emailnotfound
ride needed - st louis to denver on mon 12/17 (st louis),stlouis,http://stlouis.craigslist.org/rid/3416298870.html,"i'm looking for a ride from st louis to denver. 
leaving december 17th returning december 17th. laid back 50 tears young , good conversation well traveled thought i would give this a try contact me on zimride: http://www.zimride.com/ride/share?ride=5 [...]",2012-11-17T11:10:06-06:00,emailnotfound
"st. louis to pensacola / mobile and back (st. louis, pensacola, mobile)",stlouis,http://stlouis.craigslist.org/rid/3414745468.html,"i will be driving to pensacola end of november. leaving day and time open...but i am thinking 11/22 evening, after thanksgiving dinners. otherwise friday 11/23 or any day/time thru tuesday 11/27. then i would be returning to st. louis in 1-2 days aft [...]",2012-11-16T16:00:56-06:00,emailnotfound
needing a ride!!!! north 270 - manchester & 141 (pershall/nhanley - manchester/ 141),stlouis,http://stlouis.craigslist.org/rid/3414621830.html,"i'm needing a ride to work & home my cars head gasket blew yesterday...please contact me if your able to help me out...i'm willing to pay for gas! 
636-487-2488",2012-11-16T15:10:31-06:00,emailnotfound
ride needed to nashville - end of november,stlouis,http://stlouis.craigslist.org/rid/3414239467.html,couple needs a ride to nashville (tn) last days of november (28 or 29). you can collect us around springfield (mo) or let us know where. ,2012-11-16T12:44:42-06:00,emailnotfound
need ride from st. charles to cape girardeau (st. charles to cape),stlouis,http://stlouis.craigslist.org/rid/3413918779.html,"i'm looking for a ride from st. charles to cape girardeau for 2 medium-sized bags of baby clothes for my friend. nothing fishy, you can inspect everything. gas $ offered. anytime between 11/17/12-1/1/13. the sooner, the better.",2012-11-16T10:48:18-06:00,emailnotfound
"ride offered: stl. to breckenridge, co (stl city)",stlouis,http://stlouis.craigslist.org/rid/3413618919.html,"boy and dog headed west late sunday evening. planning on driving through the night to arrive monday morning. room for one or two people with stuff. 
car is a honda civic, but perhaps we can work it out somehow if you have lots of stuff or a dog. 
wou [...]",2012-11-16T08:43:29-06:00,emailnotfound
"driving to madison, wi for thanksgiving",stlouis,http://stlouis.craigslist.org/rid/3413132049.html,"hello! 
i'm driving to madison, wi for thanksgiving next week. i plan on leaving either tuesday evening or wednesday morning and i'm looking for someone to join me. i do expect a bit of sharing on the gas bill, and i might ask you to drive a little t [...]",2012-11-15T23:17:16-06:00,emailnotfound
ride offered--stl to new orleans (united states),stlouis,http://stlouis.craigslist.org/rid/3413128771.html,"leaving for new orleans on friday (11/16). hoping to leave late afternoon and drive through the night, looking to share the cost of gas! can take two people",2012-11-15T23:14:23-06:00,emailnotfound
stl to des moines fri,stlouis,http://stlouis.craigslist.org/rid/3410294721.html,"driving from st. louis to des moines, ia friday 16 nov evening. leaving around 5:30 or 6 pm from south city, will return sometime late afternoon on sunday. help with gas, and we can't smoke in my car. email me with your phone number if interested.",2012-11-14T17:50:48-06:00,emailnotfound
ride offered - st louis to denver on wed 11/14 (st louis),stlouis,http://stlouis.craigslist.org/rid/3408769368.html,"i'm offering a ride from st louis to denver. 
leaving november 14th. contact me on zimride: http://www.zimride.com/ride/share?ride=530685 ",2012-11-14T07:13:15-06:00,emailnotfound
