title,postingFrom,permalink,shortDescription,postingDate,mailToLink
rides to casino from east syracuse area only,syracuse,http://syracuse.craigslist.org/rid/3416260685.html,"rides to casino 
weekdays after 3 till 10 /saturdays all day/sundays closed til february 
east syracuse or dewitt to casino $60 (one way) 
for both ways ($100) - 3 hour maximum $10 every hour after (max. total of 5) 
please call 315 741 8521 (don't t [...]",2012-11-17T11:55:06-05:00,emailnotfound
jack's town car service  ((syracuse and greater central ny),syracuse,http://syracuse.craigslist.org/rid/3350737386.html,"make your shopping and appointments easier. 
jack's town car service at taxi-cab prices. 
drop off and pick up. 
prompt, courteous and clean. 
call jack @ 315-450-2313 ",2012-11-16T09:59:35-05:00,emailnotfound
cheap travel by bus to any state or city,syracuse,http://syracuse.craigslist.org/rid/3401006654.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T18:02:14-05:00,emailnotfound
need a ride (syracuse),syracuse,http://syracuse.craigslist.org/rid/3412386787.html,"need a ride to ithaca on saturday november 17! 
willing to share gas cost! ",2012-11-15T17:16:14-05:00,emailnotfound
ride needed syr-nyc flexible dates,syracuse,http://syracuse.craigslist.org/rid/3411459696.html,"hello! 
i'm a grad student looking for a ride from syracuse to nyc...and back. i'm flexible on dates..could leave sunday the 18th or monday the 19th, returning sat 24th or sun 25th. i will split costs, can help navigate or drive if wanted. 
thank you [...]",2012-11-15T11:14:37-05:00,emailnotfound
need a ride - syracuse to greece/rochester - sat. 11/24 (syracuse),syracuse,http://syracuse.craigslist.org/rid/3411373372.html,"i'm a student and i need a ride from syracuse to greece/rochester on saturday, november 24. 
i could also do with a return ride on sunday, november 25 if possible :) 
i can pay, etc. if you want to know more about me (whether i'm human, if i'm safe,  [...]",2012-11-15T10:38:12-05:00,emailnotfound
"airport,bus train shuttle,dd (syracuse)",syracuse,http://syracuse.craigslist.org/rid/3403408271.html,"students and residents im offering rides to the airport, or regional transportation center, most mornings and evenings, also will travel to rochester buffalo airport. reasonable rates. can fit up to 6 ppl in nice comfortable van. fully insured. pleas [...]",2012-11-14T19:12:26-05:00,emailnotfound
rideshare: syracuse to maine or maine to syracuse (syracuse),syracuse,http://syracuse.craigslist.org/rid/3409973875.html,"i am a technical professional working in the rochester, ny area but live in the portland, maine area. 
on wednesday, 11/21 i will be driving from rochester, ny to maine, leaving very early in the afternoon. i will be returning from maine to rochester [...]",2012-11-14T16:30:16-05:00,emailnotfound
"dayton, ohio - thanksgiving - need ride (syracuse, ny)",syracuse,http://syracuse.craigslist.org/rid/3362155436.html,"i need a ride to dayton (ohio) for thanksgiving. roundtrip would be great. i will help pay for gas. flexible travel times for me. male, non-smoker. will help drive, too. dayton, springfield, or columbus area. thanks!",2012-11-14T13:41:24-05:00,emailnotfound
cny to n.c. and back turkey week (sterling ny),syracuse,http://syracuse.craigslist.org/rid/3408845161.html,headed down to corolla nc for a week starting 11/17 returning 11/24. just looking for help with gas. extra seat and luggage room available. give us a call with questions 315 515 8749 - keith,2012-11-14T09:06:40-05:00,emailnotfound
