title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"ground transportation to/from treasure coast (port saint lucie, fl)",treasure,http://treasure.craigslist.org/rid/3398383409.html,"if you need a ride at a very good price to either an airport or seaport for your travel needs, call john picano of anyplace anytime transportation who is the original owner since 1976, fully insured and commercial licensed for your safety and assuran [...]",2012-11-18T01:10:26-05:00,emailnotfound
south florida airport service (treasure coast),treasure,http://treasure.craigslist.org/rid/3356285137.html,"port st. lucie, fort pierce, stuart, jensen beach, vero beach, hutchinson island, indian town 
affordable transportation! for all your transportation needs! 
please call for prices and reservations at 561-416-0122!!!",2012-11-17T21:50:09-05:00,emailnotfound
safe driver available now (psl and beyond),treasure,http://treasure.craigslist.org/rid/3398155818.html,"rides available for running errands, shopping,to and from work or school, dr. appts. wherever you need to go, i will be on time and get you there or there and back safely. very low rates determined by pick up location and driving distance. e-mail me  [...]",2012-11-17T14:01:56-05:00,emailnotfound
45 dollar west palm beach international  airport runs 772 940 6955,treasure,http://treasure.craigslist.org/rid/3416554938.html,we also go to orlando for 110 and miami for 110 dollars fort lauderdale for 100 dollars west palm beach amtrack and tri rail station for 45 dollars and fort pierce greyhound for 20 dollars this is a really great service we have been in bussiness for  [...],2012-11-17T13:47:54-05:00,emailnotfound
5 dollar taxi  cab ride mininmum (port st lucie stuart jensen beach),treasure,http://treasure.craigslist.org/rid/3416550545.html,just call tim designated driver service 772 940 6955 alll prices are made by negotiatian and we are a 24 hour service. thanks and have a great day.,2012-11-17T13:46:13-05:00,emailnotfound
airport rides (port saint lucie area),treasure,http://treasure.craigslist.org/rid/3359452796.html,need a ride to the airport for a reasonable cost? call a commercial licensed and fully insured driver for your next ride. visit our site at http://www.pslshuttleservice.weebly.com for more information and a discount coupon that you can print up. call [...],2012-11-17T00:48:01-05:00,emailnotfound
i will drive you wherever you need to go (psl and wherever else),treasure,http://treasure.craigslist.org/rid/3348891740.html,"i am offering safe, comfortable rides wherever you need to go, grocery store, errands, work or school, dr. or dentist appointments, banks, wal-mart, you name it, i will take you there or there and back home safely for the lowest rate you will find, i [...]",2012-11-16T16:28:57-05:00,emailnotfound
"need to get to orlando from vero beach (vero beach, fl)",treasure,http://treasure.craigslist.org/rid/3414534666.html,"i need to find a ride to west orlando from vero beach. i moved out here a couple of months ago and had no luck finding a job and i have to move out by the end of the month. i have minimal items and a dog, if you can help me get back home please conta [...]",2012-11-16T15:36:00-05:00,emailnotfound
personal driver (sebastian),treasure,http://treasure.craigslist.org/rid/3413769853.html,"i'm a 58 year old man that is dependable and responsible. available for part or full time. i'm a former police officer. email me your needs and contact information and i'll get back to you promptly. i will also transport your car, truck/rental truck  [...]",2012-11-16T10:51:02-05:00,emailnotfound
treasure coast driving jobs available (treasure coast and surrounding area),treasure,http://treasure.craigslist.org/rid/3398940319.html,"are you in need of a straight forward, rewarding job? boomerang transport is currently hiring drivers to provide rides for injured workers to and from their physical therapy/doctors appointments. 
here are our minimum requirements: 
you must be a mot [...]",2012-11-16T10:22:36-05:00,emailnotfound
need a ride to the airport? (treasure coast),treasure,http://treasure.craigslist.org/rid/3357761610.html,"if you need a ride to anyplace at anytime---especially to airports and cruise ports, just give us a call for reasonable rates. call john picano in psl at 772-985-5100. also check out http://www.pslshuttleservice.weebly.com for more information and a  [...]",2012-11-16T01:31:12-05:00,emailnotfound
"$10 one way! professional personal driver available! vero, sebastian~ (since 2009~grocery store~banks~airports!)",treasure,http://treasure.craigslist.org/rid/3381209500.html,"since 2009~grocery store~banks~airports! 
royal coach of vero beach! 
professional personal driver service available in private lincoln town car cartier or cadillac!.... 
available to take you to your doctor appointments, grocery store, banks, around [...]",2012-11-15T11:44:54-05:00,emailnotfound
local rides to/from airports and seaports (treasure coast and south),treasure,http://treasure.craigslist.org/rid/3400026988.html,"going somewhere but don't want to drive there yourself? leave the driving to us and relax! 
if you need a ride to anyplace at anytime---especially to airports and cruise ports to or from the treasure coast, just give us a call for the most reasonable [...]",2012-11-15T11:39:19-05:00,emailnotfound
low cost rides to fp greyhound (treasure coast),treasure,http://treasure.craigslist.org/rid/3349981566.html,"i will quote the lowest price that is possible considering the gas prices and your location to or from the greyhound bus station in fort pierce. 
call me or reply to this ad for a quote. 
772-971-2791",2012-11-15T10:36:37-05:00,emailnotfound
