title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride needed (gooding or twinfalls to nampa),twinfalls,http://twinfalls.craigslist.org/rid/3415776174.html,i need a ride from gooding to nampa on sunday or monday (18/19). i will be happy to contribute $35 to gas if i can be picked from gooding otherwise i will split gas...,2012-11-17T05:27:14-07:00,emailnotfound
ride offer to las vegas (twin falls to las vegas),twinfalls,http://twinfalls.craigslist.org/rid/3413718852.html,i am leaving from twinfalls to las vegas saturday night or sunday morning ( nov 17/18) . lucury suv. space available for one or two people. share gas costs. text me at 208961706 asap or email me ( no calls please) ,2012-11-16T08:29:42-07:00,emailnotfound
"heading to boise! (wy, mt, id)",twinfalls,http://twinfalls.craigslist.org/rid/3412304890.html,"hello, i'm heading home to nampa, idaho from sheridan, wy. i'm taking the 90 east through billings, bozman, idaho falls, twin, and to boise. if you an help out a little with gas you have a ride. plan on leaving friday morning. give me a call or email [...]",2012-11-15T14:40:59-07:00,emailnotfound
id/la thanksgiving trip/ride (sun valley to la and return),twinfalls,http://twinfalls.craigslist.org/rid/3393415970.html,driving from sv to la via us93/i-15 for thanksgiving.. have room available both going and returning. leaving sat 11/17 and returning 11/27. share gas/driving. twooheight-seven21-ten74. ,2012-11-12T20:37:27-07:00,emailnotfound
offer!! (twin falls to ashland),twinfalls,http://twinfalls.craigslist.org/rid/3381680102.html,"we are going from twin falls-boise-burns-riley-lakeview-klamath falls-ashland-applegate-murphy-cave junction-takilma-happy camp-somes bar-forks of salmon 
we are in a van! we can take any living creatures, bikes, you name it! we plan to travel slow,  [...]",2012-11-02T10:38:35-06:00,emailnotfound
a to b services..new transportation in town (magic valley),twinfalls,http://twinfalls.craigslist.org/rid/3375357400.html,"hello, my name is blanca and i have just started working for a transportation company named a to b services that is based out of rupert, id. i will be working in the magic valley transporting to and from appointments, errands, etc. if you are interes [...]",2012-10-30T13:28:15-06:00,emailnotfound
"fort lewis, wa (tf)",twinfalls,http://twinfalls.craigslist.org/rid/3363809776.html,"i'm looking to share a ride with someone already headed to the area of fort lewis, wa on 2, 3 or 4 of november. i can help with fuel costs. military reservist here, going there for a civilian job, need to be there on/before the 4th. travelling pretty [...]",2012-10-25T08:40:03-06:00,emailnotfound
f250 with flatbed headed to boise (kimberly),twinfalls,http://twinfalls.craigslist.org/rid/3362905688.html,im headed to boise sun evening have something that needs hauled or just a ride? get ahold of me. i have a 18ft flatbed on the way up. ,2012-10-24T18:36:33-06:00,emailnotfound
transportation (gooding2twinfall2gooding),twinfalls,http://twinfalls.craigslist.org/rid/3352990911.html,"hello, looking for someone that i could pay to take me to twin from gooding and back when i have an appointment or whatever. ",2012-10-20T14:09:47-06:00,emailnotfound
"offer to portland, oregon 10/22.  i have a truck with lots of room",twinfalls,http://twinfalls.craigslist.org/rid/3348463411.html,"leaving buhl, idaho (just west of twin falls) and driving through boise and portland on my way to beaverton the morning of october 22nd. 
i'm going through eastern oregon. 
i can drive either a passenger car (lexus) or a 4 door pick-up truck (dodge r [...]",2012-10-18T14:56:34-06:00,emailnotfound
