title,postingFrom,permalink,shortDescription,postingDate,mailToLink
from the upper pen down i75 need a ride,up,http://up.craigslist.org/rid/3412586500.html,i need a ride twords metro detroit rite down i75 please call me at 586 441 6048 if my ad is up i still need a ride thank you so much,2012-11-18T03:59:14-05:00,emailnotfound
from ssm or kinross areas (to cedarville area),up,http://up.craigslist.org/rid/3410788573.html,"looking for a ride, m-f, 1-5 days/week, approx hours of 8am-5pm. will share gas $$",2012-11-14T23:46:30-05:00,emailnotfound
ride to ann arbor (sault ste. marie),up,http://up.craigslist.org/rid/3409839928.html,"hi, i know this is a quick notice but anybody going to ann arbor tomorrow morning from the soo? i can pay for your gas to get there. let me know as soon as you can thanks.",2012-11-14T15:38:00-05:00,emailnotfound
gwinn to munising 11/8 8am (gwinn),up,http://up.craigslist.org/rid/3394534653.html,i need a ride to and from munising tomorrow morning. will pay and it's for a good cause :),2012-11-08T00:00:50-05:00,emailnotfound
marquette twp to lakeview school (marquette),up,http://up.craigslist.org/rid/3374892462.html,we are looking for someone who is dropping off and picking up their child from marquette to lakeview school. i would be interested in paying for fuel for our 11 year old son to ride for the rest of this school year. please call two 5o nine i seven 3,2012-10-30T12:33:21-04:00,emailnotfound
11/1-11/5u.p. michigan to north carolina via pennsylvania and back (mi - nc and everywhere in between),up,http://up.craigslist.org/rid/3373488622.html,"hey, 
i am going on a long road-trip to go vote and see family in fayetteville, nc this weekend. i will be leaving houghton thursday at around 5pm. i hope to make it to somewhere in pennsylvania by the morning where i will pick up another driver to f [...]",2012-10-29T18:13:36-04:00,emailnotfound
"need ride for 2 shetland sheep to allegan, mi (marquette county)",up,http://up.craigslist.org/rid/3362616401.html,i am checking to see if there is anyone traveling to the allegan area in the next month or so who could transport two shetland sheep back to my friend's farm.,2012-10-24T18:15:14-04:00,emailnotfound
"ride needed from sault st marie, mi (to metrot detroit, mi)",up,http://up.craigslist.org/rid/3359032745.html,"male student looking for a ride back to the metro detroit area. available to leave after 5pm thursdays. can help with gas. friendly, safe, drug-free. call/text/vm 586-930-2412",2012-10-23T11:13:56-04:00,emailnotfound
"going downstate, need rider (marquette to roscommon)",up,http://up.craigslist.org/rid/3350298711.html,"i would like to visit home downstate next weekend. if possible, i will be driving to roscommon, which is right on i75 just past grayling where the interstate meets up with us27. i would like to do this on friday, as early as possible-i have work unti [...]",2012-10-19T13:43:25-04:00,emailnotfound
houghton to louisville,up,http://up.craigslist.org/rid/3347242800.html,"houghton to louisville, going through chicago, indy. leaving early sunday, oct 21 st . share gas expenses. email me with any questions",2012-10-18T08:55:17-04:00,emailnotfound
"marquette to tampa, fl (up)",up,http://up.craigslist.org/rid/3345739949.html,"leaving wednesday, october 24th and arriving in tampa, florida friday, october 26th. if you need a ride anywhere between marquette and tampa than let me know. you have to throw down for gas obv. hit me up 906 361 1318. brad.",2012-10-17T14:51:45-04:00,emailnotfound
sault saint marie to paradise (paradise),up,http://up.craigslist.org/rid/3343834258.html,"hi, i am looking for a ride from sault saint marie to paradise michigan on saturday october 20. i am willing to pay gas. email me if you are available thanks",2012-10-16T18:01:35-04:00,emailnotfound
need someone to drive my car (from marquette to flint/detroit area),up,http://up.craigslist.org/rid/3337824345.html,"need to get to lower michigan? can you drive stick? do you have a valid license and clean driving record? i have a vehicle in marquette (small suv, 5-speed) that needs to get to lower michigan. contact me asap with your phone number if we might work  [...]",2012-10-14T06:47:56-04:00,emailnotfound
ride offered to lower peninsula and back (roscommon (i-75)),up,http://up.craigslist.org/rid/3321332314.html,"i would like to visit home downstate next weekend. if possible, i will be driving to roscommon, which is right on i75 just past grayling where the interstate meets up with us27. i would like to do this on friday, as early as possible-i have work unti [...]",2012-10-06T18:22:38-04:00,emailnotfound
