title,postingFrom,permalink,shortDescription,postingDate,mailToLink
huge sale (lorena),waco,http://waco.craigslist.org/rid/3408733278.html,"i am having a huge yard sale in lorena. it is two trailers, one shed and a part of the house that i will be emptying into my front yard for four days!!!!! biggest yard sale ever!!! i have a refrig. , dr pepper machine, lawn mowers, tables and lots an [...]",2012-11-16T11:40:55-06:00,emailnotfound
headed toward new england?  please help me save this dog,waco,http://waco.craigslist.org/rid/3396039064.html,"i've been looking for a dog and someone sent me an link to a dog and he stole my heart. 
http://www.petango.com/webservices/adoptablesearch/wsadoptableanimaldetails.aspx?id=17507045&css=http://www.petango.com/webservices/adoptablesearch/css/styles.cs [...]",2012-11-08T15:14:08-06:00,emailnotfound
"ride available, act -&gt; aus, sunday (~9am -12pm) (28/m/waco)",waco,http://waco.craigslist.org/rid/3385421151.html,"departing for austin by mid-afternoon, somewhat flexible if anyone else needs to head that way. 
certainly grateful if you can offer compensation in some way, but shared expenses are not a prerequisite to tagging along. 
+ if you're into history, cur [...]",2012-11-04T01:35:53-05:00,emailnotfound
nationwide rides cheap,waco,http://waco.craigslist.org/rid/3333030312.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak we can get you or your friends tickets from and to any city in the country. so be sure to tell family an [...]",2012-10-30T19:47:25-05:00,emailnotfound
need ride to down-town waco asap (wortham bend and prause rd),waco,http://waco.craigslist.org/rid/3373120035.html,if anyone from wortham bend area heading downtown i could use a ride,2012-10-29T14:37:32-05:00,emailnotfound
"waco to lubbock (waco,tx)",waco,http://waco.craigslist.org/rid/3363375276.html,"wanted to see if anyone was going to lubbock from waco, moving & want to take a few extra things with me & traveling on the bus i wont be able to do that, so if anyone is going that way in the month of nov please let me know i will split half in gas! [...]",2012-10-25T01:43:06-05:00,emailnotfound
"coffield unit in tennesse colony (waco,tx)",waco,http://waco.craigslist.org/rid/3358536124.html,from waco tx looking for someone who goes out to coffield unit in tennesse colony will help in gas!,2012-10-23T03:29:48-05:00,emailnotfound
waco to austin today. asap (waco),waco,http://waco.craigslist.org/rid/3345740099.html,"i need a ride from waco to austin asap today. i'd like to ride with a woman, ( i am one, but) ir not, i'll take a ride from a non creep.",2012-10-17T13:51:48-05:00,emailnotfound
waco to killeen and borne (waco),waco,http://waco.craigslist.org/rid/3344936091.html,hey everyone i go to school twice a week for class on monday and wednesday. i gotta be there by 130 pm. if anyone wants to car pool or ever needs a ride let me know. also i'm going to borne next weekend. gas is so damn expensive i figuered i try this [...],2012-10-17T08:47:18-05:00,emailnotfound
"rideshare driving to east coast virginia (texas, arkansas, tn,ky,va)",waco,http://waco.craigslist.org/rid/3333847768.html,"i am headed out east monday morning, i am a non smoker and have a new suv. i have 2 cats i am transporting to va for an army buddy and i will share expenses or fuel with someone. i can deviate from my route somewhat but i am leaving monday morning. n [...]",2012-10-12T10:37:31-05:00,emailnotfound
do you need a ride to dallas (dallas),waco,http://waco.craigslist.org/rid/3331894260.html,"hello if you are in need of a ride to dallas today, you can call or text me at 214-394-4937.",2012-10-11T12:57:10-05:00,emailnotfound
