title,postingFrom,permalink,shortDescription,postingDate,mailToLink
pick up truck going to new  york ny this saturday!!! got a load??  (dc tonew york text 301-357-5071),washingtondc,http://washingtondc.craigslist.org/mld/rid/3410931168.html,"fyi im going tony this saturday if anyone needs to send something north of washington dc i can help 
from fort washington md i will pass 95 south pass philly new jersey then manhattan then to then dc bound on tuesday nov 20th 
let me know if you need [...]",2012-11-18T07:28:55-05:00,emailnotfound
"rides offered dec 9 or 10 ish  (great falls, va to n of worcester, mass)",washingtondc,http://washingtondc.craigslist.org/nva/rid/3417871515.html,"rides for 1-5 passengers offered dec 9 or 10 ish (great falls, va to n of worcester, mass) 
need your help to share the expense for a trip from dc to mass 
i am making this request for the best options and will have to make a decision by eod 5 decemb [...]",2012-11-18T04:16:57-05:00,emailnotfound
"one or two guys with a truck moving,hauling,delivery,sell or buy items (im more than a mover, 301-357-5071 text )",washingtondc,http://washingtondc.craigslist.org/doc/rid/3417862161.html,"hi future moving people in the dc va md metro area! 
need a last minute move? new year? ?? i can transport your newly purchased beds, couches, tv's, and oversized or luxury items, 
1 guy and a pick up truck will do? 
available to: falls church kingst [...]",2012-11-18T03:57:23-05:00,emailnotfound
pick up truck going to new york city ny nov 18-20th need a truck ? (washington dc to new york 301-357-5071 text ),washingtondc,http://washingtondc.craigslist.org/doc/rid/3394796587.html,"hi future moving people in the dc va md metro area! 
need a last minute move? new year? ?? i can transport your newly purchased beds, couches, tv's, and oversized or luxury items, 
1 guy and a pick up truck will do? 
available to: falls church kingst [...]",2012-11-18T03:52:25-05:00,emailnotfound
ride offered - arlington to blairstown on wed 11/21 (arlington),washingtondc,http://washingtondc.craigslist.org/nva/rid/3417857816.html,"i'm offering a ride from arlington to blairstown. 
leaving november 21st returning november 26th. taking 95 up to philly, then rt 476, so i can stop at places that are on the way. vehicle is any suv, so luggage isn't a problem. contact me on zimride: [...]",2012-11-18T03:49:15-05:00,emailnotfound
"tow & ride for one needed dec 9 or 10 ish (great falls, va to n of worcester, mass)",washingtondc,http://washingtondc.craigslist.org/nva/rid/3417857457.html,"greetings: 
need your help with a tow for a road ready trailer (2"" ball) load (2000 lbs total) and me (200 lbs) plus one suitcase (30 lbs). 
i am making this request for the best options and will have to make a decision by eod 5 december. 
i can shar [...]",2012-11-18T03:48:41-05:00,emailnotfound
"one or two guys with a truck moving,hauling,delivery,sell or buy items (im more than a mover, 301-357-5071 text )",washingtondc,http://washingtondc.craigslist.org/doc/rid/3417856501.html,"hi future moving people in the dc va md metro area! 
a guy with a pick up truck , delivery courier & large item transport aasap dc md va light move and deliver thursdaysunday or monday delivery?&gt;?&gt; 1 guy or two??
2 guys & a pick up truck small  [...]",2012-11-18T03:46:52-05:00,emailnotfound
"can haul loads under 1500lbs across the country.  (seattle, denver, baltimore)",washingtondc,http://washingtondc.craigslist.org/mld/rid/3396623899.html,"in denver now, driving a little ranger w/canopy and towing a 4x6 trailer around the country looking for loads that aren't big enough for the transport companies, but a nuisance for someone that just needs it moved. i'm out of seattle and will take an [...]",2012-11-17T23:35:57-05:00,emailnotfound
holiday ride needed to okc (alexandria),washingtondc,http://washingtondc.craigslist.org/nva/rid/3417660146.html,"hi there! i'm looking for a ride out to oklahoma if anyone else is headed that direction for thanksgiving. i'm partial to road trips and will happily help with gas and some driving if needed. i'd be bringing a medium-sized duffel bag . 
i'm 27, femal [...]",2012-11-17T23:33:32-05:00,emailnotfound
to dulles tomorrow at one (bloomingdale),washingtondc,http://washingtondc.craigslist.org/doc/rid/3417651562.html,"i'm heading that way. 20 bucks and i'll pick you up from your place. smooth, comfortable ride in a honda civic. one of the finest automobiles available. awwww yeah.",2012-11-17T23:25:50-05:00,emailnotfound
ride offered - dahlgren to princeton on mon 11/19 (dahlgren),washingtondc,http://washingtondc.craigslist.org/doc/rid/3417439243.html,"i'm offering a ride from dahlgren to princeton. 
leaving november 19th. i make some stops along my route.... contact me on zimride: http://www.zimride.com/ride/share?ride=539530 
i drive a 2003 chrysler town and country. ",2012-11-17T20:48:05-05:00,emailnotfound
need a way to get around town to finish those holiday errands? (columbia heights),washingtondc,http://washingtondc.craigslist.org/doc/rid/3417308581.html,"rent my 2006 chevrolet cobalt in washington get your holiday errands done without the reindeer and sleigh! 
unless you love being squeezed into a metrobus like a thighmaster during a workout, you're probably looking for an alternative way to jet arou [...]",2012-11-17T19:29:25-05:00,emailnotfound
need weekday ride (am-pm) (tysons (jones branch drive)),washingtondc,http://washingtondc.craigslist.org/nva/rid/3417256911.html,need rideshare from sterling va (kohl's dept store on rt 7) to jones branch drive in mclean / tysons weekday mornings and return ride in evenings. willing to share fuel costs. ,2012-11-17T19:00:51-05:00,emailnotfound
