title,postingFrom,permalink,shortDescription,postingDate,mailToLink
desperate  (watetloo),waterloo,http://waterloo.craigslist.org/rid/3413117232.html,i start a new job monday november 19 at the target distribution center in cedar falls and am desperate for a ride. i work from 230 pm till 10 pm. i live off of franklin and logan ave. need a ride desperately mon-weds. just starting but i would be abl [...],2012-11-15T23:04:20-06:00,emailnotfound
looking for ride to oklahoma from waterloo! (waterloo),waterloo,http://waterloo.craigslist.org/rid/3402652818.html,im looking for a ride down to oklahoma from waterloo asap. i have a friend down in sapulpa ok and he is a professional tattoo artist. i want him to come to iowa but he cant afford it at the moment. if anybody can help me out with this im sure that he [...],2012-11-11T14:48:46-06:00,emailnotfound
"cedar falls to des moines, friday evening. room for 2 (cedar falls to dsm)",waterloo,http://waterloo.craigslist.org/rid/3389934262.html,$25 a person and can take two people one way to des moines. leaving cedar falls around 6:15pm or before. text me at 410-926-9092,2012-11-06T00:44:51-06:00,emailnotfound
minneapolis (loo),waterloo,http://waterloo.craigslist.org/rid/3376296252.html,i am driving to minneapolis this friday evening and coming back on sunday evening......anyone wants to share a ride ?,2012-10-30T22:13:11-05:00,emailnotfound
"needed: ride to portland, or",waterloo,http://waterloo.craigslist.org/rid/3369269296.html,"hi, i am a 26 year old male looking for a ride to portland, oregon for anytime after november 7th. i am willing to help drive, split gas, talk about whatever or not talk and sit quietly :) send me an email if you're headed west. thanks!",2012-10-27T16:15:10-05:00,emailnotfound
needing to get home,waterloo,http://waterloo.craigslist.org/rid/3312308301.html,"trying to get back to rogue river oregon to help plan wedding, would prefer not to try bus lines.can help drive and gas, anyone going that way i would appreciate it.email me with info. 
thank you.",2012-10-24T17:52:00-05:00,emailnotfound
"driving west to seattle, wa.  (waterloo)",waterloo,http://waterloo.craigslist.org/rid/3356836776.html,"leaving town early afternoon, have room for 2 people. 
if intrested respond asap. ",2012-10-22T11:58:29-05:00,emailnotfound
heading to denver  ,waterloo,http://waterloo.craigslist.org/rid/3348983403.html,"i am heading to denver on october 25th. 
nice chevy tahoe. call me if you are interested.. larry 321-576-3781 ",2012-10-21T09:24:44-05:00,emailnotfound
ride needed from janesville to california,waterloo,http://waterloo.craigslist.org/rid/3330934122.html,"i have a rolling restored 1965 vintage travel trailer that i need either towed or trailered from janesville, iowa to anywhere near north ca-reno, 
sacramento, central ca, south oregon... you get the idea. 
trailer is less than 2,000# curb wieght, sin [...]",2012-10-21T02:34:33-05:00,emailnotfound
cedar falls to sioux city (waterloo/cedar falls),waterloo,http://waterloo.craigslist.org/rid/3350550304.html,"i am planning on driving to sioux city on october, friday 26 at noon or so and coming back on sunday 28, $30 gets you a ride one way $50 round trip. let me know if interested",2012-10-19T14:12:51-05:00,emailnotfound
"driving from cedar rapids, iowa. to tacoma, wa. (cedar rapids area )",waterloo,http://waterloo.craigslist.org/rid/3343044940.html,"i will be making a drive form cedar rapids iowa to tacoma, wa. via i-90. my departure date is flexible and undetermined yet so i maybe able to work with you. i am looking for a people who will help make the 22 hour drive a little more barbell. i need [...]",2012-10-16T12:06:04-05:00,emailnotfound
waterloo to north indianapolis (waterloo),waterloo,http://waterloo.craigslist.org/rid/3331188200.html,"if you need a ride let me know, chip in on gas anything on the way. text me at 1.937.423.3239 only text!!!!let me know asap leaving today around 10 am",2012-10-11T08:09:44-05:00,emailnotfound
ride needed - vinton to winona on wed 10/24 (vinton),waterloo,http://waterloo.craigslist.org/rid/3324496926.html,"i'm looking for a ride from vinton to winona. 
leaving october 24th. i'm looking for ride from vinton, cedar rapids, waterloo ia. area going to winona, rochester mn, lacross wi. area on oct 24or25 i am trying to develop a relationship with my recentl [...]",2012-10-08T10:39:47-05:00,emailnotfound
waterloo to des moines,waterloo,http://waterloo.craigslist.org/rid/3312427468.html,"leaving waterloo on friday afternoon, have room for up to 3 people if you need to go to des moines. twenty bucks gets you a ride if you are looking for it. email me for more info.",2012-10-02T19:43:37-05:00,emailnotfound
