title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride to columbus needed from canton tues 11/13 arrive at 9am (canton),akroncanton,http://akroncanton.craigslist.org/rid/3400417711.html,need ride to columbus tues 11/13 from canton arrive 9am please contact ,2012-11-10T14:19:02-05:00,emailnotfound,FALSE,akroncanton,2012-11-13T14:19:02-05:00,columbus
driving to nyc tomorrow (saturday) (columbus to brooklyn),akroncanton,http://akroncanton.craigslist.org/rid/3398576469.html,need a ride or your stuff transported? artist leaving tomorrow with plenty of room. help with gas! ,2012-11-09T17:17:12-05:00,emailnotfound,TRUE,akroncanton,2012-11-09T17:17:12-05:00,nyc
akron to nashville and probably atlanta after ,akroncanton,http://akroncanton.craigslist.org/rid/3391866283.html,"truck driver going tomorrow early morning to nashville area, and probably ( not sure jet ) to atlanta or florida. females only.",2012-11-06T20:25:54-05:00,emailnotfound,TRUE,akroncanton,2012-11-06T20:25:54-05:00,nashville
(correction) going west? akron/cle to san jose/sfc (canton akron to san jose),akroncanton,http://akroncanton.craigslist.org/rid/3387887583.html,"i am driving from canton akron area. to san jose, california . trying to leave this evening or early morning. i'm leaving from cak airport. . looking for someone to drive and share gas expensives. can't drive? but can keep a decent conversation? call [...]",2012-11-05T09:45:12-05:00,emailnotfound,FALSE,akroncanton,2012-11-10T09:45:12-05:00,san
need ride tomorrow from akron to newark (akron),akroncanton,http://akroncanton.craigslist.org/rid/3386927690.html,"hey. honest, trustworthy 23 year old traveller looking for a ride from akron (s of cleveland) to newark (east of columbus) or part of the way. have gas $ and a license. let me know if you can help. 
jason-303-681-7210",2012-11-04T18:59:44-05:00,emailnotfound,FALSE,akroncanton,2012-11-04T18:59:44-05:00,newark
"ride needed to and from work.  photo of myself included (canton, ohio)",akroncanton,http://akroncanton.craigslist.org/rid/3384719010.html,"i live in canton, perry township. 
i babysit on shepler church road. about 10 minutes from my house. 
they usually pay me $40, so i can pay your gas. 
i normally go in at 6:45am and get out at 3pm. 
just saturdays. 
included my photo, so you know i'm [...]",2012-11-03T17:56:01-04:00,emailnotfound,FALSE,akroncanton,2012-11-03T17:56:01-04:00,and
work commute monday - friday (medina to cleveland),akroncanton,http://akroncanton.craigslist.org/rid/3316154287.html,"hi, i'm looking for someone (or more than one person) to share commuting back & forth from medina to cleveland monday through friday. i leave medina around 7:00 a.m. & arrive at tower city around 8:15 a.m. going home, i leave tower city around 5:00 p [...]",2012-11-02T09:40:24-04:00,emailnotfound,TRUE,akroncanton,2012-11-05T09:40:24-04:00,cleveland
anyone going to columbus saturday morning? (leaving from akron),akroncanton,http://akroncanton.craigslist.org/rid/3378406212.html,i need a ride to columbus. i will split the cost of gas with you!,2012-10-31T22:16:17-04:00,emailnotfound,TRUE,akroncanton,2012-10-34T22:16:17-04:00,columbus
headed to chicago  (kent area),akroncanton,http://akroncanton.craigslist.org/rid/3333502486.html,"i have an interview in chicago the weekend of october 27th. interested 
in joining me? $75.00 per person one-way or round trip (cash). a bargain. coming 
back sunday night october 28th. you won't miss work or class... 
call me at (330) 357-7296 (m).  [...]",2012-10-12T08:56:11-04:00,emailnotfound,TRUE,akroncanton,2012-10-27T08:56:11-04:00,chicago
need ride - dulles airport to akron 12 oct afternoon,akroncanton,http://akroncanton.craigslist.org/rid/3318695868.html,coming from dulles airport to akron friday afternoon 12 oct. reply if you need a ride?,2012-10-05T15:20:46-04:00,emailnotfound,TRUE,akroncanton,2012-10-05T15:20:46-04:00,akron
