title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
looking for a ride to anchorage (anc-fai),anchorage,http://anchorage.craigslist.org/rid/3416634358.html,"hey there. i'm looking for a ride for anchorage to fairbanks for thanksgiving. i can leave tuesday night or anytime on wednesday. i've got gas money, snack, the works. i have a license too and a great driving record if you need help with that. let me [...]",2012-11-17T10:18:41-09:00,emailnotfound,FALSE,anchorage,2012-11-19T10:18:41-09:00,anchorage
driving up from ohio december 30-jan 4...need something shipped? (columbus to anchorage),anchorage,http://anchorage.craigslist.org/rid/3407697816.html,"hi, i'm driving up after the holidays from ohio...where i'm currently at recovering from a nasty leg injury. i've driven the alcan twice in the last 4 years and am well aquainted with the miles of boredom, snow, and high priced gas. if you need somet [...]",2012-11-17T07:30:31-09:00,emailnotfound,TRUE,anchorage,2012-12-30T07:30:31-09:00,anchorage
oklahoma to anchorage in december (pcsing to ft. richardson),anchorage,http://anchorage.craigslist.org/rid/3367440373.html,do you have a family member or significant other that you want to move to ft. richardson? the army is moving me there in december and i can get you money for a u-haul and some trip expenses (you would have to put the u-haul in my name so i could subm [...],2012-11-16T13:08:15-09:00,emailnotfound,FALSE,anchorage,2012-11-19T13:08:15-09:00,anchorage
trip to seattle,anchorage,http://anchorage.craigslist.org/rid/3410586197.html,"driving : anchorage to seattle aprox dec 1st. share expenses? i do not smoke or drink and very responsible so, please the same reply...........",2012-11-14T17:27:19-09:00,emailnotfound,TRUE,anchorage,2012-12-01T17:27:19-09:00,seattle
need a ride to fairbanks from anchorage,anchorage,http://anchorage.craigslist.org/rid/3410564764.html,"need ride from anchorage to fairbanks over thanksgiving. hopefully back as well. (visiting fam. hopefully 1 day. there and back, thanksgiving dinner ya know? lol) hope somebody is doing the same. 2 people. no luggage. will help with gas and compensat [...]",2012-11-14T17:14:31-09:00,emailnotfound,FALSE,anchorage,2012-11-17T17:14:31-09:00,fairbanks
ride needed anc to homer nov 13-15,anchorage,http://anchorage.craigslist.org/rid/3408097692.html,"hello, i am trying to find a ride to homer within the next few days. i am a friendly and polite 22yr old male with one backpack for luggage. will split gas. tomorrow, the 15th or the 16th are preferable. i do not have constant computer access so plea [...]",2012-11-13T16:24:01-09:00,emailnotfound,FALSE,anchorage,2012-11-13T16:24:01-09:00,homer
anch to fairbanks  (anch),anchorage,http://anchorage.craigslist.org/rid/3406109171.html,heading to fairbanks wednesday and have room for passengers with gas money. call me a 460-4460 chuck thanks ,2012-11-12T22:03:05-09:00,emailnotfound,TRUE,anchorage,2012-11-12T22:03:05-09:00,fairbanks
seward to anchorage (friday) (seward),anchorage,http://anchorage.craigslist.org/rid/3405518947.html,"hi, 
i need a ride from seward to anchorage friday late afternoon. 
i can help a little with fuel cost. 
i am a 31 year old male. i am an avtec student and am finishing my maritime safety training. i was in the us coast guard for 8 years. i am clean, [...]",2012-11-12T15:16:34-09:00,emailnotfound,FALSE,anchorage,2012-11-16T15:16:34-09:00,anchorage
need ride - anch to homer - nov 28th,anchorage,http://anchorage.craigslist.org/rid/3404659663.html,"would like to find a ride to homer on nov 28th. fine with splitting gas, just trying to avoid the cost of a flight. will have 3 bags and backpack. reply via email. thanks. jared",2012-11-12T09:46:23-09:00,emailnotfound,TRUE,anchorage,2012-11-28T09:46:23-09:00,homer
ride offered to homer (anc),anchorage,http://anchorage.craigslist.org/rid/3402491935.html,"heading to homer tomorrow (12th) could use someone to split fuel costs. studded tires, safe driver, good conversation. send me an email if you are interested. ",2012-11-11T10:34:29-09:00,emailnotfound,TRUE,anchorage,2012-11-11T10:34:29-09:00,homer
to anchorage (from talkeetna),anchorage,http://anchorage.craigslist.org/rid/3399064748.html,saturday morning,2012-11-09T17:36:02-09:00,emailnotfound,TRUE,anchorage,2012-11-10T17:36:02-09:00,anchorage
need a ride to fairbanks (anchorage to fairbanks),anchorage,http://anchorage.craigslist.org/rid/3399042008.html,"hey i am trying to find a ride to fairbanks (and possibly back to anchorage) for the purposes of grabbing a few personal items i left there before making my move down south for the winter months. i am a 26 year old female, i am not a psycho, do not s [...]",2012-11-09T17:21:11-09:00,emailnotfound,FALSE,anchorage,2012-11-12T17:21:11-09:00,fairbanks
ride offered - anc to haines (anchorage to haines),anchorage,http://anchorage.craigslist.org/rid/3396048762.html,"i'm driving to haines from anchorage - leaving mid day saturday nov 10th. crew cab long box truck - so plenty of space. 
e-mail is best.",2012-11-08T12:18:05-09:00,emailnotfound,TRUE,anchorage,2012-11-10T12:18:05-09:00,haines
ride offered - november 9th (friday) (anchorage to soldotna),anchorage,http://anchorage.craigslist.org/rid/3394615963.html,"i'm driving from anchorage to soldotna on friday, november 9th. leaving around 6:00 pm. 
asking around $15 help for gas. 
i have some space for luggage. 
no drugs. no weapons. pets only with kennel. no freeloaders. 
i'll be returning to anchorage on  [...]",2012-11-07T21:26:06-09:00,emailnotfound,TRUE,anchorage,2012-11-09T21:26:06-09:00,soldotna
anc to delta for thanksgiving (anc-delta),anchorage,http://anchorage.craigslist.org/rid/3388444735.html,"hello, i am looking for a ride from anc to delta leaving either tues night (nov 20) or anytime on wed (nov 21). if you're going that way let me know! i can split for gas and bring snacks. thanks! -elizabeth ",2012-11-05T09:10:42-09:00,emailnotfound,FALSE,anchorage,2012-11-20T09:10:42-09:00,delta
trunk rd to anc 5days a week (palmer),anchorage,http://anchorage.craigslist.org/rid/3385517209.html,hey i drive to anchorage international thursday through monday october thru april i work swings so i leave around 230pm and come back to palmer at 1130 pm gas prices suck and it's boring if this works for anyone hit me up and maybe we can work someth [...],2012-11-04T01:44:01-08:00,emailnotfound,TRUE,anchorage,2012-11-05T01:44:01-08:00,anc
needed downtown anchorage to gidwood for $$$ (downtown to girdwood),anchorage,http://anchorage.craigslist.org/rid/3380101283.html,"hey , 
do you want to make $ 50 dollars ? can you get me and my skis to girdwood from downtown anchorage ? i can pay you fifty bucks. i have an appointment on monday mid day and am looking to catch a ride in the early afternoon. if you want to make s [...]",2012-11-01T13:25:52-08:00,emailnotfound,FALSE,anchorage,2012-11-05T13:25:52-08:00,gidwood
needed anchorage to girdwood (downtown to girdwood),anchorage,http://anchorage.craigslist.org/rid/3375593899.html,"hello folks, 
i am in need of a ride from downtown anchorage to girdwood on the afternoon of monday the 5th. i have money , if you want to make some extra cash or can make a stop by girdwood on your way south that would be amazing. or if you own a ca [...]",2012-10-30T13:03:16-08:00,emailnotfound,FALSE,anchorage,2012-10-05T13:03:16-08:00,girdwood
heading to fairbanks this weekend? (anchorage-fairbanks-anchorage),anchorage,http://anchorage.craigslist.org/rid/3371769067.html,"i'm trying to coordinate a trip to fairbanks this weekend. 
it would be ideal to have a ride from anchorage/fairbanks and back to anchorage on sunday. 
i have to be sure and return on sunday for work at 4am. 
gas money will gladly be given. 
please l [...]",2012-10-28T19:48:11-08:00,emailnotfound,FALSE,anchorage,2012-10-29T19:48:11-08:00,fairbanks
ride offered 10/30 (anc to homer),anchorage,http://anchorage.craigslist.org/rid/3369790556.html,leaving late morning. share gas. 907-299-2617,2012-10-27T18:40:18-08:00,emailnotfound,TRUE,anchorage,2012-10-30T18:40:18-08:00,homer
need ride from kenai to anchorage (kenai),anchorage,http://anchorage.craigslist.org/rid/3362898918.html,is there anybody going from kenai to anchorage either sunday the 28th or monday the 29th? i have to catch a plane out of anchorage to seattle and have now means of getting there. if somebody is headed that way and willing to let me ride a long i can  [...],2012-10-24T16:33:07-08:00,emailnotfound,FALSE,anchorage,2012-10-28T16:33:07-08:00,anchorage
need ride weekly in the evening (merrill field to pittman),anchorage,http://anchorage.craigslist.org/rid/3353557033.html,", need a ride mondays and wednsdays, ready to leave around 7pm from merrill field to pittman road and parks hwy. 
i do not have a lot to offer, maybe 20 for a month. this can help alittle if you are already passing by the places around these times. 
 [...]",2012-10-20T17:08:49-08:00,emailnotfound,TRUE,anchorage,2012-05-20T17:08:49-08:00,pittman
carpool pick ups! palmer to anchorage (palmer),anchorage,http://anchorage.craigslist.org/rid/3349478498.html,"i drive into anchorage from palmer/butte area, every wednesday morning and i drive back out around 8 o'clock. i can help anyone out with rides if need be.. no charge! there and back. let me know! 
#907-887-3541 or you can email me. ",2012-10-19T03:08:39-08:00,emailnotfound,TRUE,anchorage,2012-10-24T03:08:39-08:00,anchorage
"ride and tow to haines for ferry (anchorage, ak)",anchorage,http://anchorage.craigslist.org/rid/3349074795.html,"husband and i need ride to haines to catch mondays ferry 
also need towing of a '73 vw super beetle 
will pay half gas 
call 20six 890 550two or email",2012-10-18T17:57:46-08:00,emailnotfound,FALSE,anchorage,2012-10-22T17:57:46-08:00,haines
driving to wa  (anchoarge to seattle),anchorage,http://anchorage.craigslist.org/rid/3343720076.html,"looking for rider to share driving/gas on road from anchorage to seattle, wa (or someplace along the way). driving a toyota 4-runner with limited inside space for gear. hoping to leave the week of the 22nd. please e-mail if interested. 
here's a pict [...]",2012-10-16T13:13:58-08:00,emailnotfound,TRUE,anchorage,2012-10-22T13:13:58-08:00,wa
talkeetna to anch (tues mid-morning),anchorage,http://anchorage.craigslist.org/rid/3342098701.html,"looking for someone to share gas 
have room for gear/passenger 
9o7.529.27o7",2012-10-15T21:17:39-08:00,emailnotfound,TRUE,anchorage,2012-10-16T21:17:39-08:00,anch
need a ride? 15oct12 - monday (anchorage to homer),anchorage,http://anchorage.craigslist.org/rid/3339671263.html,"landing in anchorage monday at 3 pm, after some shopping, off to homer. space for 1 or 2, (usual terms and conditions (be entertaining, gas $, clean, etc)) 
text or call 510 
329 
65 eight three 
ciao... ",2012-10-14T21:35:11-08:00,emailnotfound,TRUE,anchorage,2012-10-15T21:35:11-08:00,homer
"wanting to go to fairbanks 28th,29th or 30th (anchorage to fairbanks)",anchorage,http://anchorage.craigslist.org/rid/3337766482.html,"i am wanting to catch a ride to fairbanks on the 18th, 19th, or early on the 20th. i will pay for gas...and would like to return onthe 21st later in day or on monday the 22nd. 9o7../884../2319",2012-10-14T00:20:20-08:00,emailnotfound,FALSE,anchorage,2012-10-18T00:20:20-08:00,go
need ride anchorage to glennallen or valdez 10/13 (anchorage/valdez),anchorage,http://anchorage.craigslist.org/rid/3335321546.html,i am looking for a ride from anchorage to valdez tomorrow 10/13....or as soon as possible. i'm definitely willing to pitch in for gas! please let me know if you can help me out =) #509-496-4176,2012-10-12T18:18:45-08:00,emailnotfound,FALSE,anchorage,2012-10-13T18:18:45-08:00,glennallen
need ride anchorage to wasilla sunday (anc to wasilla),anchorage,http://anchorage.craigslist.org/rid/3332789996.html,"i need a ride to wasilla early 
sunday or to get there before 2pm.willing to pay for gas",2012-10-11T16:17:44-08:00,emailnotfound,FALSE,anchorage,2012-10-14T16:17:44-08:00,wasilla
wanted: ride/commute sutton to anchorage (anc/matsu),anchorage,http://anchorage.craigslist.org/rid/3332075849.html,"i am looking for a ride to work monday through friday, round trip from sutton (mile 58 - 59) to dimond center. i need to be at work by 7a.m. and am done at 4p.m. or i need to be to the downtown transit center by 6:20 in am and can be back to the tran [...]",2012-10-11T11:04:46-08:00,emailnotfound,TRUE,anchorage,2012-10-15T11:04:46-08:00,anchorage
looking for ride to lower 48,anchorage,http://anchorage.craigslist.org/rid/3330534834.html,"my seasonal internship is ending and im looking for ride to the lower 48. id prefer to get to washington, but i'm open to other places too (ill take whatever i can get). down to split gas money evenly. hoping to leave sometime between oct 14th and 21 [...]",2012-10-10T17:20:28-08:00,emailnotfound,FALSE,anchorage,2012-10-14T17:20:28-08:00,lower
"ride offered - friday, october 12th (anchorage to soldotna)",anchorage,http://anchorage.craigslist.org/rid/3328674039.html,"i'm driving from anchorage to soldotna on friday, october 12th. leaving around 6:30 pm. 
asking around $15 help for gas. 
i have some space for luggage. 
no drugs. no weapons. pets only with kennel. no freeloaders. 
i drive a safe subaru and have no  [...]",2012-10-10T00:30:37-08:00,emailnotfound,TRUE,anchorage,2012-10-12T00:30:37-08:00,soldotna
