title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
friendly girl needs ride from arcata to san fran 11/20/12 or 11/21/12 (arcata to sf),bend,http://bend.craigslist.org/rid/3416859709.html,"hi there! 
i am travelling down to san fran for thanksgiving before getting a flight to mexico! 
i am an irish girl visiting california and would really appreciate the generosity of a west coaster to help me reach my destination :) i am happy to cont [...]",2012-11-17T12:50:25-08:00,emailnotfound,FALSE,bend,2012-11-20T12:50:25-08:00,san
"bend to grants pass (bend, or)",bend,http://bend.craigslist.org/rid/3416269808.html,i'm leaving bend for grants pass tomorrow around 2. room for two and bags.,2012-11-17T08:58:42-08:00,emailnotfound,TRUE,bend,2012-11-17T08:58:42-08:00,grants
ride share from bend to salem nov 21. (to salem area),bend,http://bend.craigslist.org/rid/3416189539.html,"offering a ride from bend to salem on nov 21. 
willing to pick you up and drop you off anywhere along the way. 
i'm still undecided on what time i'm going to leave. it will be sometime after 2-3pm, 
asking $15 for gas. 
feel free to ask any questions [...]",2012-11-17T08:27:08-08:00,emailnotfound,TRUE,bend,2012-11-21T08:27:08-08:00,salem
need ride. portland to bend,bend,http://bend.craigslist.org/rid/3407047208.html,"hi, my name is chris, a good friend of mine is stuck in portland and she is trying to get back here to bend. she will be able to come up with some gas money if required, and she doesn't have alot of luggage at all. she is a very honest, trustworthy p [...]",2012-11-16T17:18:37-08:00,emailnotfound,FALSE,bend,2012-11-19T17:18:37-08:00,bend
bend to santa cruz/bay area monday 11/19 (bend to bay area or anywhere in between),bend,http://bend.craigslist.org/rid/3415139403.html,"offering 2 more seats from bend oregon to santa cruz or bay area, or really anywhere in between. gas contributions greatly appreciated, fun, reliable, responsible gal, clean driving record! leaving early on monday 
(707) 303-5800",2012-11-16T17:09:27-08:00,emailnotfound,TRUE,bend,2012-11-19T17:09:27-08:00,santa
bend to eugene 11-25,bend,http://bend.craigslist.org/rid/3389781477.html,"hey! looking for a ride bend to eugene on sunday the 25th, i have gas money! really laid back, nice, ya dee ya da, let me know if you have an open seat! and again, i have gas money!! thank you! :) ",2012-11-16T14:35:06-08:00,emailnotfound,FALSE,bend,2012-11-25T14:35:06-08:00,eugene
"11/18 offered: bend to portland/vancouver (bend, or)",bend,http://bend.craigslist.org/rid/3413662514.html,"looking for a passenger to split gas with me. room for 1maybe 2, leaving around 5-6 pm",2012-11-16T07:04:38-08:00,emailnotfound,TRUE,bend,2012-11-18T07:04:38-08:00,portland/vancouver
"bend to portland and back (bend, or)",bend,http://bend.craigslist.org/rid/3413215808.html,"i am leaving between nine and 930 tomorrow morning, friday. if anyone is looking for a ride please contact me prior to then. i am also coming back from portland around 3 pm if anyone needs a ride from portland to bend. 
txt or call at 303-506-3130",2012-11-15T22:42:38-08:00,emailnotfound,TRUE,bend,2012-11-15T22:42:38-08:00,portland
looking for ride to eastern oregon 11/21 (bend-baker city),bend,http://bend.craigslist.org/rid/3412874529.html,"hi! i am trying to get home to baker city for the week. i am just looking for a way there. will help pay for gas. call me at 50three-7five3-6zerosix3 
thanks",2012-11-15T18:19:34-08:00,emailnotfound,FALSE,bend,2012-11-21T18:19:34-08:00,eastern
bend to portland tonight!!!!,bend,http://bend.craigslist.org/rid/3412791932.html,"hello. 
how's it going? 
an rv hippie style will be going through bend tonight on the way up to portland. 
2 guys and 1 girl all in their late 20's. 
we have been helped many times along the way and are looking to give back. 
also a little gas money  [...]",2012-11-15T17:32:51-08:00,emailnotfound,TRUE,bend,2012-11-19T17:32:51-08:00,portland
