title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
bham to phoenix need a ride? (scottsdale),bham,http://bham.craigslist.org/rid/3417603995.html,"picking up rv on wed. nov. 21,than heading to phoenix. ",2012-11-17T22:45:36-05:00,emailnotfound,TRUE,bham,2012-11-21T22:45:36-05:00,phoenix
need ride to demopolis (birmingham),bham,http://bham.craigslist.org/rid/3396495616.html,"ongoing: looking for rides to and from, or even just to demopolis, to visit my parents, until i can afford to get my car fixed. 
ideally leaving after 3 pm saturdays and getting back monday evenings. will pay half of gas (or more!) and bring you deli [...]",2012-11-08T19:43:13-05:00,emailnotfound,FALSE,bham,2012-11-12T19:43:13-05:00,demopolis
ride offered 11/10 birmingham to denver,bham,http://bham.craigslist.org/rid/3373724327.html,"11/10 ride offered birmingham towards denver. -----traveling west to oregon---- 
cost is $100 = 1/2 gas expense 
please call or txt me @ 850-866-9040 ",2012-11-06T12:40:09-05:00,emailnotfound,TRUE,bham,2012-11-10T12:40:09-05:00,denver
ride offered 11/12 birmingham to nyc (birmingham),bham,http://bham.craigslist.org/rid/3385400324.html,"leaving nov. 12 to new york city no rush or set times. just want to share driving...., just seeing if there's anyone that wants/needs a ride to nyc. if u serious, please e-mail if you are interested, i check it often.thanks! ",2012-11-04T01:04:04-05:00,emailnotfound,TRUE,bham,2012-11-12T01:04:04-05:00,nyc
ride offered - birmingham to long beach on tue 11/6 (birmingham),bham,http://bham.craigslist.org/rid/3375568523.html,"i'm offering a ride from birmingham to long beach. 
leaving november 6th. i'm picking up a prevost musicians tour bus with 12 bunks. we will make only one over night stop. if you ever wanted to feel like a rockstar here is your chance. we will be end [...]",2012-10-30T16:52:41-04:00,emailnotfound,TRUE,bham,2012-11-06T16:52:41-04:00,long
"headn north to minnesota (al,tenn,ky,ill,wis)",bham,http://bham.craigslist.org/rid/3370247021.html,leavin oct 31 or nov 1. room for one and gear and small pet ok. ,2012-10-30T10:40:25-04:00,emailnotfound,TRUE,bham,2012-10-31T10:40:25-04:00,minnesota
"need a ride to austin, tx (birmingham, al)",bham,http://bham.craigslist.org/rid/3356789273.html,"my boyfriend and i need a ride to austin, tx. we can help with driving and gas. call seven two zero 2 eight seven 9867. thanks :)",2012-10-22T12:42:11-04:00,emailnotfound,TRUE,bham,2012-10-26T12:42:11-04:00,austin
driving to california (oct. 24) (local),bham,http://bham.craigslist.org/rid/3341783921.html,"leaving birmingham approx. oct 24 or 25. one-way only. it's okay if you are going just part of the way. route: birmingham, little rock, oklahoma city, amarillo, albuquerque, flagstaff az, los angeles. 
car is a 2011 altima, and there would be room fo [...]",2012-10-21T13:19:09-04:00,emailnotfound,TRUE,bham,2012-10-24T13:19:09-04:00,california
would like to shareride  (chicago),bham,http://bham.craigslist.org/rid/3343614174.html,"i need to get to wisconsin & i have famiely in chicago who are going that way from a wedding on the 20-25 oct 
would pay for gas please call me at 16088040007 cj 
thank you",2012-10-16T16:31:43-04:00,emailnotfound,FALSE,bham,2012-10-17T16:31:43-04:00,shareride
ride from birmigham to demopolis area thurs the 18th (birmingham),bham,http://bham.craigslist.org/rid/3339557046.html,will be dropping a rental car off in birmingham after dropping my wife and two girls off in demopolis....there is no rental drop there.....the closest is birmingham.........anyone heading that way in the morning?....thurs the 18th.........$75 cash... [...],2012-10-14T23:38:58-04:00,emailnotfound,TRUE,bham,2012-10-18T23:38:58-04:00,demopolis
need a ride today (warrior to bessemer),bham,http://bham.craigslist.org/rid/3321328911.html,"hi, looking for someone who is headed that direction today (in general leaving from huntsville headed toward tuscaloosa) i dont have any gas money though its a one time ride and would be greatly appreciated thanks ",2012-10-06T18:20:51-04:00,emailnotfound,FALSE,bham,2012-10-06T18:20:51-04:00,bessemer
