title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered 11/19 (kalispell to cheyenne),billings,http://billings.craigslist.org/rid/3416757997.html,"driving to cheyenne on monday in a real gas hog. lots of seating, looking for help with fuel costs. please contact via text if interested. 
foroh6-twowono-ate5tooeight ",2012-11-17T13:08:17-07:00,emailnotfound,TRUE,billings,2012-11-19T13:08:17-07:00,cheyenne
rideshare & driveshare to seattle/tacoma november 21st (billings),billings,http://billings.craigslist.org/rid/3360592920.html,"i am leaving from billings on november 21st and arriving on seattle area on the 22nd and returning to billings beginning on november 25th and arriving on the 26th. 
i am driving a 98 dodge mark iii custom conversion van with a 5' x 8' cargo trailer.  [...]",2012-11-16T07:31:30-07:00,emailnotfound,TRUE,billings,2012-11-21T07:31:30-07:00,seattle/tacoma
"rideshare from billings to kalispell  (billings,mt)",billings,http://billings.craigslist.org/rid/3406126477.html,"i will be leaving from billings nov 16th or early morning 17th to kalisplell going through missoula. looking for a non smoker, no pets, no drugs companion to help with gas. comming back on the following weekend sunday the 25th or early monday morning [...]",2012-11-15T23:20:11-07:00,emailnotfound,TRUE,billings,2012-11-16T23:20:11-07:00,kalispell
stlone dog seen with transient please help $1000 reward (wa/idaho to missula to sheridan wy),billings,http://billings.craigslist.org/rid/3384826093.html,"i got an email from someone saying the saw my dog with a transient on the washington/ idaho boarder on the 15th. this was monday afternoon 10/15. he said he was headed to the oilfields in sheridan wyoming. he was a young man in his 20's, blonde, dres [...]",2012-11-14T19:26:04-07:00,emailnotfound,TRUE,billings,2012-10-15T19:26:04-07:00,missula
billings to dillon 11/17 (billings),billings,http://billings.craigslist.org/rid/3409991454.html,heading to dillon 11/17 with an empty 3 horse slant trailer to bring back our daughters horse home from college. will haul you horse or whatever to dillon or points in between for share of the fuel cost. driving '08 dodge 1 ton with a newer reliable  [...],2012-11-14T14:37:31-07:00,emailnotfound,TRUE,billings,2012-11-17T14:37:31-07:00,dillon
cdl driver to las vegas (billings),billings,http://billings.craigslist.org/rid/3408319112.html,"cdl driver 54, heading to las vegas. drive your vehicle, truck , bus, motorhome or whatever anywhere enroute. leaving asap. call me, jay. 724-674-0257",2012-11-13T20:32:43-07:00,emailnotfound,TRUE,billings,2012-11-13T20:32:43-07:00,las
"heading to tahoe (bozeman, salt lake city, reno)",billings,http://billings.craigslist.org/rid/3396985643.html,"moving to tahoe for the winter. room for one, maybe two. making stops in bozo and slc along the way. leaving november 15th or 16th.",2012-11-08T23:30:25-07:00,emailnotfound,TRUE,billings,2012-11-15T23:30:25-07:00,tahoe
billings to williston,billings,http://billings.craigslist.org/rid/3384604991.html,"heading to williston, nd tomorrow after noon. 
can pickup or drop off anywhere along the way. 
asking for help with gas. 
driving a spacious, comfortable toyota tundra. 
email asap if interested. 
thanks",2012-11-03T15:03:04-06:00,emailnotfound,TRUE,billings,2012-11-03T15:03:04-06:00,williston
saturday 10/27 (billings to bozeman),billings,http://billings.craigslist.org/rid/3367806741.html,"leaving about 10 am. 
send me a message by 9 am or i'm on the way.",2012-10-26T22:04:21-06:00,emailnotfound,TRUE,billings,2012-10-27T22:04:21-06:00,bozeman
south for the winter (billings to texas),billings,http://billings.craigslist.org/rid/3359511035.html,wanting to go to texas for work want to leave the weekend of the 2nd of november is anyone going that way ? will definitly pitch in my share for gasoline . thank you for the ride !! text or call or send an email 406-647-6682 ,2012-10-23T12:03:30-06:00,emailnotfound,TRUE,billings,2012-10-02T12:03:30-06:00,texas
(8/16) need riders to seattle to milwaukee  (seattle),billings,http://billings.craigslist.org/rid/3339590974.html,"going to milwaukee from washington and willing to transport 2 people, animals, or things for some help with gas money. 
give us a call if this interests you. 
4i45547o94",2012-10-14T22:08:26-06:00,emailnotfound,TRUE,billings,2012-08-16T22:08:26-06:00,seattle
need ride from great falls to seattle,billings,http://billings.craigslist.org/rid/3332239217.html,"i am looking for a ride for myself, my 2 year old and my dog. who is very well behaved, potty trained, and a great traveler. 
looking to leave in the next week please. maybe the 16th or 17th? need to get back to work. willing to help with gas of cour [...]",2012-10-11T14:07:48-06:00,emailnotfound,FALSE,billings,2012-10-16T14:07:48-06:00,seattle
