title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need ride (nashville tn to el paso tx),blacksburg,http://blacksburg.craigslist.org/rid/3416143520.html,"i dont usually do this but i am in a bit of a desperate situation. me, laura, sam and lili are stranded here in lavergne at the old driftwood inn. thanks to laura's fiance micah we have been able to stay here up until tomorrow. thanks to a couple of  [...]",2012-11-17T11:08:30-05:00,emailnotfound,FALSE,blacksburg,2012-11-17T11:08:30-05:00,el
ride offered - blacksburg to lewes on tue 11/20 (blacksburg),blacksburg,http://blacksburg.craigslist.org/rid/3411626376.html,"i'm offering a ride from blacksburg to lewes. 
leaving november 20th returning november 24th. driving to delaware which takes me right through the beltway area up through annapolis etc. probably coming back saturday but definitely coming back by sund [...]",2012-11-15T12:18:34-05:00,emailnotfound,TRUE,blacksburg,2012-11-20T12:18:34-05:00,lewes
offering ride from blacksburg to baltimore fri 11/16 ,blacksburg,http://blacksburg.craigslist.org/rid/3410303814.html,leaving for baltimore from blacksburg fri 11/16 and coming back sun 11/18. i could use the help with gas. hit me up.,2012-11-14T18:55:10-05:00,emailnotfound,TRUE,blacksburg,2012-11-16T18:55:10-05:00,baltimore
ride offered - blacksburg to ashburn on thu 11/15 (blacksburg),blacksburg,http://blacksburg.craigslist.org/rid/3409205084.html,"i'm offering a ride from blacksburg to nova area. 
leaving november 15th returning november 26th. leaving at 6:30pm to go home for thanksgiving break..can drop off/pick up anywhere in ashburn/leesburg/sterling area nova contact me on zimride: http:// [...]",2012-11-14T11:46:50-05:00,emailnotfound,TRUE,blacksburg,2012-11-15T11:46:50-05:00,ashburn
ride offered - blacksburg to satellite beach on fri 11/16 (blacksburg),blacksburg,http://blacksburg.craigslist.org/rid/3403913461.html,"i'm offering a ride from blacksburg to satellite beach, fl or anywhere on the way. 
leaving november 16th returning november 25th. contact me on zimride: http://www.zimride.com/ride/share?ride=527277",2012-11-12T09:02:55-05:00,emailnotfound,TRUE,blacksburg,2012-11-16T09:02:55-05:00,satellite
ride - blacksburg to newport news on fri 11/16 (blacksburg),blacksburg,http://blacksburg.craigslist.org/rid/3398381140.html,"i'm driving from blacksburg to newport news. 
leaving november 16th returning november 23rd. contact me on zimride: http://www.zimride.com/ride/share?ride=518824 ",2012-11-09T15:56:37-05:00,emailnotfound,TRUE,blacksburg,2012-11-16T15:56:37-05:00,newport
ride offered - blacksburg to germantown on fri 11/16 (blacksburg),blacksburg,http://blacksburg.craigslist.org/rid/3392635472.html,"i'm offering a ride from blacksburg to germantown. 
leaving november 16th returning november 25th. time of departure is not set in stone. departure might even happen on the thursday before break. if you can't leave thursday then send me a message and [...]",2012-11-07T09:38:07-05:00,emailnotfound,TRUE,blacksburg,2012-11-16T09:38:07-05:00,germantown
ride offered - roanoke to philadelphia on fri 11/9 (roanoke),blacksburg,http://blacksburg.craigslist.org/rid/3390791998.html,"i'm offering a ride from roanoke to philadelphia. 
leaving november 9th returning november 12th. i need to be in pa by 6am on 11/10 but i do not like to drive at night unless someone can drive or ride with me. i don't mind leaving friday afternoon or [...]",2012-11-06T12:46:37-05:00,emailnotfound,TRUE,blacksburg,2012-11-09T12:46:37-05:00,philadelphia
need ride from blacksburg to 757/williamsburg 11/8 or 11/9,blacksburg,http://blacksburg.craigslist.org/rid/3387202257.html,"hey, 
i need a ride from blacksburg to williamsburg or somewhere close by on either thursday the 8th or friday the 9th. i'll pitch in for gas, of course. i can leave pretty much anytime either day, and i need a ride back sunday, preferably early in t [...]",2012-11-04T21:43:35-05:00,emailnotfound,FALSE,blacksburg,2012-11-08T21:43:35-05:00,757/williamsburg
ride needed to jmu or nova 11/9,blacksburg,http://blacksburg.craigslist.org/rid/3386945748.html,my friend and i are looking for a ride to jmu on november 9th. if someone is going to jmu or is going to nova and will drop us off at jmu we will chip in for gas. thanks! ,2012-11-04T19:09:49-05:00,emailnotfound,FALSE,blacksburg,2012-11-09T19:09:49-05:00,jmu
