title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
traveling to utah tomorrow  (boise ),boise,http://boise.craigslist.org/rid/3416055127.html,my daughter dog and me are headed to utah sunday. we have room for one if you have money and can help pay your way. text 4354219417,2012-11-17T08:30:04-07:00,emailnotfound,FALSE,boise,2012-11-17T08:30:04-07:00,utah
ride needed boise to coeur d' alene  (boise ),boise,http://boise.craigslist.org/rid/3410687853.html,"ride needed to cd'a for thanksgiving. can help with gas, snacks and driving. looking to catch a roundtrip ride leaving wed, nov 21 and returning sunday, nov 25th. 
contact jane at 208 863-4492. thanks!",2012-11-17T08:00:33-07:00,emailnotfound,FALSE,boise,2012-11-21T08:00:33-07:00,coeur
boise to salt lake today,boise,http://boise.craigslist.org/rid/3415932470.html,"leaving for salt lake city this afternoon, 2pm ish. one way ( i won't be returning for a week) one seat available with room for a bag or two. traveling with kids",2012-11-17T07:26:51-07:00,emailnotfound,TRUE,boise,2012-11-17T07:26:51-07:00,salt
looking for a ride to portland on or after 11/26 (boise/meridian),boise,http://boise.craigslist.org/rid/3415511090.html,"hey! i'm coming home to boise for thanksgiving, but haven't worked out a way to get back to portland yet. i'm an easy-going adult male who excels at being un-annoying on road trips. i have a valid license and i'm happy to take a turn at the wheel if  [...]",2012-11-16T22:31:42-07:00,emailnotfound,FALSE,boise,2012-11-26T22:31:42-07:00,portland
ride offered to kansas city or anywhere along the way,boise,http://boise.craigslist.org/rid/3415398805.html,"headed to kansas city on the 17th headed east through, salt lake city utah, cheyenne wyoming, denver colorado, and finally getting to kansas city then going south monday afternoon to austin texas. looking for someone to help drive and a little help w [...]",2012-11-16T20:56:06-07:00,emailnotfound,TRUE,boise,2012-11-17T20:56:06-07:00,kansas
looking for ride - boise to denver - 2nd week of january (boise),boise,http://boise.craigslist.org/rid/3415274192.html,trying to get to denver in the second week of january. aiming for the 7th or 8th. if anybody knows of any good ways to get there any advice would be greatly appreciated. thanks!,2012-11-16T19:28:56-07:00,emailnotfound,FALSE,boise,2012-11-07T19:28:56-07:00,denver
offered - boise via or to eureka ca (boi (dt)-bend-brk-crc-acv/eka),boise,http://boise.craigslist.org/rid/3415026288.html,"staying currently in downtown boise, and need to leave tomorrow after a special event that ends late afternoon (saturday 17 nov). need to be in humboldt county for several things on monday morning and afternoon (eureka - arcata). preferred route that [...]",2012-11-16T17:10:03-07:00,emailnotfound,TRUE,boise,2012-11-16T17:10:03-07:00,eureka
ride needed to seattle ((boise to seattle)),boise,http://boise.craigslist.org/rid/3414802358.html,i am looking to get a ride up to seattle in the next week. i am trying to be in seattle by wensday. i am friendly and willing to help pay for gas. if anyone is heading that way please contact me at 9707291962 or my email address! thank you.,2012-11-16T15:25:09-07:00,emailnotfound,FALSE,boise,2012-11-16T15:25:09-07:00,seattle
boise to redding 11/20/12 (boise),boise,http://boise.craigslist.org/rid/3414053146.html,"going through redding on our way to central cali. 
going 11/20/12 and returning 11/27/12 
have room for 1 more. 
100.00 one way or 150.00 round trip. 
kathie 
208.954.6491",2012-11-16T10:37:32-07:00,emailnotfound,TRUE,boise,2012-11-20T10:37:32-07:00,redding
"boise to san luis obispo, ca (boise)",boise,http://boise.craigslist.org/rid/3407379755.html,"my son and i will be traveling from boise, idaho to pismo beach, ca. on tuesday november 20th. 
looking for 1 more person to share the ride down. 
i am asking 100.00 each person one way or 150.00 both ways. 
you may be dropped anywhere between boise  [...]",2012-11-16T10:25:16-07:00,emailnotfound,TRUE,boise,2012-11-20T10:25:16-07:00,san
"boise to las vegas (boise, nampa, las vegas)",boise,http://boise.craigslist.org/rid/3413738091.html,"i am leaving from twinfalls to las vegas saturday night or sunday morning ( nov 17/18). for right price i am willing to pick from boise, nampa area. lucury suv. space available for one or two people. share gas costs. text me at 208961706 asap or emai [...]",2012-11-16T08:37:50-07:00,emailnotfound,TRUE,boise,2012-17-18T08:37:50-07:00,las
