title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need trailer from charlotte to boone (boone),boone,http://boone.craigslist.org/rid/3415130397.html,i have a jeep that i need moved to boone from the west side of charlotte. if anyone has an empty trailer and and is going that way i would happily help with gas money. trying to spend less then $80 so no professional transport companies please. i had [...],2012-11-16T20:04:30-05:00,emailnotfound,TRUE,boone,2012-11-19T20:04:30-05:00,boone
ride offered - boone to hickory on sat 11/17 (boone),boone,http://boone.craigslist.org/rid/3414053876.html,"i'm offering a ride from boone to hickory. 
leaving november 17th returning november 18th. willing to pick up and drop off anywhere in hickory/boone. return time is flexible, as is leaving time. leaving time must be after 4pm. call brittany at 828-51 [...]",2012-11-16T12:37:47-05:00,emailnotfound,TRUE,boone,2012-11-17T12:37:47-05:00,hickory
truck headed to fl... (boone),boone,http://boone.craigslist.org/rid/3413483878.html,"driving to central fl to see them family for turkey day. we have a topper on the bed and could haul items south if needed for a reasonable rate. also, heading back up on the 25th if anything needs to ne brought north. ",2012-11-16T08:20:52-05:00,emailnotfound,FALSE,boone,2012-11-25T08:20:52-05:00,fl
ride offered - boone to richmond on tue 11/20 (boone),boone,http://boone.craigslist.org/rid/3411832714.html,"i'm offering a ride from boone to richmond. 
leaving november 20th returning november 25th. i'm driving from boone to richmond on tuesday around noon for thanksgiving break. i will return on sunday morning. i have one more seat left in my car (we're  [...]",2012-11-15T13:34:37-05:00,emailnotfound,TRUE,boone,2012-11-20T13:34:37-05:00,richmond
ride offered - boone to wake forest on wed 11/21 (boone),boone,http://boone.craigslist.org/rid/3410171555.html,"i'm offering a ride from boone to wake forest. 
leaving november 21st returning november 25th. departure back can be saturday if required. prefer sunday morning or afternoon, though! no real music preference. i enjoy meeting others and want to help o [...]",2012-11-14T17:53:39-05:00,emailnotfound,TRUE,boone,2012-11-21T17:53:39-05:00,wake
"headed to baltimore,md (balto)",boone,http://boone.craigslist.org/rid/3403519401.html,"anyone want a ride or 13th (tuesday), need a ride from blowing rock to baltimore leaving blo roc around 9 am november can drop you on the way if you like, i will not go far off interstate, im going i40,to 85 to 95, i am returning to blo roc thurs nov [...]",2012-11-12T00:24:52-05:00,emailnotfound,TRUE,boone,2012-11-13T00:24:52-05:00,baltimore
app student needs a ride to va,boone,http://boone.craigslist.org/rid/3398942537.html,hi im looking for a ride home to the virginia beach area of va from boone nc for thanksgiving nov 21 i will split gas thanks,2012-11-09T20:20:03-05:00,emailnotfound,FALSE,boone,2012-11-21T20:20:03-05:00,va
ride offered - boone to greensboro on tue 11/20 (boone),boone,http://boone.craigslist.org/rid/3395713394.html,"i'm offering a ride from boone to greensboro. 
leaving november 20th returning november 25th. contact me on zimride: http://www.zimride.com/ride/share?ride=522335 ",2012-11-08T14:08:30-05:00,emailnotfound,TRUE,boone,2012-11-20T14:08:30-05:00,greensboro
ride to florida end of nov,boone,http://boone.craigslist.org/rid/3393916855.html,"hi there, i am offering a ride to southeast florida on thursday, november 29th i have a small toyota king cab pick up truck, covered, so can take a few people, small dog in animal cage(have done that before) and some stuff too. leaving from asheville [...]",2012-11-07T17:57:17-05:00,emailnotfound,TRUE,boone,2012-11-29T17:57:17-05:00,florida
app student needs ride from asheville to boone sunday (asheville/boone),boone,http://boone.craigslist.org/rid/3379148684.html,app student looking for ride sunday afternoon or evening from asheville to boone. can share gas money. thanks,2012-11-01T11:09:54-04:00,emailnotfound,FALSE,boone,2012-11-05T11:09:54-04:00,boone
need ride to asheville from boone fri oct 26,boone,http://boone.craigslist.org/rid/3367024730.html,"hi, my name is owen. i'm a student at app state and i'm hoping to get a ride to asheville this afternoon/early eve to visit my brother. i'd also like to return saturday anytime during the day. i'm good company and i'll throw some gas money in! $7 the [...]",2012-10-26T16:33:29-04:00,emailnotfound,FALSE,boone,2012-10-26T16:33:29-04:00,asheville
ride offered to appstate v. western carolina football game 10/27 (boone to cullowhee),boone,http://boone.craigslist.org/rid/3311866686.html,"i will be going to the appalachian state v western carolina university football game that will take place on 10/27. 
i am able to take 3 or 4 people in my car. i will need 10 dollars per person for gas. 
(we may have two cars going so theres opportun [...]",2012-10-23T13:04:23-04:00,emailnotfound,TRUE,boone,2012-10-27T13:04:23-04:00,appstate
ride needed - boone to chicago on sat 12/15 (boone),boone,http://boone.craigslist.org/rid/3340920566.html,"i'm looking for a ride from boone to chicago. 
leaving december 15th returning january 12th. i live in the northwest suburbs but if i can get a ride anywhere in chicagoland i can work with that contact me on zimride: http://www.zimride.com/ride/share [...]",2012-10-15T15:14:10-04:00,emailnotfound,TRUE,boone,2012-12-15T15:14:10-04:00,chicago
