title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered 11/19 (kalispell to cheyenne),bozeman,http://bozeman.craigslist.org/rid/3416738331.html,"driving to cheyenne on monday in a real gas hog. lots of seating, looking for help with fuel costs. please contact via text if interested. 
foroh6-twowono-ate5tooeight",2012-11-17T13:00:09-07:00,emailnotfound,TRUE,bozeman,2012-11-19T13:00:09-07:00,cheyenne
ride offered to st. louis by way of denver or sioux falls (bozeman to st. louis),bozeman,http://bozeman.craigslist.org/rid/3414532889.html,"headin home to st. louisy with a bunch of gear so don't have a ton of room, maybe for just one or two peops at most. split gas and driving. looking to leave monday, possibly tues. lemme know 
jay (three one four_) 479-0298",2012-11-16T13:35:18-07:00,emailnotfound,TRUE,bozeman,2012-11-19T13:35:18-07:00,st.
need ride to missoula around 12/15 (bozeman),bozeman,http://bozeman.craigslist.org/rid/3414301638.html,"hi. 
i need to get to missoula sometime around 12/15. i can help pay for gas. let me know if you can help me out. 
thank you. 
alex",2012-11-16T12:07:35-07:00,emailnotfound,FALSE,bozeman,2012-12-15T12:07:35-07:00,missoula
"ride needed to portland, or 12/6 (bozeman)",bozeman,http://bozeman.craigslist.org/rid/3414295688.html,"hello. 
i'm looking for a ride to oregon (portland or eugene). i need to be there by 12/16. i can help pay for gas. i would also accept a ride to missoula, if that's as far as you can take me. 
thanks 
alex",2012-11-16T12:05:20-07:00,emailnotfound,FALSE,bozeman,2012-12-06T12:05:20-07:00,portland
"bozeman to missoula 11/22or21 (bozeman, mt.)",bozeman,http://bozeman.craigslist.org/rid/3413603609.html,i am heading to missoula on 11/22 early in the morning or in the afternoon on 11/21. looking for passengers to split gas. let me know if you are interested. i have a smaller truck with plenty of room for gear. should be returning on the 24th or 25th. [...],2012-11-16T07:35:38-07:00,emailnotfound,TRUE,bozeman,2012-11-22T07:35:38-07:00,missoula
offering bozeman to great falls,bozeman,http://bozeman.craigslist.org/rid/3412402322.html,"so i have a 91 pickup and i have room for one more passenger and a ton of gear.. i would be leaving the 20th and would be coming back roughly around the 25th. 
i'm a student at msu and i'm 420 friendly, you be too.",2012-11-15T15:23:01-07:00,emailnotfound,TRUE,bozeman,2012-11-20T15:23:01-07:00,great
"leaving sheridan, wy friday heading east to idaho!! need a ride? (wy, mt, id)",bozeman,http://bozeman.craigslist.org/rid/3412282548.html,"hello, i'm heading home to nampa, idaho from sheridan, wy. i'm taking the 90 east through billings, bozman, idaho falls, twin, and to boise. if you an help out a little with gas you have a ride. plan on leaving friday morning. give me a call or email [...]",2012-11-15T14:31:41-07:00,emailnotfound,TRUE,bozeman,2012-11-16T14:31:41-07:00,idaho
ride needed bozeman to missoula 11/16  (bozeman to missouila),bozeman,http://bozeman.craigslist.org/rid/3402431304.html,"i am looking for a ride from bozeman to missoula on friday the 16th or thursday evening. i will be traveling with my very well behaved dog, and i am willing to split gas. 
email me and i will respond immediately. 
andy",2012-11-15T07:42:02-07:00,emailnotfound,FALSE,bozeman,2012-11-16T07:42:02-07:00,missoula
looking to or 4thnkxgvng (portland),bozeman,http://bozeman.craigslist.org/rid/3410690539.html,"trying to get to portland; from bozeman, or butte- if need be. 
would cough up for gas/driving, 
and be flexible as to leaving tuesday 20th or midday 21st. would be return-trip-seeking, 
but negotiable (sun/mon?)",2012-11-14T20:33:09-07:00,emailnotfound,TRUE,bozeman,2012-11-19T20:33:09-07:00,or
ride offered to missoula 11/16 (bozeman),bozeman,http://bozeman.craigslist.org/rid/3410084612.html,i have some open seats to missoula leaving bozeman around 4pm 11/16 friday returning to bozeman sunday afternoon. if your interested and can pitch in on gas text me. four zero 6-five three nine-zero four six four.,2012-11-14T15:16:21-07:00,emailnotfound,TRUE,bozeman,2012-11-16T15:16:21-07:00,missoula
