title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
seeking ride to hyannis fr nyc for business conference 11/27 (hyannis),capecod,http://capecod.craigslist.org/rid/3417758675.html,"professional highly educated responsible excellent driving record willing to share driving split expenses from nyc to hyannis nov 27th 
attending business to business conference 
non smoking safe sound exclusively please respond here for prompt follo [...]",2012-11-18T01:15:22-05:00,emailnotfound,TRUE,capecod,2012-11-27T01:15:22-05:00,hyannis
boston to provincetown (logan airport),capecod,http://capecod.craigslist.org/rid/3417518541.html,"i am driving from logan airport to provincetown on monday, november 19, 2012. leaving airport at 7 pm. willing to drive anyone along my route i am taking all the way to provincetown. cost is negotiable. ",2012-11-17T21:41:34-05:00,emailnotfound,TRUE,capecod,2012-11-19T21:41:34-05:00,provincetown
need ride off cape ! wed 11/14 (bourne to boston),capecod,http://capecod.craigslist.org/rid/3408600884.html,"in desperate need of a ride to boston for an appointment (or as close as you can) on wednesday 11/14! 
my transmission blew on the way home from work tonight and i really need to make it up to boston without chancing public transportation. 
will pay  [...]",2012-11-14T03:40:15-05:00,emailnotfound,TRUE,capecod,2012-11-14T03:40:15-05:00,boston
ride offerd buzzards bay to scranton pa 11/9/2012,capecod,http://capecod.craigslist.org/rid/3396565123.html,leaving from buzzards bay for scranton on 11.9.2012 in a conversion van. 20$ ,2012-11-08T20:20:44-05:00,emailnotfound,TRUE,capecod,2012-11-09T20:20:44-05:00,scranton
ride offered - martha's vineyard to boston on thu 11/8 (vineyard haven),capecod,http://capecod.craigslist.org/rid/3394662891.html,"i'm offering a ride from west tisbury to boston. 
leaving november 8th returning november 8th. contact me on zimride: http://www.zimride.com/ride/share?ride=521639 ",2012-11-08T02:32:20-05:00,emailnotfound,TRUE,capecod,2012-11-08T02:32:20-05:00,boston
"need to get to my appointment (hyannis, ma)",capecod,http://capecod.craigslist.org/rid/3386412803.html,i need help getting to my appointment in attleborro ma wednesday the 7th at 10 am and getting back the appointment is 2 hours long i do not have a vehicle and i have asked all of my family and friends but they are all busy this appointment is very im [...],2012-11-04T14:45:56-05:00,emailnotfound,FALSE,capecod,2012-11-07T14:45:56-05:00,get
ride needed. boston to provincetown,capecod,http://capecod.craigslist.org/rid/3380448866.html,"hello! 
i am in need of a ride from boston to provincetown on monday nov 5, give or take a day. any time is okay, and i can chip in 10 or 15 dollars for gas. just let me know what you think is fair. the best way to reach me is by cell phone, 650 703  [...]",2012-11-01T20:10:40-04:00,emailnotfound,FALSE,capecod,2012-11-05T20:10:40-04:00,provincetown
"massride van pool daily to boston  (barnstable, sagamore, plymouth, boston)",capecod,http://capecod.craigslist.org/rid/3378196416.html,"taking the bus to boston? cut your commute cost with a massride van pool. give us a try; one week for free; absolutely no commitment. we're friendly professionals that commute daily to boston. 
van is ford e350 14 passenger van configured with comfor [...]",2012-10-31T19:52:23-04:00,emailnotfound,TRUE,capecod,2012-10-33T19:52:23-04:00,boston
"need ride 5 days/wk falmouth to hyannis (falmouth, ma)",capecod,http://capecod.craigslist.org/rid/3370385443.html,"i live in falmouth, work in hyannis. need ride mon/tue/thur/sat/sun. pick up in falmouth 9:15 am for arrival in hyannis by 10 am, then pick up in hyannis 7 pm to return to falmouth. will compensate financially. please call 508-245-7864",2012-10-28T11:05:00-04:00,emailnotfound,TRUE,capecod,2012-10-29T11:05:00-04:00,hyannis
do you need a ride south? (cape cod to florida),capecod,http://capecod.craigslist.org/rid/3359183280.html,"i am leaving cape cod on saturday morning, october 27, and heading to naples, florida. i am driving a moving truck, which will be pretty full, and towing my chevy blazer, which will be empty. i am looking for somebody who wants to kick in a couple bu [...]",2012-10-23T12:08:01-04:00,emailnotfound,TRUE,capecod,2012-10-27T12:08:01-04:00,florida
"ride needed to western mass... (amherst, ma)",capecod,http://capecod.craigslist.org/rid/3339061369.html,"hello, i am trying to bring a friend of mine over to western mass to show her the foliage as it is prime time over there for that right now. she is from san francisco and only a week ago she arrived on cape. figured we would try to get a ride share o [...]",2012-10-14T18:38:25-04:00,emailnotfound,FALSE,capecod,2012-10-19T18:38:25-04:00,western
oct 3 to s. carolina all or part way (cape-s.c),capecod,http://capecod.craigslist.org/rid/3311172680.html,leaving in the morning in a sienna van...508-776-3637 mark,2012-10-02T12:08:08-04:00,emailnotfound,TRUE,capecod,2012-10-03T12:08:08-04:00,s.
