title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need ride to asheville nc for thanksgiving!,chattanooga,http://chattanooga.craigslist.org/rid/3415276190.html,"in need of a ride from chattanooga to asheville on thanksgiving morning! please email me if you can help! i have gas money to contribute. 
thanks!",2012-11-16T21:30:11-05:00,emailnotfound,FALSE,chattanooga,2012-11-19T21:30:11-05:00,asheville
need ride (la vergne to el paso),chattanooga,http://chattanooga.craigslist.org/rid/3413203998.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap.,2012-11-16T01:28:26-05:00,emailnotfound,FALSE,chattanooga,2012-11-16T01:28:26-05:00,el
***ride offered to sw florida***,chattanooga,http://chattanooga.craigslist.org/rid/3410264979.html,"i'm leaving chatt or atlanta sun nov 24th. 
going as far south as naples . 
615- 498- eight six eight three ",2012-11-14T18:36:48-05:00,emailnotfound,TRUE,chattanooga,2012-11-24T18:36:48-05:00,sw
needing a ride to jackson tn (chattanooga),chattanooga,http://chattanooga.craigslist.org/rid/3410188422.html,"hey, my daughter and i are looking for a ride to jackson, tn tuesday afternoon, nov. 20. i would be willing to help with gas money. i am a full time student and wife has to work wednesday and cannot meet us until thursday morning. i am trying to get  [...]",2012-11-14T18:01:10-05:00,emailnotfound,FALSE,chattanooga,2012-11-20T18:01:10-05:00,jackson
ride offered - hixson to meadville on tue 11/13 (hixson),chattanooga,http://chattanooga.craigslist.org/rid/3405788342.html,"i'm offering a ride from hixson to meadville. 
leaving november 13th. long trip need help with driving, manual transmission car. contact me on zimride: http://www.zimride.com/ride/share?ride=528438 ",2012-11-12T21:37:27-05:00,emailnotfound,TRUE,chattanooga,2012-11-13T21:37:27-05:00,meadville
rider or cargo to chi/michigan,chattanooga,http://chattanooga.craigslist.org/rid/3395465332.html,"i'll be leaving from dalton, ga this saturday morning (11/10) and driving to either chicago, the kalamazoo area, or points in between. can take either one peaceful, non-smoking rider, or small amount of cargo. i have a 1999 chrysler town and country  [...]",2012-11-08T12:38:33-05:00,emailnotfound,TRUE,chattanooga,2012-11-10T12:38:33-05:00,chi/michigan
need ride from cleveland tn or chattanooga to jacksonville fl,chattanooga,http://chattanooga.craigslist.org/rid/3378350687.html,"dec 2 any time white 59 yr old great driver can drive anything and help with pets 
or can tansport your car...low low fee 904 272 7884",2012-10-31T21:35:05-04:00,emailnotfound,FALSE,chattanooga,2012-12-02T21:35:05-04:00,jacksonville
looking for a ride chattanooga to new orleans asap,chattanooga,http://chattanooga.craigslist.org/rid/3366450590.html,"ello, 
my friend and i are trying to find a way to new orleans oct 29 or as close to such date. 
we are in chattanooga. 
thank you 
email or text @ (423)991-2418",2012-10-26T12:51:20-04:00,emailnotfound,FALSE,chattanooga,2012-10-26T12:51:20-04:00,new
need ride cleveland tn to nashville tn (cleveland),chattanooga,http://chattanooga.craigslist.org/rid/3365806963.html,"anyone going to nashville saturday the 27th? all my rides have cancelled, i need to get to the exit in for a concert that starts around 7pm, tomahawk is playing, will pay gas. also need ride back late saturday or early sunday...thanks",2012-10-26T06:53:56-04:00,emailnotfound,FALSE,chattanooga,2012-10-27T06:53:56-04:00,nashville
ride offer - heading to florida,chattanooga,http://chattanooga.craigslist.org/rid/3361937238.html,"heading to florida via 1-70 east. 
leaving thursday, 10/25 and driving straight to gainesville. 
can pick up or drop off anywhere along the interstate. 
call/text: 225 329 four eight 20 
or 814 558 six six 10 ",2012-10-24T13:49:40-04:00,emailnotfound,TRUE,chattanooga,2012-10-25T13:49:40-04:00,florida
needing ride to or close to indiana for aunts funeral  (cleveland tn),chattanooga,http://chattanooga.craigslist.org/rid/3340929073.html,hello me and my bf need a ride to either indiana or kentucky for my boyfriends aunts funeral. her funeral is wed so if anyone could please help it would mean allot to us. we don't really have much money for he gets paid on friday which by then would  [...],2012-10-15T15:17:21-04:00,emailnotfound,FALSE,chattanooga,2012-10-15T15:17:21-04:00,or
