title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
350.0rg trip to d.c. tomorrow (freehold/howell),cnj,http://cnj.craigslist.org/rid/3416978996.html,there is no bus for this trip to d.c. and i'm looking to car pool there and back. we can leave at whatever time is mutually convenient and come back after the event. i was with bill mckibben in nyc last night and would like to make this happen. let m [...],2012-11-17T16:42:52-05:00,emailnotfound,TRUE,cnj,2012-11-17T16:42:52-05:00,d.c.
new jersey to va tomorrow early morning (nj to de-pa-md-va),cnj,http://cnj.craigslist.org/rid/3415062207.html,"i'm leaving from princeton, nj tomorrow saturday 17 and driving to virginia. i can drop you off or pick you off anywhere around the route.i have room for up to 2-3 people plus luggage. pets ok. rate 30. ",2012-11-16T19:28:25-05:00,emailnotfound,TRUE,cnj,2012-11-16T19:28:25-05:00,va
rideshare to michigan for thanksgiving (princeton to detoit and back),cnj,http://cnj.craigslist.org/rid/3414190756.html,"i am driving my corolla from princeton to suburban detroit, leaving either late tuesday night or early wednesday before thanksgiving (flexible depending on passengers). if you want to come along one or both ways, up to two passengers welcome. help dr [...]",2012-11-16T13:26:52-05:00,emailnotfound,TRUE,cnj,2012-11-20T13:26:52-05:00,michigan
nj to maine (pennington),cnj,http://cnj.craigslist.org/rid/3414113467.html,"i'm driving up near portland maine early wednesday morning the 21st. leaving from pennington, nj but can pick up from any surrounding towns. any one who needs to go north to any town i'll be crossing through. name your location and we can talk about  [...]",2012-11-16T12:59:14-05:00,emailnotfound,TRUE,cnj,2012-11-21T12:59:14-05:00,maine
"ride to newark liberty or jfk on 11/17 pm (dayton, nj)",cnj,http://cnj.craigslist.org/rid/3413791115.html,"i am offering rides to newark liberty airport (only $45 inc tolls etc.) or jfk airport for $65 inc tolls in my lexus sedan tomorrow (satnov 17th) afternoon. 
ideally the pick up from the south/north/new/east brunswick area will be after 4pm tomorrow. [...]",2012-11-16T10:59:40-05:00,emailnotfound,TRUE,cnj,2012-11-17T10:59:40-05:00,newark
driving to worcester ma (perth amboy),cnj,http://cnj.craigslist.org/rid/3408169006.html,driving to worcester on friday at around 11:30am. willing to share gas. non-smoker...no weirdos please..am a male in my late 20's. ,2012-11-13T21:02:12-05:00,emailnotfound,TRUE,cnj,2012-11-16T21:02:12-05:00,worcester
"driving to colorado (denver, longmont, fort collins)",cnj,http://cnj.craigslist.org/rid/3386731435.html,"hey peoples, 
i am trying to get out to co. after x-mas. 
i am trying to leave sometime in early january. maybe before the 1st? 
willing to split gas costs. i am most likely to drive my station wagon. 
let's chat about it (gmail chat or video chat) 
 [...]",2012-11-12T18:32:48-05:00,emailnotfound,FALSE,cnj,2012-11-12T18:32:48-05:00,colorado
driving to ohio for thanksgiving (cleveland/youngstown),cnj,http://cnj.craigslist.org/rid/3402602124.html,"leaving new york city on tuesday, november 20th or 21st to drive to ohio. my family lives near youngstown but would be willing to stop in pa or cleveland if you need to go there. will drive straight through, only stopping for eating, bathroom breaks  [...]",2012-11-11T15:24:56-05:00,emailnotfound,TRUE,cnj,2012-11-20T15:24:56-05:00,ohio
carshare from new brunswick to dc (new brunswick),cnj,http://cnj.craigslist.org/rid/3391817707.html,"hey everyone, i'm looking for another person who would want to drive from new brunswick to washington dc with me on the weekends (friday afternoon to sunday night). we can split the cost of gas and tolls, about 35 each. more people the better. no wei [...]",2012-11-06T19:57:39-05:00,emailnotfound,TRUE,cnj,2012-11-09T19:57:39-05:00,dc
need ride nj to fl (central nj to fort laud fl.),cnj,http://cnj.craigslist.org/rid/3389620856.html,need a ride to east coast of florida? leaving 7pm nov 7. will drive straight thru be there nov8. i can also transport large or small items. help with gas / toll money.,2012-11-05T21:27:11-05:00,emailnotfound,TRUE,cnj,2012-11-07T21:27:11-05:00,fl
ride to work needed  (east orange to greenbrook and back),cnj,http://cnj.craigslist.org/rid/3382553943.html,"i work in greenbrook, nj and live in east orange, nj. 
i need to get to work on monday 11/5/12 
wednesday 11/7/12 
thursday 11/8/12 
friday 11/9/12 
i start work at 9am and finish at 5pm. 
let me know how much.",2012-11-02T18:21:19-04:00,emailnotfound,FALSE,cnj,2012-11-05T18:21:19-04:00,work
"clinton, nj to albany, ny sat-tues (new jersey to albany)",cnj,http://cnj.craigslist.org/rid/3382160148.html,"i am heading to albany from clinton nj and returning tues. i am willing to pick up right the highway (78, 287, or 87) along the way and looking for contribution to cover fuel. ***please email through craigslist a phone # to text or call you.thanks.",2012-11-02T15:37:29-04:00,emailnotfound,TRUE,cnj,2012-11-06T15:37:29-04:00,albany
woodbridge to journal square (daily &amp; return),cnj,http://cnj.craigslist.org/rid/3380198124.html,"rideshare early need to be @ journal square by 630 am. m--&gt; friday, non smoker car/van",2012-11-01T18:09:03-04:00,emailnotfound,TRUE,cnj,2012-11-02T18:09:03-04:00,journal
ride wanted for 2: princeton to ny city or central massachusetts (princeton),cnj,http://cnj.craigslist.org/rid/3378164101.html,"hey world, 
my girlfriend and i are trying to make it up to central massachusetts from princeton nj. we're looking for a ride either all the way, part of the way, or maybe even just to new york city. we're both clean and kind mid-twenty year-olds. we [...]",2012-10-31T19:33:14-04:00,emailnotfound,FALSE,cnj,2012-10-33T19:33:14-04:00,ny
anyone need a ride to midtown tomorrow? (freehold),cnj,http://cnj.craigslist.org/rid/3377847932.html,the mayor just said anyone driving to the lincoln tunnel needs at least 3 people in the car. anyone who lives in the freehold area who works in manhattan want to carpool tomorrow?,2012-10-31T16:51:44-04:00,emailnotfound,TRUE,cnj,2012-10-31T16:51:44-04:00,midtown
ride needed from princeton to philly on nov 1,cnj,http://cnj.craigslist.org/rid/3377775550.html,"i need to be in philly by 7:30 am tomorrow on november 1st. if somebody could pick me up at princeton university and get me to philly by that time, i would really appreciate it! price for the ride is negotiable. 
best, 
yuliya.",2012-10-31T16:20:44-04:00,emailnotfound,FALSE,cnj,2012-10-31T16:20:44-04:00,philly
rideshare from ewing new jersey to gaithersburg maryland fri-sun (central nj),cnj,http://cnj.craigslist.org/rid/3364539037.html,"hi, i will be doing commute between ewing, new jersey to gaithersburg, maryland regularly. i would commute twice a month (every two weeks). the starting date would be 11/9/2012 (friday). i will always leave ewing, new jersey on friday around 5:30pm t [...]",2012-10-25T15:13:07-04:00,emailnotfound,TRUE,cnj,2012-11-09T15:13:07-04:00,gaithersburg
is anyone going to the eagles game sunday 10/28/12 (princeton area to phila),cnj,http://cnj.craigslist.org/rid/3364522326.html,"i am working the eagles game and need a ride there, my friend will be able to give me a ride home. 
thank you, 
john 
609 577 6482 cell",2012-10-25T15:06:48-04:00,emailnotfound,FALSE,cnj,2012-10-28T15:06:48-04:00,the
"transportation offered to edison, nj (edison)",cnj,http://cnj.craigslist.org/rid/3363596349.html,"i am a responsible, safe driver with a reliable car, and i am interested in either: 
a - driving someone to work for pay (preferred); or 
b - carpooling 
monday through friday. from monmouth county to edison (or a surrounding town) in the morning, an [...]",2012-10-25T08:43:36-04:00,emailnotfound,TRUE,cnj,2012-10-29T08:43:36-04:00,edison
transportation needed-to/from work (keyport/cliffwood to raritan ctr(edison)),cnj,http://cnj.craigslist.org/rid/3357160139.html,"i need daily transportation, from keyport(cliffwood area), to edison - (raritan center, front of the center). this will be monday through friday, normal working hours - no weekends or holidays. 
i need to be picked up at 8:00 a.m., in keyport, and dr [...]",2012-10-22T14:52:59-04:00,emailnotfound,TRUE,cnj,2012-10-22T14:52:59-04:00,raritan
"i need a ride from newark airport to the shore, friday 5 pm (newark airport)",cnj,http://cnj.craigslist.org/rid/3349539498.html,arriving at ewr at 4:30 friday and need a ride south. i will pay for gas plus a few extra gallons. no weirdos please.,2012-10-19T08:17:29-04:00,emailnotfound,TRUE,cnj,2012-10-19T08:17:29-04:00,the
trenton nj  to washington dc (central jersey),cnj,http://cnj.craigslist.org/rid/3348074559.html,"im going to washington dc from mercer county areas on friday 19th returning on monday 22. if you are interesting just send me an email. 
im leaving late nigth but i can leave early sat. 
thanks.",2012-10-18T14:28:35-04:00,emailnotfound,TRUE,cnj,2012-10-22T14:28:35-04:00,washington
"free: megabus ticket, princeton to ny, departs today at 12:00 pm, noon (nassau and witherspoon -&gt; nyc)",cnj,http://cnj.craigslist.org/rid/3340203754.html,i bought a one way megabus ticket from princeton to nyc. the bus departs from the main gate of princeton at 12:00 pm (noon) today monday october 15th. it will arrive at port authority bus terminal around 1:30 or 2 pm. i can't leave nj until later thi [...],2012-10-15T10:58:06-04:00,emailnotfound,TRUE,cnj,2012-10-15T10:58:06-04:00,ny
need a carpool partner for m-f holmdel/matawan area to downtown newark (holmdel),cnj,http://cnj.craigslist.org/rid/3296424539.html,i am looking for a carpool partner for monday through friday commute. leave holmdel/middletown/hazlet/keyport/aberdeen/matawan area between 7:30 - 8:30 in the morning and leave newark around 5 pm. i have some flexibility at my job as far as arrival a [...],2012-10-10T18:55:47-04:00,emailnotfound,TRUE,cnj,2012-10-15T18:55:47-04:00,downtown
"looking for a ride to jfk from edison,nj (middlesex college)",cnj,http://cnj.craigslist.org/rid/3325170767.html,"hi, 
im looking for a ride to jfk airport on oct 11, 2012 between 4-6pm from edison city (close to middlesex county college). i have three luggage bags as im traveling overseas. can share some expenses. 
please let me know asap. 
thanks",2012-10-08T15:35:57-04:00,emailnotfound,FALSE,cnj,2012-10-08T15:35:57-04:00,jfk
