title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need a ride! - charlotte to columbia!,columbia,http://columbia.craigslist.org/rid/3416370243.html,i need a ride from charlotte nc to columbia sc on monday the 19th. i need to be in columbia by 7:00pm. can pay for all of the gas and a bit more for the trouble. email me back or call me at 704-258-1788 ,2012-11-17T12:37:31-05:00,emailnotfound,FALSE,columbia,2012-11-19T12:37:31-05:00,columbia
"need ride from (11/30) & to (12/2) charleston, sc",columbia,http://columbia.craigslist.org/rid/3410742429.html,"hey there. i am visiting my brother in columbia, south carolina from friday, november 30th - sunday, december 2nd. 
i would love to catch a ride charleston to columbia on friday night (11/30) and/or a ride from columbia to charleston on sunday aftern [...]",2012-11-14T23:09:39-05:00,emailnotfound,FALSE,columbia,2012-11-30T23:09:39-05:00,12/2
ride offered - west columbia to washington on sat 11/17 (west columbia),columbia,http://columbia.craigslist.org/rid/3404924558.html,"i'm offering a ride from west columbia to washington. 
leaving november 17th returning november 17th. i'm not a bad driver, i promise! this is particularly for those heading to move:dc. contact me on zimride: http://www.zimride.com/ride/share?ride=52 [...]",2012-11-12T15:18:20-05:00,emailnotfound,TRUE,columbia,2012-11-17T15:18:20-05:00,washington
ride to florida end of nov,columbia,http://columbia.craigslist.org/rid/3393913122.html,"hi there, i am offering a ride to southeast florida on thursday, november 29th i have a small toyota king cab pick up truck, covered, so can take a few people, small dog in animal cage(have done that before) and some stuff too. if interested, call 82 [...]",2012-11-07T17:55:38-05:00,emailnotfound,TRUE,columbia,2012-11-29T17:55:38-05:00,florida
columbia to charleston? (columbia),columbia,http://columbia.craigslist.org/rid/3392919012.html,anyone goin to charleston today or tomrrow? ,2012-11-07T11:37:20-05:00,emailnotfound,TRUE,columbia,2012-11-07T11:37:20-05:00,charleston
columbia to charlotte,columbia,http://columbia.craigslist.org/rid/3385080735.html,"looking for a ride from columbia sc to charlotte nc tomorrow, sunday, november the 4th. i will pay for all the gas there. email me back or call or text me at 704-258-1788.",2012-11-03T21:23:21-04:00,emailnotfound,FALSE,columbia,2012-11-03T21:23:21-04:00,charlotte
columbia to orlando florida (cola-orlando),columbia,http://columbia.craigslist.org/rid/3378888601.html,ride share to orlando fl leaving late today thursday -,2012-11-01T08:50:29-04:00,emailnotfound,TRUE,columbia,2012-11-01T08:50:29-04:00,orlando
"going to ohio every other week (columbia, sc)",columbia,http://columbia.craigslist.org/rid/3375231238.html,"i am going to columbus, oh every other week. going this friday too. 
i will be passing thru charlotte, nc, charleston, wv. (77 n, 33 w or 35 n) 
if anyone needs a ride along my way, please reply with about you & your travel plans. 
i want to share ga [...]",2012-10-30T14:40:19-04:00,emailnotfound,TRUE,columbia,2012-10-33T14:40:19-04:00,ohio
"augusta airport to columbia, sc (ags to cae)",columbia,http://columbia.craigslist.org/rid/3345979558.html,"need a ride from augusta, ga to columbia, sc. specifically from augusta regional airport to holiday inn express 221 lanneau court, columbia, sc. flight arrives in ags at 11 pm nov. 13, tuesday. will pay $20.",2012-10-29T18:01:35-04:00,emailnotfound,TRUE,columbia,2012-11-13T18:01:35-04:00,columbia
rideshare (shaw afb to downtown columbia),columbia,http://columbia.craigslist.org/rid/3363457619.html,"i commute mon-friday leaving the shaw afb area down on s-441 to n-521 and i-20e and off at exit 82 towards spears creek rd. 
i usually leave around 5:30am and head back around 5pm on the same route-reversed. please email me if interested in splitting [...]",2012-10-25T05:42:54-04:00,emailnotfound,TRUE,columbia,2012-10-29T05:42:54-04:00,downtown
ride offered - gaston to orlando on tue 10/23 (florence sc),columbia,http://columbia.craigslist.org/rid/3359715636.html,"i'm offering a ride from florence sc. to orlando. 
leaving october 23rd returning october 29th. one way contact me on zimride: http://www.zimride.com/ride/share?ride=503712 ",2012-10-23T15:16:34-04:00,emailnotfound,TRUE,columbia,2012-10-23T15:16:34-04:00,orlando
"looking for rideshare columbia to tampa/orlando, fl (columbia, sc)",columbia,http://columbia.craigslist.org/rid/3356316792.html,"hi there - looking for a buddy with a car to get from columbia (near usc) to either tampa or orlando, fl. i'm visiting friends in both places and bus/train schedules look pretty inconvenient. 
my preferred day to leave is tues, nov 6th, but i'm relat [...]",2012-10-22T09:42:04-04:00,emailnotfound,FALSE,columbia,2012-11-06T09:42:04-04:00,tampa/orlando
"need a ride to ohio and back? (columbia, sc)",columbia,http://columbia.craigslist.org/rid/3340237896.html,"hi, 
i am traveling to columbus, oh on friday 4pm. i will return on sunday midnight. i pass thru charlotte, nc, charleston, vw. 
i am looking for someone who is headed that way, to share gas, tolls and driving. i drive a 1999 vw passat. 
if this suit [...]",2012-10-15T11:11:45-04:00,emailnotfound,FALSE,columbia,2012-10-19T11:11:45-04:00,ohio
