title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need ride to chicago area (dekalb),columbiamo,http://columbiamo.craigslist.org/rid/3409451831.html,"looking to get my son a ride home for the holidays, he's 15 in the columbia area to anywhere in the chicagoland area.. dekalb or naperville would be preferred but anywhere close is good. any day 
today to next wednesday .. thanks.",2012-11-14T12:15:32-06:00,emailnotfound,FALSE,columbiamo,2012-11-14T12:15:32-06:00,chicago
need ride to jeff city next week (columbia),columbiamo,http://columbiamo.craigslist.org/rid/3409067685.html,i need a ride to jeff city to have thankgiving dinner with my mom next week anytime before thursday the 22 of november i will help with gas can someone help me out on this i would be very thankfull if you did thanks for reading my ad------573fourfour [...],2012-11-14T09:53:49-06:00,emailnotfound,FALSE,columbiamo,2012-11-15T09:53:49-06:00,jeff
"ride needed to chicago area (moline, il)",columbiamo,http://columbiamo.craigslist.org/rid/3406640566.html,"2 individuals need ride to moline, il tomorrow or thursday early, please! we can help with both driving and gas cost. one british male and one female from n.c. thank you! you can also text at: 215-874-4668.",2012-11-13T09:46:23-06:00,emailnotfound,FALSE,columbiamo,2012-11-13T09:46:23-06:00,chicago
im driving columbia to kansas city nov 11 wanna go? (columbia to kc),columbiamo,http://columbiamo.craigslist.org/rid/3400093892.html,"im driving from columbia missouri to kansas city missouri tommorow (sunday nov 11) leaving about noon 
three,one,four,two,two,one,four,two,seven,eight try it it works name is eric",2012-11-10T11:13:47-06:00,emailnotfound,TRUE,columbiamo,2012-11-11T11:13:47-06:00,kansas
need ride fulton to jeff city and back (11/12/12 by 1pm ),columbiamo,http://columbiamo.craigslist.org/rid/3386842067.html,i need to be in jeff city for 3 hours for a satop meeting from 1pm till 4. will need a ride back. and mite need to go fore 5 weeks we can talk about.,2012-11-04T17:13:27-06:00,emailnotfound,TRUE,columbiamo,2012-11-12T17:13:27-06:00,jeff
nov 19th to st.louis airport (mu campus),columbiamo,http://columbiamo.craigslist.org/rid/3375768021.html,"we three need a ride to st.louis airport in the morning of nov.19th, we are glad to share gas fee. thanks!",2012-10-30T17:19:15-05:00,emailnotfound,TRUE,columbiamo,2012-11-19T17:19:15-05:00,st.louis
columbia to kc (columbia),columbiamo,http://columbiamo.craigslist.org/rid/3367739002.html,i'm going to kansas city tomorrow. if you would like to ride along please contact me. 660-215-0696. ,2012-10-26T22:06:57-05:00,emailnotfound,TRUE,columbiamo,2012-10-26T22:06:57-05:00,kc
marshall to austin tx (marshall),columbiamo,http://columbiamo.craigslist.org/rid/3359412028.html,i am headed to just east of austin tx thrusday nov 1 leaving early in the morning. then will be leaving east austin nov 6 early in the morning. plenty of room. 2004 f-250 ford four door diesel loaded with leather. i am the only one going and would ta [...],2012-10-23T12:29:02-05:00,emailnotfound,TRUE,columbiamo,2012-11-01T12:29:02-05:00,austin
need ride from columbia to st louis (in the world),columbiamo,http://columbiamo.craigslist.org/rid/3327061683.html,"hello folks my name is annabell and my boyfriend, dog, and i need a ride to st. louis from columbia, missouri sometime close to oct. 10th. we would greatly appreciate any help! please shoot me an email if you are interested. thank you and have a love [...]",2012-10-09T11:33:37-05:00,emailnotfound,FALSE,columbiamo,2012-10-10T11:33:37-05:00,st
columbia to denver  (columbia ),columbiamo,http://columbiamo.craigslist.org/rid/3326993438.html,"me and two friends are biking from indianapolis to denver to find work, and the winter seems to be beating us. we're in columbia right now, and would love a ride to denver. we can help with gas. thanks ahead of time! ",2012-10-09T11:08:59-05:00,emailnotfound,FALSE,columbiamo,2012-10-12T11:08:59-05:00,denver
ride needed north to kirksville/memphis,columbiamo,http://columbiamo.craigslist.org/rid/3318075668.html,"hi, 
i am trying to get to a farm in northeast missouri between kirksville and memphis. if anyone is heading up that way and would be willing to host a 24 year old australian in their car i would be very greatful. i will chip in for fuel money and ho [...]",2012-10-05T10:18:05-05:00,emailnotfound,FALSE,columbiamo,2012-10-08T10:18:05-05:00,kirksville/memphis
"ride to detroit (columbia, mo)",columbiamo,http://columbiamo.craigslist.org/rid/3283186533.html,"looking for a ride to detroit next week. have a few boxes of books, a bag of clothes and a bike. will share gas money and buy you a meal. please e-mail with details. 
thanks! 
pavan",2012-09-19T17:33:28-05:00,emailnotfound,FALSE,columbiamo,2012-09-24T17:33:28-05:00,detroit
