title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
headed to chattanooga (ormond to chatt),daytona,http://daytona.craigslist.org/rid/3414532010.html,"headed to chattanooga, tn either leaving this evening or tomorrow morning. can drop you off there or along the way. share gsa cost. ",2012-11-16T15:34:57-05:00,emailnotfound,TRUE,daytona,2012-11-16T15:34:57-05:00,chattanooga
driving to atlanta around thanksgiving (fl to ga),daytona,http://daytona.craigslist.org/rid/3404867901.html,"i will be driving to atlanta for the holiday. i can either leave any time wed evening the 21st, thur morning the 22nd or fri morning the 23rd. 
i will be coming back to florida on sun the 25th. 
anyone need a ride, just let me know. i can pick you up [...]",2012-11-15T18:47:48-05:00,emailnotfound,TRUE,daytona,2012-11-22T18:47:48-05:00,atlanta
need ride to orlando (downtown),daytona,http://daytona.craigslist.org/rid/3412076246.html,need ride to orlando from ormond/daytona tonight (11/15)...must arrive by 9 pm,2012-11-15T15:06:31-05:00,emailnotfound,TRUE,daytona,2012-11-15T15:06:31-05:00,orlando
car group up or grey hound.. (fl to losangeles),daytona,http://daytona.craigslist.org/rid/3408304381.html,me and my wife are trying to git to los angeles.. or los vages .. or group up on a greyhound to git a discount package.. please asap call me or text me 386 215 2479.. karissa and brian..,2012-11-13T22:23:01-05:00,emailnotfound,FALSE,daytona,2012-11-13T22:23:01-05:00,losangeles
please help need to get my dog back to me (daytona to pa),daytona,http://daytona.craigslist.org/rid/3390248153.html,i came to easton pa 3 weeks ago when my father past away thinking my mom would come back to florida with me but now i can't get her out of the house.i need to get mybaby girl up here with me for it has been to long a seperation. she is a 9 month old  [...],2012-11-06T09:02:31-05:00,emailnotfound,FALSE,daytona,2012-11-12T09:02:31-05:00,get
empty van - your stuff and/or pet (winterhaven / daytona to baltimore),daytona,http://daytona.craigslist.org/rid/3389677591.html,"have a reliable, conventional cargo van that will be driven empty from winter haven in florida to baltimore md through daytona beach. 
can load on saturday afternoon (nov 24) and unload in or around baltimore on sunday (nov 25). 
can take your stuff  [...]",2012-11-05T22:01:47-05:00,emailnotfound,TRUE,daytona,2012-11-24T22:01:47-05:00,baltimore
need ride palm coast to ormand bch (belair plaza),daytona,http://daytona.craigslist.org/rid/3386197341.html,"need ride daily mon thru friday to work, palm coast to ormand bch. belair plaza. will contribute to fuel cost. ",2012-11-04T13:09:18-05:00,emailnotfound,TRUE,daytona,2012-11-05T13:09:18-05:00,ormand
need ride to ormand beach a1a (belair plaza),daytona,http://daytona.craigslist.org/rid/3382572536.html,need a ride daily monday thru friday mornings from palm coast to ormand beach a1a belair plaza arriving between 0700am and 0730am. will share gas with cost of fuel.,2012-11-02T18:29:54-04:00,emailnotfound,TRUE,daytona,2012-11-05T18:29:54-04:00,ormand
"need a ride to work (daytona beach,fl)",daytona,http://daytona.craigslist.org/rid/3373885262.html,hello my name is tanisha bass and i am posting because i need to know if someone is going by ormond by the sea by around 10am-5pm in the evening just for a couple of days please email me back at my email address above and i will leave you my phone nu [...],2012-10-29T21:45:54-04:00,emailnotfound,FALSE,daytona,2012-10-29T21:45:54-04:00,work
atlanta ga end of month (ga to fl),daytona,http://daytona.craigslist.org/rid/3322202932.html,"driving to georgia (atlanta area) end of month for 3 or 4 days. plan on leaving fri the 26th early and returning either mon the 29th or tue the 30th. 
share the gas and keep me company and i'll drop you off anywhere along the way or around atlanta ar [...]",2012-10-22T18:29:26-04:00,emailnotfound,TRUE,daytona,2012-10-26T18:29:26-04:00,fl
holidays need r/t volusia to ne ohio (new smyrna beach),daytona,http://daytona.craigslist.org/rid/3338089626.html,i'd like to go visit my girlfriend who lives by kent state university in ohio which is by akron. i am looking for a ride that way and a ride back home. i am willing to pay half of the gas expense but i cannot drive. she can pick me up from somewhere  [...],2012-10-18T20:28:23-04:00,emailnotfound,FALSE,daytona,2012-10-19T20:28:23-04:00,ne
ride share (daytona to chattanooga),daytona,http://daytona.craigslist.org/rid/3313481258.html,"ride share! i am leaving the daytona area 10/11/12 between 3 and 5. i am going to chattanooga, tn. depending on where you are going is depending on the cost. i do want to meet you in person prior to leaving. ",2012-10-03T11:49:28-04:00,emailnotfound,TRUE,daytona,2012-10-11T11:49:28-04:00,chattanooga
