title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
fairbanks to wasilla (fairbanks/north pole),fairbanks,http://fairbanks.craigslist.org/rid/3413939565.html,"i'm headed down to wasilla saturday morning and returing sunday. driving a big suv and have plenty of room, just help pitch in for gas. ",2012-11-16T07:56:00-09:00,emailnotfound,TRUE,fairbanks,2012-11-17T07:56:00-09:00,wasilla
moving to fairbanks  (texas-alaska ),fairbanks,http://fairbanks.craigslist.org/rid/3413640000.html,"leaving in early december for fairbanks alaska, who wants to go? ride along good times good conversation maybe drive a little bit, asking for 100 to help cover has can take up to 3 with me, prefer other females, driving from texas to alaska hopefully [...]",2012-11-16T05:53:59-09:00,emailnotfound,TRUE,fairbanks,2012-11-17T05:53:59-09:00,fairbanks
need a ride to anch (fairbanks),fairbanks,http://fairbanks.craigslist.org/rid/3408717710.html,"i am looking for a ride to anch on the 24th of this month. it would be nice if my stuff could go with me, i have three boxes and three bags. i can help with gas and would like to be down there by 5 pm if you can help me please text me at nine zore se [...]",2012-11-14T03:24:21-09:00,emailnotfound,FALSE,fairbanks,2012-11-24T03:24:21-09:00,anch
need a hitch to anchortown (fairbanks to anchorage),fairbanks,http://fairbanks.craigslist.org/rid/3400992223.html,"i am a 26 year old female trying to find a ride south asap. i am a half-way decent conversationalist, and enjoy music as well (silence and not talking are also fine.) i am not a psycho, and, more importantly, do not smell bad. (unfortunately my licen [...]",2012-11-10T14:45:23-09:00,emailnotfound,FALSE,fairbanks,2012-11-10T14:45:23-09:00,anchortown
need ride to anc  asap  (fairbanks),fairbanks,http://fairbanks.craigslist.org/rid/3391858218.html,"hello my name is walter and i need a ride to anchorage i have gas money i will be ready to go imediatly on the next available ride 
you can call or text me 907:' 227five2three4",2012-11-06T16:21:07-09:00,emailnotfound,FALSE,fairbanks,2012-11-06T16:21:07-09:00,anc
fai to anch ,fairbanks,http://fairbanks.craigslist.org/rid/3386080507.html,going to anch on wed 11/14 leavig about 3:00 am and coming back on 11/15 leaving anch about 6:00 am big van and lots of room want to shair the gas cost e mail or call 907-460-0407,2012-11-04T08:16:37-09:00,emailnotfound,TRUE,fairbanks,2012-11-14T08:16:37-09:00,anch
need something towed to anchorage/fairbanks  (eielson),fairbanks,http://fairbanks.craigslist.org/rid/3369872487.html,i'm leaving november 2nd from fairbanks to anchorage and returning on the 4th and willing to tow what you need down or back up. i drive an 08 cummins 2500 with a brake controller. call adam at 907-seven five zero-six six seven one,2012-10-27T19:55:20-08:00,emailnotfound,TRUE,fairbanks,2012-11-02T19:55:20-08:00,anchorage/fairbanks
ride form fairbanks to anchorage on sunday? (anchorage),fairbanks,http://fairbanks.craigslist.org/rid/3363227684.html,i'm trying to coordinate a trip to fairbanks this weekend. i have my ride there set up but have to be sure and return on sunday for work at 4am. gas money will be given. please let me know if you or a friend is heading to anchorage from fairbanks on  [...],2012-10-24T19:58:18-08:00,emailnotfound,FALSE,fairbanks,2012-10-29T19:58:18-08:00,anchorage
looking for ride to anchorage 10/21 or 10/22 (fairbanks to anchorage),fairbanks,http://fairbanks.craigslist.org/rid/3355509453.html,"i am looking for a ride to anchorage sunday evening or monday morning. willing to provide gas money, of course. i have several bags, several boxes, and a mini fridge if you can fit everything. contact me by email or at 907.317.9134",2012-10-21T16:30:12-08:00,emailnotfound,FALSE,fairbanks,2012-10-21T16:30:12-08:00,anchorage
companion fare 346 (fbks to portland or),fairbanks,http://fairbanks.craigslist.org/rid/3350554365.html,"i am wanting to use my companion fare ticket. 
if you want to travel to portland oregon (or farther) 
leaving feb 26th (or so ) and returning march 12th (firm) 
and want to save some money then call me @ 4571714 
and we can go from there. 
i need to  [...]",2012-10-19T11:14:21-08:00,emailnotfound,TRUE,fairbanks,2012-02-26T11:14:21-08:00,portland
sunday evening: anchorage to fairbanks (anchorage to fairbanks),fairbanks,http://fairbanks.craigslist.org/rid/3350519035.html,"i have space in my car available for a drive from anchorage to fairbanks departing late sunday afternoon or evening. i am just going one way. lots of room in the car for stuff; i'd like some help with gas ($30/person). 
i prefer email but i can text  [...]",2012-10-19T11:01:19-08:00,emailnotfound,TRUE,fairbanks,2012-10-21T11:01:19-08:00,fairbanks
delta or fbx to anchorage (delta junction),fairbanks,http://fairbanks.craigslist.org/rid/3339061931.html,leaving tomorrow morning from delta junction to anchorage if any one needs a ride and wants to help with gas can go through fairbanks and take the parks hwy if that's where you are and want to throw in a little extra for gas 420 friendly here text 86 [...],2012-10-14T14:38:44-08:00,emailnotfound,TRUE,fairbanks,2012-10-14T14:38:44-08:00,anchorage
offering ride to anchorage oct 22nd and back oct 28 (fairbanks),fairbanks,http://fairbanks.craigslist.org/rid/3332338485.html,"i am leaving fairbanks to anchorage monday night oct 22nd to catch a flight out tue morning, i will be returning sunday oct 28 that night and also willing to share ride back. i drive a lexus suv so plenty of room. my vehicle will be parked while i am [...]",2012-10-11T12:47:53-08:00,emailnotfound,TRUE,fairbanks,2012-10-22T12:47:53-08:00,anchorage
"ride available 10/12, leaving @ noon (fairbanks to anchorage)",fairbanks,http://fairbanks.craigslist.org/rid/3328522605.html,"leaving fairbanks and heading down to anchorage in a single-cab pickup on friday the 12th at around (preferably no later than) noon. room for one passenger and whatever you can throw in the bed, though be aware i have no bed cover so it will be expos [...]",2012-10-09T19:13:51-08:00,emailnotfound,TRUE,fairbanks,2012-10-12T19:13:51-08:00,anchorage
fairbanks to white horse (fairbanks),fairbanks,http://fairbanks.craigslist.org/rid/3325037859.html,headed to white horse wednesday or thursday shoot me an email,2012-10-08T10:48:09-08:00,emailnotfound,TRUE,fairbanks,2012-10-10T10:48:09-08:00,white
need to get my truck from fairbanks to seattle or oregon (fairbanks),fairbanks,http://fairbanks.craigslist.org/rid/3323127191.html,need to get my truck to oregon or seattle asap. i will fly down and meet you there. my name is josh 907-750-303two. text call or e mail me for info or details anytime is good.,2012-10-07T13:16:19-08:00,emailnotfound,FALSE,fairbanks,2012-10-07T13:16:19-08:00,get
wanted: anchorage to fairbanks and back,fairbanks,http://fairbanks.craigslist.org/rid/3321897877.html,i would like to get a ride up to fairbanks sometime after the 12th and to return to anchorage somethime before the 19th. i'll pay my share of gas and i'll be nice and quiet in the back seat if that's what you want. a ride in either direction would be [...],2012-10-06T21:27:12-08:00,emailnotfound,FALSE,fairbanks,2012-10-12T21:27:12-08:00,fairbanks
anyone going to valdez?,fairbanks,http://fairbanks.craigslist.org/rid/3321589987.html,"i need to drive to valdez on monday the 8th, i have a truck and trailer there i need to bring back, anyone interested in a road trip could ride down with me and drive one of the rigs back. or if you are driving to valdez i could ride with you, share  [...]",2012-10-06T16:55:34-08:00,emailnotfound,TRUE,fairbanks,2012-10-08T16:55:34-08:00,valdez
anchorage to fairbanks,fairbanks,http://fairbanks.craigslist.org/rid/3321167926.html,i am looking for somebody to share gas cost from anchorage to fairbanks on october 16th and them from fairbanks to anchorage on october 23. i drive a dodge ram four door truck so have lots of room. 907-952-3225,2012-10-06T13:00:56-08:00,emailnotfound,TRUE,fairbanks,2012-10-16T13:00:56-08:00,fairbanks
