title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need a ride to arizona (phx or flagstaff),fargo,http://fargo.craigslist.org/rid/3417701897.html,"looking to leave north dakota (jamestown, but i can get to you....) this week...preferably asap. will share gas costs. just me and my clothes need to get home stat...need a ride to arizona or as close to there as you are going???",2012-11-17T23:12:55-06:00,emailnotfound,FALSE,fargo,2012-11-17T23:12:55-06:00,arizona
need a ride - fargo to grand forks,fargo,http://fargo.craigslist.org/rid/3409596889.html,"hi - 
i have a ticket to the und hockey game on friday the 16th vs minnesota-duluth, and i am looking for a ride from fargo to grand forks. i can leave anytime after 3pm. please let me know if you can help me out. 
thanks, 
-marcus",2012-11-14T13:08:11-06:00,emailnotfound,FALSE,fargo,2012-11-16T13:08:11-06:00,grand
fargo to minneapolis  11/27,fargo,http://fargo.craigslist.org/rid/3387399006.html,"need a ride from fargo to minneapolis and back in one night need be in minneapolis by 6pm, i can throw down for gas and drive, i can drive manual, and clean record, im 18 male heading to the capture the crown, woe is me hardcore show in minneapolis a [...]",2012-11-04T23:24:22-06:00,emailnotfound,FALSE,fargo,2012-11-27T23:24:22-06:00,minneapolis
fargo/mhd to minneapolis on 11/10 return 11/11 (fargo to minneapolis &amp; return),fargo,http://fargo.craigslist.org/rid/3386953372.html,"if anyone is going to minneapolis the weekend on the 10/11 and would like some gas money. i'm willing to toss money for one way and for a round trip. prefer round trip and will pay more. 
i can leave anytime after midnight on friday 11/9 or anytime o [...]",2012-11-04T18:14:01-06:00,emailnotfound,FALSE,fargo,2012-11-10T18:14:01-06:00,minneapolis
"deroit lakes, mn to steamboat, co around 7-9th (detroit lakes, steamboat springs)",fargo,http://fargo.craigslist.org/rid/3386876275.html,"offing a ride from detroit lakes, mn to steamboat springs, co or anywhere on the way. leaving between the 7th to the 9th. hoping to get help with a little gas and maybe driving. call or text me at 970-291-one-zero-eight-three",2012-11-04T17:31:49-06:00,emailnotfound,TRUE,fargo,2012-11-07T17:31:49-06:00,steamboat
ride offered - fargo to eden prairie on tue 11/20 (fargo),fargo,http://fargo.craigslist.org/rid/3375286117.html,"i'm offering a ride from fargo to eden prairie. 
leaving november 20th returning november 23rd. contact me on zimride: http://www.zimride.com/ride/share?ride=511354 
i drive a 2006 mazda mazdaspeed 6. ",2012-10-30T14:01:02-05:00,emailnotfound,TRUE,fargo,2012-11-20T14:01:02-05:00,eden
2 need ride to socal asap (fargo-lancaster),fargo,http://fargo.craigslist.org/rid/3373754233.html,"my fiancee and i are very respectable and dont have much to offer but will try to help with gas as much as possible. trying to get home before the holidays please respond via email, much appreciated. 
peace love harmony",2012-10-29T19:27:55-05:00,emailnotfound,FALSE,fargo,2012-10-29T19:27:55-05:00,socal
fargo to st cloud (fargo),fargo,http://fargo.craigslist.org/rid/3361312020.html,"hi! 
we have room for 1 or 2 passengers to st cloud/ elk river on friday 26th around noon txt 552 zero eighty8 one in fargo ",2012-10-24T08:51:30-05:00,emailnotfound,TRUE,fargo,2012-10-26T08:51:30-05:00,st
ride offered - fargo to melbourne on tue 10/23 (fargo),fargo,http://fargo.craigslist.org/rid/3358891877.html,"i'm offering a ride from fargo to melbourne. 
leaving october 23rd returning october 30th. you will have to call me. i am also going to chicago area as well.
701-320-5856 contact me on zimride: http://www.zimride.com/ride/share?ride=503445 ",2012-10-23T09:17:12-05:00,emailnotfound,TRUE,fargo,2012-10-23T09:17:12-05:00,melbourne
ride needed to minneapolis airport from fargo ndt,fargo,http://fargo.craigslist.org/rid/3358441520.html,"need a ride to the minneapolis airport on nov 1st am willing to help pay for gas 
please contact me back at7014124539 or email me thanks ",2012-10-23T00:48:27-05:00,emailnotfound,FALSE,fargo,2012-11-01T00:48:27-05:00,minneapolis
