title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need ride (nashville to el paso),fayetteville,http://fayetteville.craigslist.org/rid/3414054192.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap. ,2012-11-16T12:37:54-05:00,emailnotfound,FALSE,fayetteville,2012-11-16T12:37:54-05:00,el
i am heading to maryland,fayetteville,http://fayetteville.craigslist.org/rid/3378551414.html,"leaving nc the night of nov. 29th and coming back the morning of dec. 3rd. just help out with gas. 
i will be heading to the baltimore area",2012-11-01T00:24:52-04:00,emailnotfound,TRUE,fayetteville,2012-11-29T00:24:52-04:00,maryland
home for the holidays (fayetteville to pensacola ),fayetteville,http://fayetteville.craigslist.org/rid/3376813105.html,"i'm driving to pensacola for the holidays, leaving around the 20th of december and returning around the 29 of december. if you are interested in sharing the ride anywhere in that direction i can drop you off and pick you up! one way or both ways! i'l [...]",2012-10-31T09:44:23-04:00,emailnotfound,TRUE,fayetteville,2012-10-20T09:44:23-04:00,pensacola
11/1-11/5u.p. michigan to north carolina via pennsylvania and back  (mi - nc and everywhere in between),fayetteville,http://fayetteville.craigslist.org/rid/3373503599.html,"hey, 
i am going on a long road-trip to go vote and see family in fayetteville, nc this weekend. i will be leaving houghton thursday at around 5pm. i hope to make it to somewhere in pennsylvania by the morning where i will pick up another driver to f [...]",2012-10-29T18:20:40-04:00,emailnotfound,TRUE,fayetteville,2012-11-01T18:20:40-04:00,north
lumberton to sarasota fl (lumberton),fayetteville,http://fayetteville.craigslist.org/rid/3369008349.html,will be driving from lumberton nc to sarasota fl on fri nov 2. i can use a passanger to help with the boredom and with the gas,2012-10-27T15:15:59-04:00,emailnotfound,TRUE,fayetteville,2012-11-02T15:15:59-04:00,sarasota
needing a ride to atlanta (fayetteville),fayetteville,http://fayetteville.craigslist.org/rid/3362190958.html,"needing a ride to atlanta ga today or tomorrow can pay for gas call me at 678-548-7955 please let me know asap if you are able to thanks 
nina*",2012-10-24T15:22:11-04:00,emailnotfound,FALSE,fayetteville,2012-10-24T15:22:11-04:00,atlanta
need a ride to mount airy. (sandford),fayetteville,http://fayetteville.craigslist.org/rid/3345426743.html,i need a ride to mount airy by 4 pm or first thing tomorrow morning.will pay driver.,2012-10-17T13:00:45-04:00,emailnotfound,TRUE,fayetteville,2012-10-17T13:00:45-04:00,mount
fayetteville to virginia beach (fayetteville),fayetteville,http://fayetteville.craigslist.org/rid/3339146241.html,heading toward virgina beach on monday morning. offering a ride to anyone headed that way. just help with the gas. ,2012-10-14T19:23:54-04:00,emailnotfound,TRUE,fayetteville,2012-10-15T19:23:54-04:00,virginia
hey seeking ride to selma i 95 from dunn 10/15  (dunn nc),fayetteville,http://fayetteville.craigslist.org/rid/3334805746.html,hey like the title reads monday morning around 5:45-6:00 am from exit 73 to exit 105 offer gas $ please let me know if you can help. thanks :) ,2012-10-12T17:40:15-04:00,emailnotfound,FALSE,fayetteville,2012-10-15T17:40:15-04:00,selma
offering ride from nc to illinois or anywhere between   (nc to il),fayetteville,http://fayetteville.craigslist.org/rid/3333944159.html,"offering ride from anywhere in nc to the chicago area. i leave sunday. i have 5 seat car and trunk space available. so 4 seats open!!! 
i am 27, male and get good mpg. 
please reply with age, name and destination ",2012-10-12T12:13:10-04:00,emailnotfound,TRUE,fayetteville,2012-10-14T12:13:10-04:00,illinois
fayetteville to atlanta (spring lake),fayetteville,http://fayetteville.craigslist.org/rid/3313013019.html,"hello, i will be leaving for atlanta on friday, october 5th and returning to fayetteville on sunday or monday octiber 8/9. if anyone wants a ride email me back, i have enough for gas so just looking for company on the ride down. ",2012-10-03T07:28:44-04:00,emailnotfound,TRUE,fayetteville,2012-08-09T07:28:44-04:00,atlanta
