title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
4x6 trailer denver to seattle 450.00 today! (denver/seattle ),fortcollins,http://fortcollins.craigslist.org/rid/3417913526.html,have a load in seattle to go get. need a load for the way there. pickup w/canopy & 4x6 trailer. can come help you load it this morning and get it up there in about a day.,2012-11-18T03:50:14-07:00,emailnotfound,FALSE,fortcollins,2012-11-18T03:50:14-07:00,seattle
ride offered - fort collins to philadelphia on tue 11/27 (fort collins),fortcollins,http://fortcollins.craigslist.org/rid/3415520060.html,i'm offering a ride from fort collins to philadelphia leaving november 27th. i drive a reliable station wagon with a decent amount of spare cargo space and room for another bike on my bike rack. i am looking for up to three passengers to split the co [...],2012-11-16T22:40:36-07:00,emailnotfound,TRUE,fortcollins,2012-11-27T22:40:36-07:00,philadelphia
need ride to co springs (longmont),fortcollins,http://fortcollins.craigslist.org/rid/3413791624.html,"my dog and i would like to go to co springs wed. evening to spend thanksgiving w/my family. i can pitch in for gas, or barter if preferred. 
thx, jimmy ",2012-11-16T08:59:52-07:00,emailnotfound,FALSE,fortcollins,2012-11-19T08:59:52-07:00,co
ride offered to summit county (fort collins- copper mtn),fortcollins,http://fortcollins.craigslist.org/rid/3412539818.html,i'm leaving fort collins on friday evening to drive up to copper mtn. i'll be staying up there until the following friday. offering rides both ways- plenty of room for stuff. ,2012-11-15T16:25:24-07:00,emailnotfound,TRUE,fortcollins,2012-11-16T16:25:24-07:00,summit
"ride needed: tomorrow friday 11/17 to north platte, ne (united states)",fortcollins,http://fortcollins.craigslist.org/rid/3411912137.html,"i'm hitchhiking from walden, co to fort collins tomorrow and possibly the rest of the way to north platte if i can't find a ride. i don't mind hitchhiking at all, but its getting kinda cold haha. don't have much to offer except for some good company. [...]",2012-11-15T12:03:35-07:00,emailnotfound,FALSE,fortcollins,2012-11-17T12:03:35-07:00,north
need to get east?? (north central iowa),fortcollins,http://fortcollins.craigslist.org/rid/3407026771.html,"i need to get back to iowa for 2-4 weeks. 
tentative plan is leave tomorrow sometime. (wed 14th) typically, i'll drive straight thru. 
i take i-25 north to cheyenne, then east on i-80 until i reach des moines, then north on i-35 approx 90 miles. 
if  [...]",2012-11-13T11:07:58-07:00,emailnotfound,TRUE,fortcollins,2012-11-13T11:07:58-07:00,get
san juans to fort collins,fortcollins,http://fortcollins.craigslist.org/rid/3400444802.html,assuming my rideshare down to ridgway doesn't fall through i will be heading back to fort collins on monday. the vehicle i'm driving is a big 4x4 truck and help with gas would be appreciated.. i am not asking for half or anything like that. 30$ would [...],2012-11-10T12:29:43-07:00,emailnotfound,TRUE,fortcollins,2012-11-12T12:29:43-07:00,fort
headed to copper mtn early sat. (fort collins),fortcollins,http://fortcollins.craigslist.org/rid/3398757744.html,i'm either looking for someone that would like to drive or ride with me and pitch gas $... leaving for a day of shredding at copper mountain and coming back after. text me if interested (seven1nine) 6five0-1554. ,2012-11-09T16:41:46-07:00,emailnotfound,TRUE,fortcollins,2012-11-10T16:41:46-07:00,copper
ft collins to las vegas for thanksgiving and back,fortcollins,http://fortcollins.craigslist.org/rid/3396968433.html,"i am headed to las vegas for thanksgiving. i will be leaving sat 11/17 and return sun 11/24. 
i will be going west on i-70 then south west on i-15 
i will be driving straight through. 
i have a truck and can haul stuff as well. . 
i am willing to sto [...]",2012-11-08T23:09:55-07:00,emailnotfound,TRUE,fortcollins,2012-11-17T23:09:55-07:00,las
foco to tx,fortcollins,http://fortcollins.craigslist.org/rid/3396349044.html,"will be embarking on a solo rock climbing trip around new year's, need a ride to either fort worth, dallas, austin, or san antonio tx (farther south the better). will be prepared to leave foco by the morning of december 31st. i can drive automatic an [...]",2012-11-08T16:29:23-07:00,emailnotfound,TRUE,fortcollins,2012-12-31T16:29:23-07:00,tx
"ride needed to dia on tue, nov, 20th",fortcollins,http://fortcollins.craigslist.org/rid/3393379206.html,"hi, 
i need a ride to dia on tue, nov, 20th. my flight is at 8:00 am and it is international flight, i will need to arrive there at 6:00 am, i would like to pay for $20 for the ride, if you are interested, please call me at seven two zero- 216- three [...]",2012-11-07T12:23:07-07:00,emailnotfound,FALSE,fortcollins,2012-11-20T12:23:07-07:00,dia
ride needed on thursday 11/07 (foco to denver),fortcollins,http://fortcollins.craigslist.org/rid/3393349135.html,"hi, 
i am a graduate student, will need a ride from fort collins to denver on thursday, 11/07. i may commute more often in the future. would like to help with the gas. please call at seven two zero- 216- three 2 two five. 
thank you.",2012-11-07T12:12:05-07:00,emailnotfound,FALSE,fortcollins,2012-11-07T12:12:05-07:00,denver
