title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
"driving to bay area (fresno, madera, los banos, to 101 nb)",fresno,http://fresno.craigslist.org/rid/3417671318.html,"i will be leaving tomorrow evening from fresno towards los banos, then towards gilroy. san jose, milpitas, hayward, oakland, and monday to san francisco for a job interview. 
if anyone wants to share a ride there, let me know by tomorrow afternoon so [...]",2012-11-17T20:43:56-08:00,emailnotfound,TRUE,fresno,2012-11-17T20:43:56-08:00,bay
fresno to las vegas - 11/17 (fresno),fresno,http://fresno.craigslist.org/rid/3414821185.html,"heading out tomorrow morning (5am?), we can split the gas bill.",2012-11-16T14:33:26-08:00,emailnotfound,TRUE,fresno,2012-11-17T14:33:26-08:00,las
heading to bay area around 3:30  (madera ),fresno,http://fresno.craigslist.org/rid/3409896310.html,"call me if you would like a ride to the bay area today. i'll be leaving madera around 3:30 pm. heading to palo alto, passing through oakland. 
4159873521 ",2012-11-14T12:59:33-08:00,emailnotfound,TRUE,fresno,2012-11-14T12:59:33-08:00,bay
ride from merced to la,fresno,http://fresno.craigslist.org/rid/3409426824.html,i need a ride from merced to the la area (specifically claremont) before thanksgiving. i'm trying for the 20-21. i have my license and can pitch on for gas. please text me 909-257-4295. ,2012-11-14T10:06:27-08:00,emailnotfound,FALSE,fresno,2012-11-19T10:06:27-08:00,la
ride offered - madera to sacramento on wed 11/21 (madera),fresno,http://fresno.craigslist.org/rid/3409190080.html,"i'm offering a ride from madera to sacramento. 
leaving november 21st. depending on traffic, this trip usually takes between 2 hrs 15 min and 2 hrs 45 min. i have a jeep cherokee with an adapter for ipod. i also have a roof rack that can take two bik [...]",2012-11-14T08:41:10-08:00,emailnotfound,TRUE,fresno,2012-11-21T08:41:10-08:00,sacramento
need a ride to boise idaho (fresno),fresno,http://fresno.craigslist.org/rid/3407675125.html,hey whats up im jacob i am looking for a ride to boise idaho to go back to my girlfriend and kids for the holidays looking to b back as soon as posible. im 22 male email me for more details can give gas money,2012-11-13T14:09:11-08:00,emailnotfound,FALSE,fresno,2012-11-19T14:09:11-08:00,boise
to santa cruz,fresno,http://fresno.craigslist.org/rid/3407431627.html,hopping to find a ride to santa cruz today. i have some money for gas. 8312473809 ,2012-11-13T12:34:48-08:00,emailnotfound,FALSE,fresno,2012-11-13T12:34:48-08:00,santa
ride offered to anywhere between fresno and los angeles (fresno and orange county),fresno,http://fresno.craigslist.org/rid/3404883311.html,"i will be driving wednesday the 21st to southern california, to orange county especifically. if you are going that way i can take you. just chip in for gas. it is a 6 cyl car so 35dlls one way to l.a. should be fine. i can drop you off at your locati [...]",2012-11-12T12:03:35-08:00,emailnotfound,TRUE,fresno,2012-11-14T12:03:35-08:00,anywhere
ben is driving north...to washington (fresno/sunnyside),fresno,http://fresno.craigslist.org/rid/3404879387.html,"i will be headed north to kennewick washington. most likely thursday sometime. 
if you have gas money then we should roadtrip together. 
call for details or text with question 
5 oh 9 2 zero 5 550. 7",2012-11-12T12:02:11-08:00,emailnotfound,TRUE,fresno,2012-11-12T12:02:11-08:00,washington
coarsegold to fresno (weekdays),fresno,http://fresno.craigslist.org/rid/3402212107.html,looking to rideshare. i work on bullard and blackstone. monday thru friday. call 339-246-8279 if interested.,2012-11-11T09:28:53-08:00,emailnotfound,TRUE,fresno,2012-11-12T09:28:53-08:00,fresno
