title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
gsv to alabama (gsv),gainesville,http://gainesville.craigslist.org/rid/3417863086.html,"going from gainesville to alabama on tuesday. 
and i can stop at places along the way. ",2012-11-18T03:59:11-05:00,emailnotfound,TRUE,gainesville,2012-11-20T03:59:11-05:00,alabama
seeking ride to jax 11/21 (from gainesville),gainesville,http://gainesville.craigslist.org/rid/3417808363.html,"hello! 
i am seeking a reliable ride to jacksonville the evening of wednesday 11/21. 
i need to arrive at or before 5:30pm because i need to catch a bus to visit my family for thanksgiving. 
i figure a lot of uf students are going home for the holida [...]",2012-11-18T02:22:42-05:00,emailnotfound,FALSE,gainesville,2012-11-21T02:22:42-05:00,jax
i need a ride to illinois (from gainesville),gainesville,http://gainesville.craigslist.org/rid/3417569669.html,i am an african..6ft2.i need a ride to mt vernon or anywhere close...i am willing to share gas money and even drive if needed. i am looking to leave by mid september. please get in touch if you are going my way,2012-11-17T22:18:53-05:00,emailnotfound,FALSE,gainesville,2012-11-19T22:18:53-05:00,illinois
gainesville to philadelphia or points north 11/26/12 pm,gainesville,http://gainesville.craigslist.org/rid/3417461628.html,leaving monday evening. i have a prius so it shouldn't take more than 2-3 tanks of gas. dogs/pets ok. call 352-519-7210 so we can meet up at stubbies and steins the night before for a beer to work out the details. ,2012-11-17T21:02:40-05:00,emailnotfound,TRUE,gainesville,2012-11-26T21:02:40-05:00,philadelphia
ride wanted to gainesville for shopping (windsor),gainesville,http://gainesville.craigslist.org/rid/3417091084.html,"i'm looking for a ride to gainesville from windsor, round trip, to do some shopping, should not take more than 2- 2.5 hours total. need large trunk or van for stuff... willing to pay $30.00 would like to do so on monday or tuesday afternoon, but will [...]",2012-11-17T17:35:29-05:00,emailnotfound,TRUE,gainesville,2012-11-19T17:35:29-05:00,gainesville
ride offer to boca raton (or along the way),gainesville,http://gainesville.craigslist.org/rid/3416837339.html,"leaving 7am on thurs 11/2, thanksgiving day. asking for a share of gas & toll. 
taking turnpike to ft pierce. call 352-519-4909. will be returning to gville on tues 
morning 11/27.",2012-11-17T15:41:10-05:00,emailnotfound,TRUE,gainesville,2012-11-02T15:41:10-05:00,boca
gnv to atl - 11/21 - 11/26 (uf),gainesville,http://gainesville.craigslist.org/rid/3416725728.html,"2 spots available. 
leave gnv late evening on 11/21 
leave atl early morning on 11/26",2012-11-17T14:55:01-05:00,emailnotfound,TRUE,gainesville,2012-11-21T14:55:01-05:00,atl
heading to nyc  (st augustine),gainesville,http://gainesville.craigslist.org/rid/3411122928.html,"i am heading to nyc next week. i am looking for a (hopefully) sane person to share gas expenses with. i am leaving, probably, on the 20th and will return after thanksgiving. i am looking for some one that needs a ride up. coming back is still up in t [...]",2012-11-15T08:09:22-05:00,emailnotfound,FALSE,gainesville,2012-11-20T08:09:22-05:00,nyc
ride offered - gainesville to branford on wed 11/14 (gainesville),gainesville,http://gainesville.craigslist.org/rid/3410797922.html,"i'm offering a ride from gainesville to branford. 
leaving november 14th returning november 16th. contact me on zimride: http://www.zimride.com/ride/share?ride=531080 ",2012-11-14T23:54:27-05:00,emailnotfound,TRUE,gainesville,2012-11-14T23:54:27-05:00,branford
ride offered 11/16: gainesville to orlando $25 (downtown orlando or airport),gainesville,http://gainesville.craigslist.org/rid/3410770678.html,leaving gainesville this friday 11/16 at 5pm. will pick you up from the downtown starbucks in gainesville (next to hippodrome). can drop you off in downtown orlando or at the orlando airport. willing to take 2 reasonable sized pieces of luggage. trip [...],2012-11-14T23:31:39-05:00,emailnotfound,TRUE,gainesville,2012-11-16T23:31:39-05:00,orlando
gainesville to mco and back (gainesville),gainesville,http://gainesville.craigslist.org/rid/3409297913.html,"i need a ride from gainesville to orlando international airport (mco) on nov 22nd (late morning). and back from mco to gainesville on nov 25th (in the evening). if you dont drive but are looking for a ride, i can rent a car and share the expenses (re [...]",2012-11-14T12:20:35-05:00,emailnotfound,TRUE,gainesville,2012-11-22T12:20:35-05:00,mco
ride to west palm beach area (from gainesville),gainesville,http://gainesville.craigslist.org/rid/3408299884.html,"hi there- 
i am trying to get a ride to boyton beach for thanksgiving. prefer to leave on 11/18-19 but could leave a day or two later. 
happy to share in gas and toll expenses. if interested please get in touch at 347.369.5518. 
brad",2012-11-13T22:20:10-05:00,emailnotfound,FALSE,gainesville,2012-11-18T22:20:10-05:00,west
drving to colorado (ocala),gainesville,http://gainesville.craigslist.org/rid/3397622343.html,"driving to colorado monday or tuesday room for 1 or 2 persons, share fuel,pet friendly, email me.",2012-11-09T11:17:08-05:00,emailnotfound,TRUE,gainesville,2012-11-12T11:17:08-05:00,colorado
ride needed - eddie vedder concert - 11/27/12 (gainesville to orlando),gainesville,http://gainesville.craigslist.org/rid/3373463459.html,"anyone heading to the eddie vedder concert (tuesday november 27th) have room for one more? perhaps you're just heading to orlando for a day trip, november 27th, a tuesday? maybe you're heading there (november 27) because you just started reading this [...]",2012-11-07T09:27:35-05:00,emailnotfound,TRUE,gainesville,2012-11-27T09:27:35-05:00,orlando
ride offered - gainesville to albuquerque on fri 11/9 (gainesville),gainesville,http://gainesville.craigslist.org/rid/3388563832.html,"i'm offering a ride from gainesville to albuquerque. 
leaving november 9th. with stops in baton rouge and dallas/wichita falls contact me on zimride: http://www.zimride.com/ride/share?ride=517600 ",2012-11-05T13:51:42-05:00,emailnotfound,TRUE,gainesville,2012-11-09T13:51:42-05:00,albuquerque
gainesville to philadelphia nov 6,gainesville,http://gainesville.craigslist.org/rid/3388363604.html,i'm driving to philly on the 6th and could take somebody there or to any point along i-95. i have a van with room for a bunch of stuff. price negotiable. i think its gonna cost me about $145 if i go alone. so something like 70 to philly and less to r [...],2012-11-05T12:42:41-05:00,emailnotfound,TRUE,gainesville,2012-11-06T12:42:41-05:00,philadelphia
do you need a ride to orlando? (from gainesville),gainesville,http://gainesville.craigslist.org/rid/3380451666.html,"i'll be leaving gainesville on monday, nov 5th around 1'ish and can drop you off anywhere around orlando. i have room for 1 passenger with 1suitcase size baggage. no smoking in the car and absolutely no drugs of any kind. some gas money would be appr [...]",2012-11-01T20:12:13-04:00,emailnotfound,TRUE,gainesville,2012-11-05T20:12:13-04:00,orlando
ride offered - gainesville to new orleans on tue 10/30 (gainesville),gainesville,http://gainesville.craigslist.org/rid/3365559652.html,"taking off october 30th to go to new orleans, looking to split gas and possibly driving with someone. call or text me if youre interested, my number is 352-584-5706.",2012-10-25T23:59:55-04:00,emailnotfound,TRUE,gainesville,2012-10-30T23:59:55-04:00,new
ride offered - gainesville to gainesville on fri 10/26 (gainesville),gainesville,http://gainesville.craigslist.org/rid/3363545011.html,"i'm offering a ride from gainesville to gainesville. 
leaving october 26th returning october 26th. available every monday through friday until the semester ends. contact me on zimride: http://www.zimride.com/ride/share?ride=506039 ",2012-10-25T08:01:07-04:00,emailnotfound,TRUE,gainesville,2012-10-26T08:01:07-04:00,gainesville
carpool needed from gainesville to mco  on the morning of oct. 26th (on campus gainesville),gainesville,http://gainesville.craigslist.org/rid/3360803406.html,i am looking for a ride to the orlando airport from gainesville around campus on the morning of oct. 26th. my flight leaves at 11am in the morning and was wondering if anyone has the same plan and can share a ride. i am happy to help with gas. email  [...],2012-10-23T23:58:42-04:00,emailnotfound,FALSE,gainesville,2012-10-26T23:58:42-04:00,mco
ride needed to jacksonville - friday 10/26 (gnv - jax),gainesville,http://gainesville.craigslist.org/rid/3360336197.html,"headed to jacksonville this friday and hoping to score a ride. definitely down to share cost of gas. departure time flexible, but would like to arrive before dark. 
let me know if you're headed the same direction! 
thanks.",2012-10-23T19:31:00-04:00,emailnotfound,FALSE,gainesville,2012-10-26T19:31:00-04:00,jacksonville
