title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride needed (from camino to south bay),goldcountry,http://goldcountry.craigslist.org/rid/3417888339.html,"hello my name is jonathan :) 
i will be helping a friend move on the 29th of november. we will be leaving redondo beach and moving to camino california.. i will need a ride back by december 1st back to redondo beach.. 
if your reading this and think  [...]",2012-11-18T01:53:33-08:00,emailnotfound,FALSE,goldcountry,2012-12-01T01:53:33-08:00,south
seeking ride from sutter creek to sacramento amtrack station nov. 20th (sutter creek ca),goldcountry,http://goldcountry.craigslist.org/rid/3416951132.html,"hi. my husband and i are seeking to find a ride on november 20th/tuesday, from sutter creek/jackson/amador city area to sacramento ca amtrack station at 9:30 am--we need to be at the station by 10:30 ish. so mayeb even a bit before 9:30. 
we'd offer  [...]",2012-11-17T13:30:14-08:00,emailnotfound,TRUE,goldcountry,2012-11-20T13:30:14-08:00,sacramento
"needed: ride to sf (auburn, ca)",goldcountry,http://goldcountry.craigslist.org/rid/3416924886.html,"hello, 
i am looking for a ride from auburn, ca to the san francisco bay area on tuesday november 20, 2012. i am flexible on the times. i can offer gas money and anything else needed. ",2012-11-17T13:18:43-08:00,emailnotfound,FALSE,goldcountry,2012-11-20T13:18:43-08:00,sf
valley springs to oakland (valley springs),goldcountry,http://goldcountry.craigslist.org/rid/3414370110.html,"i drive from valley springs to oakland monday - friday. looking for carpool, driver or rider doesnt matter. i pass through stockton, tracy, dublin, pleasanton, livermore etc. 
email me for more information.",2012-11-16T11:32:57-08:00,emailnotfound,TRUE,goldcountry,2012-11-19T11:32:57-08:00,oakland
going to berkeley!!!please let me know (sfo airport) (san francisco airport),goldcountry,http://goldcountry.craigslist.org/rid/3411200886.html,"hi 
my name is marianne from belgium. 
i'm coming to san francisco on friday to meet my fiance .my plane land at 7.15 pm. 
i need a ride to berkeley becauze my man is waiting for me in berkeley. 
so if anyone can help me please contact me!!! 
thx ",2012-11-15T06:08:52-08:00,emailnotfound,FALSE,goldcountry,2012-11-16T06:08:52-08:00,berkeley
seeking ride to portland (grass valley),goldcountry,http://goldcountry.craigslist.org/rid/3410515244.html,"hi 
i am seeking a ride to portland for gratitude day, can leave any time after saturday the 17th. i can contribute to gas and help drive (automatic only) 
thank you! ",2012-11-14T17:45:56-08:00,emailnotfound,FALSE,goldcountry,2012-11-17T17:45:56-08:00,portland
nevada city to mendocino,goldcountry,http://goldcountry.craigslist.org/rid/3408090541.html,"hello we leave wednesday morning from nevada city in our bus heading west to mendocino.. call if you're interested in a comfortable ride with a couple of gypsies. share in gas and adventure! 
510-926-2901",2012-11-13T17:20:14-08:00,emailnotfound,FALSE,goldcountry,2012-11-14T17:20:14-08:00,mendocino
going to san francisco?! lemme be your co-pilot!! xd (grass valley),goldcountry,http://goldcountry.craigslist.org/rid/3406180452.html,"hi there and good morning!! more than anything i am trying to get down to san francisco today, as my fiance is flying in to sfo from belgium this thursday!! &lt;3 i am visually impaired and therefore do not drive, yet am only looking for someones kin [...]",2012-11-13T00:54:04-08:00,emailnotfound,FALSE,goldcountry,2012-11-13T00:54:04-08:00,san
ride offered to bay area tuesday (east bay),goldcountry,http://goldcountry.craigslist.org/rid/3405913037.html,"leaving around 11 am. pitch in a little for gas. room for one without much stuff. 
panther",2012-11-12T19:56:54-08:00,emailnotfound,TRUE,goldcountry,2012-11-13T19:56:54-08:00,bay
"driving to peoria, il (11/29) (nevada city, ca)",goldcountry,http://goldcountry.craigslist.org/rid/3405008581.html,"hello, 
i am offering a ride to peoria, il leaving nevada city on thursday, november 29th. serious inquiries only and looking for people within the couchsurfing community. plan is to stop in salt lake city, cheyanne/laramie, lincoln, ne, and iowa cit [...]",2012-11-12T12:48:24-08:00,emailnotfound,TRUE,goldcountry,2012-11-29T12:48:24-08:00,peoria
ride offered to portland (tuolumne county),goldcountry,http://goldcountry.craigslist.org/rid/3404794245.html,hello my name is tim and im going to portland for thanksgiving i have room for two and am asking 50 or 60 a person. i should be leaving on the 20th. i well havemy dogs with me so you should be ok with that if you come with they are both very good tra [...],2012-11-12T11:32:12-08:00,emailnotfound,TRUE,goldcountry,2012-11-20T11:32:12-08:00,portland
ride needed to seattle/portland,goldcountry,http://goldcountry.craigslist.org/rid/3404411341.html,hello there i'm looking for a ride to seattle area sometime after the 19th. i have around 70$ for gas and food stamps for snacks. i could also drive some of the way if need be. i'm a mellow non smoker with a large travel pack. send me a text 360-nine [...],2012-11-12T09:22:48-08:00,emailnotfound,FALSE,goldcountry,2012-11-19T09:22:48-08:00,seattle/portland
i need a ride please (grass valley to sacramento),goldcountry,http://goldcountry.craigslist.org/rid/3404375058.html,anyone that is going to sac today that can give me a ride i would appreciate it very much.i can help with some gas money .please call me 5307983792 im tom,2012-11-12T09:10:36-08:00,emailnotfound,FALSE,goldcountry,2012-11-12T09:10:36-08:00,sacramento
"cali to ny rides offered for thanksgiving nov. 15-18 (grass valley, ca)",goldcountry,http://goldcountry.craigslist.org/rid/3401444814.html,"traveling school bus heading east has seats available for gas riders. departing on thurs, nov. 15th taking i-80 pretty much the entire way (we can drop you off anywhere along the way). we plan to arrive in ithaca, ny on the night of the 18th. individ [...]",2012-11-10T21:13:08-08:00,emailnotfound,TRUE,goldcountry,2012-11-15T21:13:08-08:00,ny
need ride grass valley to san fran nov 12th or 13th,goldcountry,http://goldcountry.craigslist.org/rid/3401203979.html,"hey i'm looking to catch a ride from grass valley area to san fran either on the 12th or 13th. i have gas money, good tunes and good company! blessings! 
you can reach me at 508-932-0373. thanks so much!",2012-11-10T17:55:33-08:00,emailnotfound,FALSE,goldcountry,2012-11-12T17:55:33-08:00,san
