title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need ride to kalispell (helena-kalispell),helena,http://helena.craigslist.org/rid/3415338802.html,hi there my name is andrew im 20 and im jus trying to find a ride to kalispell by tomorrow aka 11/17 so i can go see my kid for the holidays if you cant go all the way to kalispell you could drop me in missoula and i can hike the rest of the way i do [...],2012-11-16T20:12:27-07:00,emailnotfound,FALSE,helena,2012-11-17T20:12:27-07:00,kalispell
helena to boise - need ride - $ (helena to boise),helena,http://helena.craigslist.org/rid/3409138430.html,able to leave tuesday afternoon or early wednesday. can share expenses and driving. ,2012-11-14T09:21:49-07:00,emailnotfound,TRUE,helena,2012-11-20T09:21:49-07:00,boise
driving to billings for thanksgiving (boulder - helena - butte),helena,http://helena.craigslist.org/rid/3408292283.html,i will be driving to billings on wednesday 11/21 after work and returning sunday 11/25. will take rider for share of gas. no smoking and no pets. i'm a 60-tish guy interested in conversation not drama. if you voted for mitt don't even bother.,2012-11-13T20:15:25-07:00,emailnotfound,TRUE,helena,2012-11-21T20:15:25-07:00,billings
" offer helena to montreal, canada (helena montreal)",helena,http://helena.craigslist.org/rid/3404629060.html,"hi, my name is jonathan, i'm canadian, 32 years old. i will leave helena around the 18, 19 of november to go to montreal, quebec, canada. i will pass by the road 2 or keep using the highway depending of your destination. i plan to do the whole trip i [...]",2012-11-12T11:35:58-07:00,emailnotfound,TRUE,helena,2012-11-12T11:35:58-07:00,montreal
helena to whitefish (united states),helena,http://helena.craigslist.org/rid/3392904279.html,"are you looking to get up to the flathead? i'm driving there from helena either on sunday night or monday morning, yet tbd. if you want to carpool and chip in on gas, let me know. 
thanks!",2012-11-07T09:31:52-07:00,emailnotfound,FALSE,helena,2012-11-12T09:31:52-07:00,whitefish
need ride from san francisco to mt.,helena,http://helena.craigslist.org/rid/3391637732.html,"my daughter is stranded in san francisco and needs to come home. she is homeless, has very little money but could share the driving. she has a dog who is very well behaved. if anyone know ofd someone coming this direction, please let me know. 
thanks [...]",2012-11-06T16:24:28-07:00,emailnotfound,FALSE,helena,2012-11-12T16:24:28-07:00,mt
"helena to wisconsin (helena to madison, wi)",helena,http://helena.craigslist.org/rid/3375113716.html,"i will be leaving helena, sunday, for madison. i have a small single-cab truck with room in back for plenty of stuff. i would like to share the ride with someone who could split gas. 
i am a 28 year old, married, man who can get along with anyone. i  [...]",2012-10-30T11:55:58-06:00,emailnotfound,TRUE,helena,2012-10-35T11:55:58-06:00,wisconsin
going to southport  n.c.,helena,http://helena.craigslist.org/rid/3371193672.html,"going to drive to southport nc. will leave maybe monday or tuesday. 
i will be stopping a few nights tho. i do not want to drive all day and sleep in the pick up. so if your looking for a ride i maybe able to get you there. ",2012-10-28T15:52:41-06:00,emailnotfound,FALSE,helena,2012-10-29T15:52:41-06:00,southport
need a ride to denver (bozeman),helena,http://helena.craigslist.org/rid/3366956221.html,"looking for ride to denver around nov. 20......flexible on dates but need to be get there between a monday and wednesday.have gas $,can help drive.contact steve",2012-10-26T14:04:58-06:00,emailnotfound,TRUE,helena,2012-11-20T14:04:58-06:00,denver
"seeking ride to jackson, wy  (helena)",helena,http://helena.craigslist.org/rid/3359139351.html,"i am trying to get from helena to jackson, wy at the end of this week, preferably friday 10/26. i could try to meet you somewhere more convenient if you're not starting from helena. i am a friendly and easy passenger and am always happy to pitch in f [...]",2012-10-23T09:52:16-06:00,emailnotfound,FALSE,helena,2012-10-26T09:52:16-06:00,jackson
helena to salt lake (helena mt),helena,http://helena.craigslist.org/rid/3343059084.html,"hello drivers! 
i am looking for a ride from helena mt to salt lake city ut in the next couple days. i have to be there before the 22nd of oct so anytime before that. i will split gas with you and am a quiet addition to your ride. so if you are heade [...]",2012-10-16T11:11:00-06:00,emailnotfound,FALSE,helena,2012-10-22T11:11:00-06:00,salt
ride needed from great falls to seattle,helena,http://helena.craigslist.org/rid/3332251532.html,"i am looking for a ride for myself, my 2 year old and my dog. who is very well behaved, potty trained, and a great traveler. 
looking to leave in the next week please. maybe the 16th or 17th? need to get back to work. willing to help with gas of cour [...]",2012-10-11T14:12:45-06:00,emailnotfound,FALSE,helena,2012-10-16T14:12:45-06:00,seattle
