title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
clean couple looking for a ride to fresno (arcara to fresno),humboldt,http://humboldt.craigslist.org/rid/3417724728.html,"we are clean and don't have tons of luggage, we can help with gas & or driving we are both liscenced drivers 
we are hoping to leave tomorrow, sunday 11/18 
please contact us if you ate going our way ",2012-11-17T21:36:43-08:00,emailnotfound,FALSE,humboldt,2012-11-18T21:36:43-08:00,fresno
need ride to portland/eugene/roseberg any time soon!,humboldt,http://humboldt.craigslist.org/rid/3417720499.html,"i need a ride to eugene or roseberg or portland really soon. i have money for gas and want to leave any day soon, and would be interested if you have two seats, but one is fine too! i have one backpack and small bag and am chill company :) please tex [...]",2012-11-17T21:32:07-08:00,emailnotfound,FALSE,humboldt,2012-11-19T21:32:07-08:00,portland/eugene/roseberg
need ride to la before monday (los angeles ),humboldt,http://humboldt.craigslist.org/rid/3417644395.html,"hey just a student at humboldt state trying to get a ride to socal before tuesday, willing to pitch in gas money, laughs, fun, not a creepo or sketch at all just loooking to have a fun roadtrip down south :) ",2012-11-17T20:19:27-08:00,emailnotfound,FALSE,humboldt,2012-11-19T20:19:27-08:00,la
couple needs ride from garberville to arcata 11/21 or 11/22,humboldt,http://humboldt.craigslist.org/rid/3417596201.html,"hello, my partner and i are looking for a ride up to arcata from garberville area on the 21st or preferably the 22nd. we are friendly and polite, both of us are performers and artists. we both have gas money to contribute as well as entertaining trav [...]",2012-11-17T19:39:24-08:00,emailnotfound,FALSE,humboldt,2012-11-21T19:39:24-08:00,arcata
"arcata to central ca - 11/19 (sonora, ca)",humboldt,http://humboldt.craigslist.org/rid/3417583119.html,i am an hsu student driving south for thanksgiving and have a couple available seats and could use some help with gas money and some good company. totally willing do drop people off along the way. planning on leaving monday morning around 7 or 8. i'm [...],2012-11-17T19:29:11-08:00,emailnotfound,TRUE,humboldt,2012-11-19T19:29:11-08:00,central
ride needed from arcata to sacramento airport (arcata-sacramento),humboldt,http://humboldt.craigslist.org/rid/3417524228.html,"ride needed monday to sacramento. will pitch in gas money. 
from arcada anytime monday as long as i make my flight at 11 on tuesday. 
gas $$ and great company + driving help if needed. 
cheers! ",2012-11-17T18:45:40-08:00,emailnotfound,FALSE,humboldt,2012-11-19T18:45:40-08:00,sacramento
ride needed from arcata to willits (arcata),humboldt,http://humboldt.craigslist.org/rid/3417463086.html,"hi! my name is kiara, i'm an italian traveler looking for a ride from arcata to willits on 18th november at any time during the day (the sooner the better), you can reach me until tomorrow morning at this number 530 368 99 47. 
thanx a lot!!!!",2012-11-17T18:03:37-08:00,emailnotfound,FALSE,humboldt,2012-11-17T18:03:37-08:00,willits
ride needed to the bay area 11/18 (arcata-the bay),humboldt,http://humboldt.craigslist.org/rid/3417316820.html,"looking for a ride from arcata to the bay area tomorrow 11/18 
no creeps, please be a safe driver 
im clean, normal and great company for a rideshare, i can help pay for gas 
please contact with your expected departure time thanks",2012-11-17T16:34:08-08:00,emailnotfound,FALSE,humboldt,2012-11-18T16:34:08-08:00,the
arcata to sacramento (united states),humboldt,http://humboldt.craigslist.org/rid/3417178420.html,i'll be heading out wednesday morning to sacramento and i would love the company if anyone needs a ride. all that i ask is you pitch in a little bit for gas.,2012-11-17T15:19:14-08:00,emailnotfound,FALSE,humboldt,2012-11-21T15:19:14-08:00,sacramento
garberville to eugene (rideshare),humboldt,http://humboldt.craigslist.org/rid/3417026562.html,"my girlfriend and i need a ride home for thanksgiving. need to leave tues or wed night. 
we each have a backpack. 
txt at 503-828-7421. 
love is the law... ",2012-11-17T14:05:02-08:00,emailnotfound,FALSE,humboldt,2012-11-20T14:05:02-08:00,eugene
