title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
driving to wasilla tomorrow (soldotna),kenai,http://kenai.craigslist.org/rid/3417675902.html,ive got the back seats open 50 gets you directly to your destination. . i have a wrx so they are a bit small but its a ride to wasilla or inbetween. my entire hatch is empty if you need to bring stuff too. 9073880105. text or call. we leave afternoon [...],2012-11-17T19:48:12-09:00,emailnotfound,TRUE,kenai,2012-11-17T19:48:12-09:00,wasilla
ride offer: homer to anchorage,kenai,http://kenai.craigslist.org/rid/3394355928.html,"leaving homer around noon on thursday. if you need a ride give me a call. 
mike 907.440.1918",2012-11-07T17:48:30-09:00,emailnotfound,TRUE,kenai,2012-11-08T17:48:30-09:00,anchorage
ride offered- homer to anc or soldotna to anc (homer),kenai,http://kenai.craigslist.org/rid/3390910401.html,"going to anchorage from homer tomorrow, weds. the 7th. leaving in the morning. can take one or two people, split gas three ways or four ways. there are two of us going. can pick you up in soldotna or anywhere else on the way. text me at 804- three on [...]",2012-11-06T09:30:04-09:00,emailnotfound,TRUE,kenai,2012-11-06T09:30:04-09:00,anc
ride to anc 10/28 (homer),kenai,http://kenai.craigslist.org/rid/3368900066.html,"ride offered to anc on 10/28 am 
call 
matthew907-299one729",2012-10-27T10:30:34-08:00,emailnotfound,TRUE,kenai,2012-10-28T10:30:34-08:00,anc
looking for a ride from homer to anchorage,kenai,http://kenai.craigslist.org/rid/3367407627.html,"hi everyone , 
i m looking for a ride from anchor point to anchorage on wednesday 31st of october as i have to catch my flight in the late evening. if anyone has a room in his car for me ,i would be able to split the gas cost . 
i don t have a phone  [...]",2012-10-26T15:33:16-08:00,emailnotfound,FALSE,kenai,2012-10-31T15:33:16-08:00,anchorage
need a ride from kenai to anchorage (kenai),kenai,http://kenai.craigslist.org/rid/3362903428.html,is there anybody going from kenai to anchorage either sunday the 28th or monday the 29th? i have to catch a plane out of anchorage to seattle and have now means of getting there. if somebody is headed that way and willing to let me ride a long i can  [...],2012-10-24T16:35:24-08:00,emailnotfound,FALSE,kenai,2012-10-28T16:35:24-08:00,anchorage
homer to anchorage (nov 4 or 5),kenai,http://kenai.craigslist.org/rid/3360346752.html,looking to find a ride to anchorage from homer. i need a ride to anchorage on november 4 or 5. i am willing to split the cost of fuel. please call or text anytime thanks thomas. 4803267702,2012-10-23T15:35:49-08:00,emailnotfound,TRUE,kenai,2012-11-04T15:35:49-08:00,anchorage
heading to anchorage (soldotna),kenai,http://kenai.craigslist.org/rid/3349375410.html,heading to anchorage sat morning at 6am from soldotna. be pretty loaded but have a seat open for $40 for gas. thx,2012-10-18T23:30:57-08:00,emailnotfound,TRUE,kenai,2012-10-20T23:30:57-08:00,anchorage
9/15 soldotna to anchorage/fairbanks (soldotna anchorage fairbanks),kenai,http://kenai.craigslist.org/rid/3338284593.html,"i am offering a ride on 10/15, i am leaving soldotna at 8am & heading to fairbanks. should be leaving anchorage at 1130am. asking $30 so send me an email & we can figure out a place to meet. ",2012-10-14T08:30:18-08:00,emailnotfound,TRUE,kenai,2012-09-15T08:30:18-08:00,anchorage/fairbanks
ride offered (homer to anchorage),kenai,http://kenai.craigslist.org/rid/3329808396.html,i'm driving from homer to anchorage. have pick-up. room for riders and/or stuff. leaving thursday morning. call mike at 907.440.1918 if interested,2012-10-10T11:53:54-08:00,emailnotfound,TRUE,kenai,2012-10-11T11:53:54-08:00,anchorage
"ride offered - friday, october 12th (anchorage to soldotna)",kenai,http://kenai.craigslist.org/rid/3329238616.html,"i'm driving from anchorage to soldotna on friday, october 12th. leaving around 6:30 pm. 
asking around $15 help for gas. 
i have some space for luggage. 
no drugs. no weapons. pets only with kennel. no freeloaders. 
i drive a safe subaru and have no  [...]",2012-10-10T08:24:54-08:00,emailnotfound,TRUE,kenai,2012-10-12T08:24:54-08:00,soldotna
homer to whitefish mt,kenai,http://kenai.craigslist.org/rid/3328285253.html,"leaving homer around oct 18th, share ride/gas",2012-10-09T16:50:07-08:00,emailnotfound,TRUE,kenai,2012-10-18T16:50:07-08:00,whitefish
10/9 soldotna to fairbanks or anywhere in between (soldotna anchorage fairbanks),kenai,http://kenai.craigslist.org/rid/3325011599.html,"i am offering a ride on 10/9, i am leaving soldotna at 8am & heading to fairbanks. should be leaving anchorage at 1130am. asking $30 so send me an email & we can figure out a place to meet.",2012-10-08T10:39:07-08:00,emailnotfound,TRUE,kenai,2012-10-09T10:39:07-08:00,fairbanks
help me get to anchorage (homer),kenai,http://kenai.craigslist.org/rid/3317218297.html,"hi, i need a ride from homer to anchorage airport on wednesday, october 17th. i'm going to have a bike (boxed up in a standard bike box), a backpack, a small bag, and possibly one other box. probably a truck or vehicle with lots of storage space will [...]",2012-10-04T17:40:27-08:00,emailnotfound,TRUE,kenai,2012-10-17T17:40:27-08:00,anchorage
