title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered - lv to az - tue 11/20 (las vegas),lasvegas,http://lasvegas.craigslist.org/rid/3417437679.html,"i am driving from las vegas to arizona for thanksgiving and plan to leave on tuesday the 20th at around noon. i am flexible, so i could possibly leave a day earlier or a day later, and i'm flexible on times as well. i've made this drive plenty of tim [...]",2012-11-17T17:47:03-08:00,emailnotfound,TRUE,lasvegas,2012-11-20T17:47:03-08:00,az
thanksgiving to san diego (las vegas),lasvegas,http://lasvegas.craigslist.org/rid/3384111575.html,"going to san diego on thursday 22. nov leaving vegas around 9:00 am and coming back saturday 24. nov around noon. 
each trip $35. please send a pic when replying. thank you.",2012-11-17T17:45:52-08:00,emailnotfound,TRUE,lasvegas,2012-11-22T17:45:52-08:00,san
girl needs ride to phx airport or elliott and i-10 (laughlin),lasvegas,http://lasvegas.craigslist.org/rid/3417347021.html,"i am one girl with no luggage 
maybe needing to get to phx from laughlin 
sun through thursday only for thxgiving ",2012-11-17T16:51:30-08:00,emailnotfound,TRUE,lasvegas,2012-11-22T16:51:30-08:00,phx
henderson to flagstaff (215&stephanie ),lasvegas,http://lasvegas.craigslist.org/rid/3411918649.html,"leaving to flagstaff monday morning betwen 8&10 if u need a ride call me 702-788-4126 or txt thanks 
$50 ",2012-11-17T12:46:16-08:00,emailnotfound,TRUE,lasvegas,2012-11-19T12:46:16-08:00,flagstaff
"rides offered: from las vegas to san jose silicon valley and sfo bay! (las vegas to san jose, ca)",lasvegas,http://lasvegas.craigslist.org/rid/3416726333.html,"i will drive a mini van. very comfortable and safe ride. 
one way cost $28 
leave: from las vegas to sam jose, nov. 21. return, nov. 24 or 25 
please text me: 913-662-1338. or email me.",2012-11-17T11:55:16-08:00,emailnotfound,TRUE,lasvegas,2012-11-21T11:55:16-08:00,san
vegas to orange county tuesday (vegas to south oc),lasvegas,http://lasvegas.craigslist.org/rid/3416712381.html,"ford excursion leaving from south west las vegas this tuesday afternoon en route to the orange county, ca 
i-15 south to the ca-91 west to the 241 south 
$25 one-way trip payable up front 
easily able to fit luggage 
if you're heading in that directi [...]",2012-11-17T11:49:42-08:00,emailnotfound,TRUE,lasvegas,2012-11-20T11:49:42-08:00,orange
will give an inexpansive ride to la on sat. 17 (las vegas),lasvegas,http://lasvegas.craigslist.org/rid/3416682999.html,"pls call me asap 626 429-8935 to arrange vegas to la on (by noon) nov. 17 (share gas 30.0., new car)! can share a room in la 30 .0 each nite using sofa bed/air bed. leaving from vegas, can pickup if close to rio. or china town. thx. ",2012-11-17T11:37:56-08:00,emailnotfound,TRUE,lasvegas,2012-11-17T11:37:56-08:00,la
"sunday, driving to victorville/san bernardino/los angeles (las vegas)",lasvegas,http://lasvegas.craigslist.org/rid/3416319220.html,"laidback, music loving, early 30's male headed back to los angeles/hollywood circa 1pm sunday. leaving from las vegas, passing through san barstow, victorville, bernardino, and ending up in hollywood. $25 per seat. plenty of spacious room in a scion  [...]",2012-11-17T09:17:53-08:00,emailnotfound,TRUE,lasvegas,2012-11-18T09:17:53-08:00,victorville/san
"$25 to los angeles at 10am from the mgm casino  (las vegas to los angeles, glendale, burbank)",lasvegas,http://lasvegas.craigslist.org/rid/3403649611.html,"we're leaving at 10am from the mgm to los angeles for only $25 one way per person 
702 8one8 6612 
reservations required 
every day 
our travel time its 4 1/2 hours 
drop off at union station, glendale & burbank",2012-11-17T08:59:10-08:00,emailnotfound,TRUE,lasvegas,2012-01-02T08:59:10-08:00,los
needing ride urgent! las vegas to slc,lasvegas,http://lasvegas.craigslist.org/rid/3415412760.html,"solo rider looking to get to salt lake city 
im in vegas with 2 small suit cases and one bag 
provide gas money, good funny company 
call me asap if you can attentions to ally 
801 688 4758",2012-11-16T20:06:57-08:00,emailnotfound,FALSE,lasvegas,2012-11-16T20:06:57-08:00,slc
