title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride needed - lawrence to kingman on wed 11/21 (lawrence),lawrence,http://lawrence.craigslist.org/rid/3414110275.html,"i'm looking for a ride from lawrence to kingman. 
leaving november 21st returning november 22nd. my grandma is in bad health. she asked me to be with her on thanksgiving. renting a car in lawrence during the holiday would require 3 days, since they w [...]",2012-11-16T11:58:03-06:00,emailnotfound,TRUE,lawrence,2012-11-21T11:58:03-06:00,kingman
have a small trailer that needs to go to s. florida? (lawrence),lawrence,http://lawrence.craigslist.org/rid/3400295463.html,"do you have a small trailer that needs to be delivered to s. florida? leaving tuesday, wednesday at the latest. email for more information",2012-11-10T12:31:09-06:00,emailnotfound,TRUE,lawrence,2012-11-13T12:31:09-06:00,go
i'm going to wichita for thanksgiving break (lawrence),lawrence,http://lawrence.craigslist.org/rid/3397423829.html,"any fellow wichitans who are going home for break? i drive a toyota avalon with a lot of space for your luggage. $25 covers your share of gas for roundtrip. i'm leaving lawrence either tuesday night or wednesday morning, and i'm coming back sunday.",2012-11-09T08:55:10-06:00,emailnotfound,TRUE,lawrence,2012-11-13T08:55:10-06:00,wichita
ride to denver (denver),lawrence,http://lawrence.craigslist.org/rid/3387363450.html,i am looking for a ride up to denver for the new years shows and returning if possible. i have gas money and good stories to tell go see some music and make it there and back cheap. please be sane and willing to have a good time on your journey to 20 [...],2012-11-04T22:49:36-06:00,emailnotfound,FALSE,lawrence,2012-11-05T22:49:36-06:00,denver
ride offered to nola/ point between,lawrence,http://lawrence.craigslist.org/rid/3386325541.html,leaving tues nov 6 to new orleans. can drop off along the way. want to split gas/ driving. call mason 785-330-3928,2012-11-04T13:06:47-06:00,emailnotfound,TRUE,lawrence,2012-11-06T13:06:47-06:00,nola/
need ride to hays (lenexa to hays),lawrence,http://lawrence.craigslist.org/rid/3356060403.html,hello there. i'm looking for a ride wed. afternoon or thursday morning to hays for my sister's wedding (on sat.) i can chip in for gas or drive if you need to rest. please reply by email and i can call you back. thanks!,2012-10-22T04:36:34-05:00,emailnotfound,FALSE,lawrence,2012-10-24T04:36:34-05:00,hays
lawrence to northwest iowa for thanksgiving (sioux city/okoboji area),lawrence,http://lawrence.craigslist.org/rid/3341061005.html,good-natured artsie townie lady looking for a ride north for thanksgiving. i would like to leave for iowa anytime btwn november16th and return to lawrence around the 25th. i've got gas ($:) and a good sense of humor.,2012-10-15T15:06:52-05:00,emailnotfound,FALSE,lawrence,2012-10-25T15:06:52-05:00,northwest
"trying to get denver today (hays, ks)",lawrence,http://lawrence.craigslist.org/rid/3338514023.html,"i'm going to get dropped off in hays this afternoon, is anyone headed west along i70 who can take me to denver? i have gas money for ya! send email or text, 785-three four one-4499 - bekah",2012-10-14T13:17:16-05:00,emailnotfound,FALSE,lawrence,2012-10-14T13:17:16-05:00,get
lawrence to manhattan,lawrence,http://lawrence.craigslist.org/rid/3326288425.html,"my girlfriend lives in manhattan and i do not have a car. i'm looking for someone who drives from lawrence to manhattan pretty regularly to ride with occasionally. i can help pay for gas. 
i'm a junior at ku, just wanting to see my girlfriend a littl [...]",2012-10-09T00:46:30-05:00,emailnotfound,FALSE,lawrence,2012-10-12T00:46:30-05:00,manhattan
lawrence to manhattan (lawrence ),lawrence,http://lawrence.craigslist.org/rid/3314068009.html,"looking for a ride to manhattan either late friday night or early saturday morning, can pay for gas",2012-10-03T14:24:48-05:00,emailnotfound,TRUE,lawrence,2012-10-05T14:24:48-05:00,manhattan
