title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need ride (la vergne to el paso),lexington,http://lexington.craigslist.org/rid/3413209877.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap.,2012-11-16T01:35:28-05:00,emailnotfound,FALSE,lexington,2012-11-16T01:35:28-05:00,el
ride offered - slade to pittsburgh on tue 11/20 (slade),lexington,http://lexington.craigslist.org/rid/3412607909.html,"i'm offering a ride from slade to pittsburgh. 
leaving november 20th returning november 23rd. traveling from the red river gorge, ky, to seven springs, pa via pittsburgh. i'm headed home for thanksgiving, then back to the red for rock climbing. conta [...]",2012-11-15T18:57:23-05:00,emailnotfound,TRUE,lexington,2012-11-20T18:57:23-05:00,pittsburgh
southern ky to columbus oh  11/21 (united states),lexington,http://lexington.craigslist.org/rid/3406408356.html,looking for ride from around london ky to columbus oh on november 21st. i'm trying to get home for thanksgiving. thanks.,2012-11-13T08:51:34-05:00,emailnotfound,FALSE,lexington,2012-11-21T08:51:34-05:00,columbus
"need ride to clarksville, tn (lexington)",lexington,http://lexington.craigslist.org/rid/3401386556.html,"i'm looking for a ride from lexington, ky to clarksville, tn on thursday, november 15, 2012. 
i'm willing to help pay for gas for the trip. if you have any questions, please call or text me at 931-220-1112. 
thanks.",2012-11-10T23:17:11-05:00,emailnotfound,FALSE,lexington,2012-11-15T23:17:11-05:00,clarksville
"ride offered: cincinnati to pittsburgh to nyc, leaving 11-6 (cincinnati)",lexington,http://lexington.craigslist.org/rid/3372242891.html,"i know it's a long shot but i am posting in lexington craigslist anyway. anyone who can get to cinci on nov 6 i will be driving east all the way to new york city. the cost would be about $40 for the ride, you would have to get to cincinnati yourself.",2012-11-05T10:32:53-05:00,emailnotfound,TRUE,lexington,2012-11-06T10:32:53-05:00,pittsburgh
headed to houston,lexington,http://lexington.craigslist.org/rid/3377851865.html,"driving a nice full-size crew cab pulling enclosed trailer full of vintage motorcycles. going down for national motocross races. 
leaving wednesday nov7 or thursday nov8, from richmond. can begin in lexington. will pass through nashville tn, memphis  [...]",2012-10-31T16:53:31-04:00,emailnotfound,TRUE,lexington,2012-10-36T16:53:31-04:00,houston
"need ride from lexington to durham (berea, ky)",lexington,http://lexington.craigslist.org/rid/3373366543.html,"hey, i'm trying to get from berea/lexington to durham, nc by end of day wednesday. happy to share costs. hit me back soon, limited internet.",2012-10-29T17:18:55-04:00,emailnotfound,FALSE,lexington,2012-10-31T17:18:55-04:00,durham
"ride offered - lex to memphis nov 5  (lexington, ky)",lexington,http://lexington.craigslist.org/rid/3372413389.html,"i'm driving from lexington to memphis, passing through nashville. leaving first thing in the morning, returning the following morning. wanna come? pay share of gas, it would be great if you could do some driving as well. i have a spacious hatchback i [...]",2012-10-29T11:12:03-04:00,emailnotfound,TRUE,lexington,2012-11-05T11:12:03-04:00,memphis
need ride from lex to nashville for tomahawk concert this saturday!!! ((mike patton yay)),lexington,http://lexington.craigslist.org/rid/3362700420.html,"one of my favorite bands, tomahawk, will be playing in nashville this saturday but i don't have enough gas money to make it. if anyone is heading that way i would love to catch a ride.",2012-10-24T18:54:21-04:00,emailnotfound,FALSE,lexington,2012-10-29T18:54:21-04:00,nashville
ride offered - richmond to lexington on wed 10/24 (richmond),lexington,http://lexington.craigslist.org/rid/3361983463.html,"i'm offering a ride from richmond to lexington. 
leaving october 24th returning october 24th. we are all a little weird and life's a little weird, and when we find someone whose weirdness is compatible with ours, we join up with them and carpool. :-) [...]",2012-10-24T14:06:08-04:00,emailnotfound,TRUE,lexington,2012-10-24T14:06:08-04:00,lexington
ride offered - lexington to nashville on fri 10/26 (lexington),lexington,http://lexington.craigslist.org/rid/3358994386.html,"i'm offering a ride from lexington to nashville. 
leaving october 26th returning october 27th. the civic is heading down to nashville so we catch catch day 1 of the with your friends festival - skrillex and pretty lights in concert.
we will be headin [...]",2012-10-23T10:59:11-04:00,emailnotfound,TRUE,lexington,2012-10-26T10:59:11-04:00,nashville
lexington to louisville (lexington),lexington,http://lexington.craigslist.org/rid/3351194681.html,"going to loiusville on monday, hit me up if you like to share some gas expensives. only asking for 20 or so",2012-10-19T19:47:07-04:00,emailnotfound,TRUE,lexington,2012-10-22T19:47:07-04:00,louisville
