title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered - new york metro area to buffalo on fri 11/23 (new york),longisland,http://longisland.craigslist.org/rid/3414435851.html,i'm offering a ride from new york to buffalo. i need to be in the buffalo area by 7pm on 11/23. i have a chevy malibu with xm satellite radio that is very comfy. i'm 31 years old and have a clean driving record. looking for people to split cost of ga [...],2012-11-16T14:57:56-05:00,emailnotfound,TRUE,longisland,2012-11-23T14:57:56-05:00,buffalo
offering roundtrip ride to pittsburgh (11/20 and 11/25) (hempstead),longisland,http://longisland.craigslist.org/rid/3412088359.html,"pretty self explanatory. 
i'll be leaving hempstead for pittsburgh around 5pm on tuesday 11/20 
i'll be returning to hempstead from pittsburgh sunday afternoon 11/25 
i drive a basic sedan with a pretty spacious trunk, good gas milage 
i am willing t [...]",2012-11-15T15:11:15-05:00,emailnotfound,TRUE,longisland,2012-11-20T15:11:15-05:00,pittsburgh
longisland to nyc ,longisland,http://longisland.craigslist.org/rid/3405250244.html,i am a 40s year old male driver .looking for someone to rideshare with to manhattan tuesday thru friday 530am leave longisland and return back from nyc at 5pm. which means get back to long island around 630 with hov lane . i drive a 2011 sonata 4 doo [...],2012-11-12T17:19:32-05:00,emailnotfound,FALSE,longisland,2012-11-13T17:19:32-05:00,nyc
i need a ride anytime tonight (mastic to patchogue),longisland,http://longisland.craigslist.org/rid/3403448384.html,i need a ride preferabllly soon its 11:30 p.m. on sunday night i need to pick up a dresser.,2012-11-11T23:20:43-05:00,emailnotfound,TRUE,longisland,2012-11-11T23:20:43-05:00,patchogue
east end long island to nyc (suffolk/nassau),longisland,http://longisland.craigslist.org/rid/3396573657.html,"can leave eastern suffolk between 3 and 5am would like to be in nyc before 7. returning back to eastern suffolk aprox. 3 hours later. willing to pick you up and drop you off door to door. 
no profit. contribute to gas. $25 round trip or any part of.  [...]",2012-11-08T20:25:31-05:00,emailnotfound,TRUE,longisland,2012-04-03T20:25:31-05:00,nyc
patchouge ny to charlotte nc (patchouge),longisland,http://longisland.craigslist.org/rid/3380787904.html,im leaving patchouge ny heading to charlotte nc 11/5 at 6pm if anyone needs a ride im charging $80,2012-11-01T23:43:53-04:00,emailnotfound,TRUE,longisland,2012-11-05T23:43:53-04:00,charlotte
"do you need a ride to pennsylvania? (long island to lewisburg, pa.)",longisland,http://longisland.craigslist.org/rid/3328635255.html,"i am heading to lewisburg pennsylvania on saturday october 20th. i plan on leaving huntington area about 4:00am heading through new jersey, route 80 and ending up in lewisburg, pennsylvania. i can pick you up and drop you off anywhere along the way.  [...]",2012-10-23T19:33:52-04:00,emailnotfound,TRUE,longisland,2012-10-20T19:33:52-04:00,pennsylvania
"do you need a ride to pennsylvania? (long island to lewisburg, pa.)",longisland,http://longisland.craigslist.org/rid/3351281222.html,"i am heading to lewisburg pennsylvania on saturday october 27th. i plan on leaving huntington area about 4:00am heading through new jersey, route 80 and ending up in lewisburg, pennsylvania. i can pick you up and drop you off anywhere along the way.  [...]",2012-10-23T19:33:18-04:00,emailnotfound,TRUE,longisland,2012-10-27T19:33:18-04:00,pennsylvania
ride to manhattan monday 10/29 - e53 st. (huntington),longisland,http://longisland.craigslist.org/rid/3357870431.html,"ride available to. manhattan monday, 10/29 to e53 street and 3rd ave. pick-up at 10am near huntington. village. $30 one way. leave manhattan by 2pm - round trip $50. 
call 631-793-1804 or contact by email reply for more information",2012-10-22T19:34:04-04:00,emailnotfound,TRUE,longisland,2012-10-29T19:34:04-04:00,manhattan
ride to florida - fwb  and no cost (long island),longisland,http://longisland.craigslist.org/rid/3295246949.html,"i am driving to florida in about a month. i am a senior (61) and am going alone, but would enjoy female companionship for chat, dining, sleepmate/lovemaking, etc . if you are an older female and would enjoy such a trip (expense free) from long island [...]",2012-10-21T09:53:47-04:00,emailnotfound,TRUE,longisland,2012-10-22T09:53:47-04:00,florida
im looking to share a ride with someone going from li to queens  (suffolk),longisland,http://longisland.craigslist.org/rid/3351616902.html,"im in a jam, my car broke down and i have no way to get to work come mon morning. i live in bay shore and travel to queens leaving around 5:30-6 each morning. im asking anyone who travels this route ( im located right on sunrise and can jump in witho [...]",2012-10-20T00:33:15-04:00,emailnotfound,TRUE,longisland,2012-10-22T00:33:15-04:00,share
