title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
22 year old girl needs monterey park to pasadena  $$$ (pasadena),losangeles,http://losangeles.craigslist.org/sgv/rid/3417898209.html,"will pay $$$ need ride to pasadena from monterey park. 22 year old female. i am in monterey park off of garvey. 
424-208-4468",2012-11-18T02:15:50-08:00,emailnotfound,FALSE,losangeles,2012-11-19T02:15:50-08:00,pasadena
ride needed (from camino to hawthorne),losangeles,http://losangeles.craigslist.org/wst/rid/3417844770.html,"hello my name is jonathan :) 
i will be helping a friend move on the 29th of november. we will be leaving redondo beach and moving to camino california.. i will need a ride back by december 1st back to redondo beach.. 
if your reading this and think  [...]",2012-11-18T00:24:01-08:00,emailnotfound,FALSE,losangeles,2012-12-01T00:24:01-08:00,hawthorne
"ride needed to tuscon, arizona",losangeles,http://losangeles.craigslist.org/lac/rid/3417780582.html,"my partner and i are looking for a ride to tuscon. we have good conversation, and can contribute some gas money. looking to leave around the 29th of november. please let us know! ",2012-11-17T22:43:30-08:00,emailnotfound,FALSE,losangeles,2012-11-29T22:43:30-08:00,tuscon
ride needed- la to sf 11/21 (los angeles),losangeles,http://losangeles.craigslist.org/sgv/rid/3417396063.html,"hello, 
i'm looking for a ride to san francisco, wednesday november 21 and happy to split the gas. i'm hoping to catch a ride up so i can meet my boyfriend there and drive back in his car. i'm 33, well traveled, and about to begin a doctorate in psyc [...]",2012-11-17T17:21:06-08:00,emailnotfound,FALSE,losangeles,2012-11-21T17:21:06-08:00,sf
need a ride to portland or even seattle monday or tuesday (silverlake ca),losangeles,http://losangeles.craigslist.org/lac/rid/3417362517.html,"hi there. i need a ride to portland or seattle leaving monday or tuesday latest. i don't have much cash but can contribute for some gas. i'm 420 friendly if you like that too but will not be packing it unless you want it. i'm easygoing, no drama. not [...]",2012-11-17T17:00:43-08:00,emailnotfound,TRUE,losangeles,2012-11-19T17:00:43-08:00,portland
california to ny,losangeles,http://losangeles.craigslist.org/lac/rid/3417330798.html,i'll be driving to ny in my 2004 bmw 330xi with my smallish lab spaniel mix and am looking for someone to split the gas with. i'm a 30 year old guy and my dog is super friendly. i'm flexible on my leave date but sooner is better. let me know and we c [...],2012-11-17T16:42:07-08:00,emailnotfound,FALSE,losangeles,2012-11-23T16:42:07-08:00,ny
ride needed la to sf 11/25,losangeles,http://losangeles.craigslist.org/lac/rid/3417234360.html,"going to see family for the holiday.., need a ride back.. will chip in for gas.. thanks.. email if you have more questions",2012-11-17T15:48:52-08:00,emailnotfound,FALSE,losangeles,2012-11-25T15:48:52-08:00,sf
ride needed - la to oakland on tue 11/20 (la),losangeles,http://losangeles.craigslist.org/lac/rid/3417177546.html,"i'm looking for a ride from los angeles to oakland. 
leaving november 20th returning november 26th. hi,i teach at usc in the mfa program and in visual studies. i'm going to oakland for thanksgiving, and would like to leave on tuesday after my morning [...]",2012-11-17T15:18:48-08:00,emailnotfound,FALSE,losangeles,2012-11-20T15:18:48-08:00,oakland
offered: la to las vegas wed. 11/21,losangeles,http://losangeles.craigslist.org/lac/rid/3416973981.html,"hi people 
i am driving from los angeles to las vegas on wed. nov. 21 and plan on leaving around 9:00 a.m. i and looking for two or three people to ride with. if you are looking for a ride and can help with gas, say about $20 bucks, email or give me  [...]",2012-11-17T13:40:40-08:00,emailnotfound,TRUE,losangeles,2012-11-21T13:40:40-08:00,las
ride offered: la to san francisco or east bay sunday 11/18 (korea town),losangeles,http://losangeles.craigslist.org/lac/rid/3416918059.html,"two girls going to san francisco bay area from central la sunday the 18th around 2pm, we can take one more, we going to east bay and then san francisco. 
looking for someone who can help with driving and chip in for gas, $25. 
please write with a lit [...]",2012-11-17T13:15:41-08:00,emailnotfound,TRUE,losangeles,2012-11-18T13:15:41-08:00,san
