title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need ride (la vergne to el paso),louisville,http://louisville.craigslist.org/rid/3413208752.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap.,2012-11-16T01:34:08-05:00,emailnotfound,FALSE,louisville,2012-11-16T01:34:08-05:00,el
would like to share a ride with someone to nashville around 11/15 (louisville),louisville,http://louisville.craigslist.org/rid/3406478128.html,i need to go to nashville around the 15th to pick up paperwork. greyhound stops too often and i would prefer the 4 hour trip not be an 11 hour trip for me. i am good company and would keep you awake with conversation and laughs and could even help dr [...],2012-11-13T09:32:04-05:00,emailnotfound,TRUE,louisville,2012-11-15T09:32:04-05:00,share
kentuckiana to tuscon arizona (southern indiana),louisville,http://louisville.craigslist.org/rid/3396705798.html,"looking for a ride to tuscon arizona. i don't have alot of money but am willing to drive. i have driven long distances before and am used to it. i also like to talk, joke, and just have fun. i am a really cool guy. would like to go as soon as possibl [...]",2012-11-08T21:42:14-05:00,emailnotfound,FALSE,louisville,2012-11-12T21:42:14-05:00,tuscon
"ride offered: cincinnati to pittsburgh to nyc, leave 11-6 (cincinnati)",louisville,http://louisville.craigslist.org/rid/3372248922.html,"i plan on leaving cincinnati of nov 6 and driving through pittsburgh then to nyc. i know this is the louisville craigslist page, but felt like posting here in addition to posting elsewhere. the cost for the ride is $40. if you are interested let me k [...]",2012-11-05T10:33:23-05:00,emailnotfound,TRUE,louisville,2012-11-06T10:33:23-05:00,pittsburgh
driving to tn (louisville),louisville,http://louisville.craigslist.org/rid/3384891583.html,i am driving to nashville tomorrow night (sunday night). ,2012-11-03T19:26:43-04:00,emailnotfound,TRUE,louisville,2012-11-03T19:26:43-04:00,tn
ride offered - louisville to fort thomas on wed 11/21 (louisville),louisville,http://louisville.craigslist.org/rid/3379040567.html,"i'm offering a ride from louisville to fort thomas. 
leaving november 21st returning november 25th. contact me on zimride: http://www.zimride.com/ride/share?ride=513337 
i drive a 2005 hyundai elantra. ",2012-11-01T10:20:28-04:00,emailnotfound,TRUE,louisville,2012-11-21T10:20:28-04:00,fort
"dallas bound for the holidays (louisville to dallas, tx)",louisville,http://louisville.craigslist.org/rid/3378371544.html,"heading to dallas nov. 16th returning the 22nd. looking for clean, licensed, willing to share fuel costs and driving individual to share ride. ",2012-10-31T21:50:20-04:00,emailnotfound,TRUE,louisville,2012-11-16T21:50:20-04:00,dallas
"from elizabethtown to dt louisville mon.-fri. (elizabethtown, ky)",louisville,http://louisville.craigslist.org/rid/3374509080.html,"i drive from elizabethtown, ky to downtown louisville monday through friday for work. i usually leave elizabethtown around 7:15 in the morning and leave louisville at 5:00 in the afternoon. if anyone would like to carpool and chip in for gas, call or [...]",2012-10-30T09:44:45-04:00,emailnotfound,TRUE,louisville,2012-10-36T09:44:45-04:00,dt
driving to california,louisville,http://louisville.craigslist.org/rid/3371926108.html,"leaving for the west coast soon, decided last week it was time i saw california. friends bailed on me, so i'm looking for help paying for gas. i'll be returning to louisville, unless i get stuck out there without gas money...",2012-10-29T02:56:44-04:00,emailnotfound,FALSE,louisville,2012-10-29T02:56:44-04:00,california
heading from lousiville to pensacola fl (lousiville ky),louisville,http://louisville.craigslist.org/rid/3362891546.html,"i am offering a ride from lousiville to pensacola fl or any way along the route down i65 leaving fri oct 26 about 9 am 
mid 50's non smoker professional male 
email if interested ",2012-10-24T20:29:17-04:00,emailnotfound,TRUE,louisville,2012-10-26T20:29:17-04:00,pensacola
ride from louisville to ct (louisville),louisville,http://louisville.craigslist.org/rid/3353703946.html,leaving sun or mon to ct ,2012-10-20T22:55:12-04:00,emailnotfound,TRUE,louisville,2012-10-22T22:55:12-04:00,ct
ride to indianapolis on nov. 3rd? (louisville to indianapolis),louisville,http://louisville.craigslist.org/rid/3346023698.html,"hi, i'm taking the amtrak up to new york from indianapolis, and i was wondering if anyone would be willing to give me a ride on nov. 3rd? my name is brighid and i'm 21 years old. i'd be more than happy to pay gas or whatever. my train leaves at 11 am [...]",2012-10-17T16:39:09-04:00,emailnotfound,TRUE,louisville,2012-11-03T16:39:09-04:00,indianapolis
"offering - louisville, ky to chicago oct 27 and back (louisville - ky)",louisville,http://louisville.craigslist.org/rid/3340914942.html,"i am offering a ride from louisville on oct 27 (3 am) to chicago and back oct 29 (5 am). 
i am a laid back and mostly silly indian guy. i don't smoke so i'd appreciate if you didn't either, in the car. split gas and i'll double the fun.",2012-10-15T15:12:04-04:00,emailnotfound,TRUE,louisville,2012-10-27T15:12:04-04:00,chicago
"offering a ride to baltimore (louisville, ky)",louisville,http://louisville.craigslist.org/rid/3335912007.html,"i will be heading to n.j today by way of lex,charleston,baltimore,del",2012-10-13T09:49:23-04:00,emailnotfound,TRUE,louisville,2012-10-13T09:49:23-04:00,baltimore
heading to nj/philly (louisville),louisville,http://louisville.craigslist.org/rid/3332780968.html,"i am heading to nj/philly area saturday october 13th. i can drop you off any points between from: frankfort, ky tophilly,a few cities that i will be traveling through are: huntington, wv, charleston wv, morgantown, wv, hagerstown, md, baltimore, md.  [...]",2012-10-11T20:12:53-04:00,emailnotfound,TRUE,louisville,2012-10-13T20:12:53-04:00,nj/philly
louisville to phoenix,louisville,http://louisville.craigslist.org/rid/3332160217.html,"louisville to phoenix, leaving around october 25 th, share expenses.",2012-10-11T15:36:57-04:00,emailnotfound,TRUE,louisville,2012-10-25T15:36:57-04:00,phoenix
ride offered 65 south to nashville thursday (louisville),louisville,http://louisville.craigslist.org/rid/3326958353.html,"driving though louisville thursday early evening. 
offering ride to nashville or any where in between along the way. 
cool 40 something non smoking professional male.",2012-10-09T11:56:01-04:00,emailnotfound,TRUE,louisville,2012-10-11T11:56:01-04:00,nashville
