title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
"offered ride pickup truck to east lansing, mi 11/20 (madison)",madison,http://madison.craigslist.org/rid/3417617912.html,"leaving around noon tuesday, asking for $50 gas.",2012-11-17T21:57:00-06:00,emailnotfound,TRUE,madison,2012-11-20T21:57:00-06:00,east
fun fearless female offers ride share to same for holiday weekend (madison to in),madison,http://madison.craigslist.org/rid/3417479251.html,"rideshare for and by women for next weekend leaving either wednesday afternoon or early thursday morning. 
to avoid spam or dudes name some chic singer in your subject line 
make rideshare offer amount in your reply and leave a phone number also.",2012-11-17T20:14:18-06:00,emailnotfound,FALSE,madison,2012-11-21T20:14:18-06:00,same
ride offered - madison to las vegas on sat 11/17 (madison),madison,http://madison.craigslist.org/rid/3417457183.html,"i'm offering a ride from madison to las vegas. 
leaving november 17th. 2 to 3 day trip i am mature adult who is very respectful , drama free and adjusting . contact me on zimride: http://www.zimride.com/ride/share?ride=514177 
i drive a 2008 carolla  [...]",2012-11-17T19:59:42-06:00,emailnotfound,TRUE,madison,2012-11-17T19:59:42-06:00,las
ride offered - whitewater to madison on wed 11/21 (whitewater),madison,http://madison.craigslist.org/rid/3415932219.html,"i'm offering a ride from whitewater to madison. 
leaving november 21st. i am able to start anytime in the morning, stop anywhere along the way, but i just have to be at my house by 11:30 am. contact me on zimride: http://www.zimride.com/ride/share?ri [...]",2012-11-17T08:26:41-06:00,emailnotfound,TRUE,madison,2012-11-21T08:26:41-06:00,madison
madison to chicago airport (stoughton),madison,http://madison.craigslist.org/rid/3415615947.html,"looking for a ride from madison to chicago ohare airport on 22nd november arround 8 to 11 am 
i have luggage with me, a toddler and husband :-) 
ready to share gas 
please let me know asap ",2012-11-17T01:35:03-06:00,emailnotfound,FALSE,madison,2012-11-17T01:35:03-06:00,chicago
"msn to ne in - wed night or thu am (madison, wi)",madison,http://madison.craigslist.org/rid/3414711213.html,"rideshare offered from madison to ne indiana. planning to leave at 8am cst on thursday morning but can possibly leave wednesday afternoon. 
do have i-pass so no stopping at tolls! 
leave phone number with your name and proposed rideshare amount. 
you [...]",2012-11-16T15:46:43-06:00,emailnotfound,TRUE,madison,2012-11-21T15:46:43-06:00,ne
looking to share the commute (sprecher rd to fish hatchery),madison,http://madison.craigslist.org/rid/3412736417.html,"i live by sprecher road on milwaukee street and work on fish hatchery road south of the beltline. 
i'd like to share a ride to and from work monday through friday. 
my start times vary from 0800 to 0900 and i'm done from 5 pm - 6 pm. 
i'd be willing  [...]",2012-11-15T19:02:34-06:00,emailnotfound,TRUE,madison,2012-11-19T19:02:34-06:00,share
ride offered to o'hare airport on sat. nov 17 (madison),madison,http://madison.craigslist.org/rid/3411817811.html,"can take 1-2 persons on saturday nov.17 from madison to o'hare airport. 
i will leave around 10-11am. 
also, i will leave o'hare around 5pm and return to madison. ",2012-11-15T12:29:05-06:00,emailnotfound,TRUE,madison,2012-11-17T12:29:05-06:00,o'hare
ride needed: madison to chicago suburbs wed 11/21 (madison),madison,http://madison.craigslist.org/rid/3410836022.html,"looking for a ride from madison to the chicago suburbs (naperville) on wednesday 11/21. 
my girlfriend & i need a ride home for the thanksgiving holiday. we're friendly, respectful & can chip in for gas. 
looking to leave sometime on wednesday, but w [...]",2012-11-14T23:29:43-06:00,emailnotfound,FALSE,madison,2012-11-21T23:29:43-06:00,chicago
ride offered - madison to viroqua on wed 11/14 (madison),madison,http://madison.craigslist.org/rid/3409959594.html,"i'm offering a ride from madison to viroqua. 
leaving november 14th returning november 18th. contact me on zimride: http://www.zimride.com/ride/share?ride=532298 ",2012-11-14T15:24:36-06:00,emailnotfound,TRUE,madison,2012-11-14T15:24:36-06:00,viroqua
"madison wi. to chicago, il dec 3rd. (marshall mn)",madison,http://madison.craigslist.org/rid/3409930152.html,"i will be leaving marshall, mn early morning on december 3rd heading to chicago area. will be driving across mn on 14 through mankato, rochester, and then on 90 through lacrosse to madison and then south through beloit to chicago. 
i can pick up or d [...]",2012-11-14T15:12:52-06:00,emailnotfound,TRUE,madison,2012-12-03T15:12:52-06:00,chicago
"ride needed to madison, wisconsin, or dubuque iowa, or near fri 16 nov (ames)",madison,http://madison.craigslist.org/rid/3395204331.html,"i need a ride from ames ia, to madison wi on friday 16 november or thursday or saturday would also work for me. any place close to madison is fine too. 
i'll pay for the gas. thanks! ",2012-11-14T00:10:55-06:00,emailnotfound,FALSE,madison,2012-11-15T00:10:55-06:00,madison
"ride needed to madison, wisconsin, or close to madison on fri 16 nov (dubuque)",madison,http://madison.craigslist.org/rid/3395218206.html,"i need a ride from dubuque iowa to madison wi on friday 16 november after 3:30 pm. any place close to madison is fine too. 
i'll pay for the gas. thanks! ",2012-11-14T00:10:23-06:00,emailnotfound,FALSE,madison,2012-11-16T00:10:23-06:00,madison
weekly ride needed from adams to dells (adams),madison,http://madison.craigslist.org/rid/3407559617.html,"i am a 25-year-old female, friendly and caring person and down on my luck trying to find some work but hard to when don't drive and no way anywhere who was offered work at great wolf lodge thru a temp agency and need to find someone to give me a ride [...]",2012-11-13T15:23:31-06:00,emailnotfound,TRUE,madison,2012-11-16T15:23:31-06:00,dells
ride offered - madison to minneapolis on wed 11/21 (madison),madison,http://madison.craigslist.org/rid/3407013432.html,"i'm offering a ride from madison to minneapolis. 
leaving november 21st returning november 25th. this would be a rent a car scenario, so it is dependent on finding 3 people who want to join. i've talked to a couple of people on craigslist who may be  [...]",2012-11-13T12:03:06-06:00,emailnotfound,TRUE,madison,2012-11-21T12:03:06-06:00,minneapolis
