title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered 11/19 (kalispell to cheyenne),missoula,http://missoula.craigslist.org/rid/3416747990.html,"driving to cheyenne on monday in a real gas hog. lots of seating, looking for help with fuel costs. please contact via text if interested. 
foroh6-twowono-ate5tooeight ",2012-11-17T13:04:04-07:00,emailnotfound,TRUE,missoula,2012-11-19T13:04:04-07:00,cheyenne
seeking ride from portland to missoula sun 25th (after thanksgiving) (pdx to mso),missoula,http://missoula.craigslist.org/rid/3416347931.html,"hi, 
i have a ride to portland for thanksgiving but am looking for a ride back after, preferably on sunday but saturday works too. definitely willing to split gas and bring tasty snacks! 
thanks, 
sarah",2012-11-17T10:28:56-07:00,emailnotfound,FALSE,missoula,2012-11-17T10:28:56-07:00,missoula
ride offered from missoula to portland on the 20th (missoula),missoula,http://missoula.craigslist.org/rid/3415391492.html,"i'm heading out to portland for the holiday season and have room for a few passengers that are willing to split gas. my car gets pretty good mileage, so $30 should be alright. 
if you're interested, email or call me at 205-515-2898. i will not respon [...]",2012-11-16T20:50:30-07:00,emailnotfound,TRUE,missoula,2012-11-20T20:50:30-07:00,portland
need ride missoula to kalipsell (missoula),missoula,http://missoula.craigslist.org/rid/3415023508.html,starving college student needs ride to kalispell saturday to celebrate best friend's birthday. i can help with gas. ,2012-11-16T17:08:40-07:00,emailnotfound,FALSE,missoula,2012-11-16T17:08:40-07:00,kalipsell
"ride offer: missoula to jackson, wy",missoula,http://missoula.craigslist.org/rid/3414808942.html,"howdy, i have room for one and maybe a few bags. headed to jackson, wy next week, probably leave nov. 21st or 22nd. please email for more info. probably take i15 through idaho. 
thanks !",2012-11-16T15:28:02-07:00,emailnotfound,TRUE,missoula,2012-11-21T15:28:02-07:00,jackson
"mso to phoenix (id, slc, phoenix)",missoula,http://missoula.craigslist.org/rid/3392895682.html,"driving to apache jct (east of phoenix). leaving sunday november 25. slc by sun night, aj by monday night if the stars align properly.",2012-11-16T09:01:19-07:00,emailnotfound,TRUE,missoula,2012-11-25T09:01:19-07:00,phoenix
need ride from missoula to bozeman tonight (united states),missoula,http://missoula.craigslist.org/rid/3412888987.html,"need a ride! cant pitch gas money til we get there, but i am really really a very awesome travel companion!",2012-11-15T19:28:05-07:00,emailnotfound,FALSE,missoula,2012-11-19T19:28:05-07:00,bozeman
ride wanted to north idaho (butte/missoula),missoula,http://missoula.craigslist.org/rid/3410594233.html,"hello, we are two people, luke and kate, and we're looking for a ride home to sandpoint, idaho, but a ride to coeur d'alene or anywhere along highway 200, like hot springs montana or clark fork would be great. we are in utah right now visiting my mom [...]",2012-11-14T19:32:08-07:00,emailnotfound,TRUE,missoula,2012-11-19T19:32:08-07:00,north
missoula to wausau wi (one way) (missoula),missoula,http://missoula.craigslist.org/rid/3410309340.html,"are you looking for an excuse to go visit friends or family in wi?? 
i have a train booked but am looking to share gas and help drive to save some $$. if ride share will work, i can cancel my train ticket. 
i 32 with 14 year old son. we are fun and e [...]",2012-11-14T16:57:50-07:00,emailnotfound,FALSE,missoula,2012-11-16T16:57:50-07:00,wausau
looking for a ride to denver (missoula to denver),missoula,http://missoula.craigslist.org/rid/3409895036.html,"hi, i'm looking for a ride to denver. i need to arrive on the 20th at the latest. i'm willing to split gas and i can drive. 
thanks 
4oh621four4nine2nine",2012-11-14T13:59:03-07:00,emailnotfound,FALSE,missoula,2012-11-20T13:59:03-07:00,denver
