title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
"need ride to atlanta.  (nashville, tn)",nashville,http://nashville.craigslist.org/rid/3415297255.html,"hi there. my name is duke. my very well behaved medium sized dog muggy and i need a ride. we left today from chicago via rideshare, and nashville was as far as they were going. if you have room to atlanta please call asap. can pay for gas and have a  [...]",2012-11-16T20:43:47-06:00,emailnotfound,FALSE,nashville,2012-11-16T20:43:47-06:00,atlanta.
need ride  (nashville to el paso),nashville,http://nashville.craigslist.org/rid/3413181060.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap.,2012-11-16T00:03:40-06:00,emailnotfound,FALSE,nashville,2012-11-16T00:03:40-06:00,el
ride to campus/class mtsu (murfreesbor/mtsu),nashville,http://nashville.craigslist.org/rid/3394017445.html,"offering rides to campus during school hours. 
$1.00 per person per ride. 
servicing raiders crossing 
call or text 931-206-7398 to make arrangements. 
service begins 11/8/2012 0500 
i can carry up to 4 people so first come first serve.",2012-11-15T19:39:36-06:00,emailnotfound,TRUE,nashville,2012-11-08T19:39:36-06:00,campus/class
***ride offered to sw fla***,nashville,http://nashville.craigslist.org/rid/3410259565.html,"planning on leaving nashville or atlanta 
sunday/ monday nov 24th . 
going as far south as naples. 
615-498- eight six eight three ",2012-11-14T17:34:13-06:00,emailnotfound,TRUE,nashville,2012-11-24T17:34:13-06:00,sw
need ride to knoxville (knoxville),nashville,http://nashville.craigslist.org/rid/3407651879.html,need a ride to knox asap even tonight text or call me at 352 228 3498 jimmy,2012-11-13T15:59:44-06:00,emailnotfound,TRUE,nashville,2012-11-13T15:59:44-06:00,knoxville
ride needed - nashville to new york on sun 11/18 (nashville),nashville,http://nashville.craigslist.org/rid/3406894868.html,"i'm looking for a ride from nashville to new york city for the holidays (thanksgiving / christmas). want to travel to nyc for thanksgiving maybe christmas, one way (or maybe not....very flexible), doesn't really matter exactly what date we leave. hav [...]",2012-11-13T11:20:50-06:00,emailnotfound,TRUE,nashville,2012-11-18T11:20:50-06:00,new
naahville to memphis,nashville,http://nashville.craigslist.org/rid/3406518773.html,"rideshare offer from nashville to memphis tuesday november 20th. i will be leaving no later than 530pm. 
i usually stop right outside of jackson for coffee and restrooms. only reason why i am offering is bc its thanksgiving week and i have an extra 2 [...]",2012-11-13T08:52:12-06:00,emailnotfound,TRUE,nashville,2012-11-20T08:52:12-06:00,memphis
memphis to nashville,nashville,http://nashville.craigslist.org/rid/3406496765.html,"rideshare offer from memphis to nashville tuesday november 20th. i will be leaving no later than 730am because i have meeting in nashville at 11am. i usually stop right outside of jackson for coffee and restrooms. 
only reason why i am offering is bc [...]",2012-11-13T08:41:39-06:00,emailnotfound,TRUE,nashville,2012-11-20T08:41:39-06:00,nashville
ride from nashville to atlanta (nashville),nashville,http://nashville.craigslist.org/rid/3405824546.html,"hello, 
i am driving from nashville to atlanta on sunday, november 18, leaving in the morning/early afternoon. i can pick up and drop off anywhere along the way. depending on where you are picked up/dropped off, we can work out reasonable gas $$$. th [...]",2012-11-12T20:59:03-06:00,emailnotfound,TRUE,nashville,2012-11-18T20:59:03-06:00,atlanta
ride needed to detroit or cleveland around nov17 (nashville),nashville,http://nashville.craigslist.org/rid/3404196224.html,"hi all. i'm looking to get up to visit family and friends for thanksgiving. ideally i'd like to get to detroit and cleveland, but one or the other would be totally great. saturday the 17th would be my ideal day to leave, but i'm totally flexible, and [...]",2012-11-12T10:07:39-06:00,emailnotfound,FALSE,nashville,2012-11-17T10:07:39-06:00,detroit
