title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
truck headed to nc (75 north),ocala,http://ocala.craigslist.org/rid/3413499592.html,"we drove down from nc to see the family in central fl and are returning home on the 11/25. we have a topper on the bed of our truck and can deliver items anywhere along the i75 corridor, for a reasonable rate. ",2012-11-16T08:32:34-05:00,emailnotfound,TRUE,ocala,2012-11-25T08:32:34-05:00,nc
"need a ride to atlanta, ga (crystal river, fl)",ocala,http://ocala.craigslist.org/rid/3412380881.html,"i have 100+ bucks for a ride from crystal river, florida to atlanta, ga any time around the end of the month, thru early december. 
i'm moving up there, but i can travel light (just a few luggage cases, bags of clothes, some rubbermade bins). i could [...]",2012-11-15T17:13:42-05:00,emailnotfound,TRUE,ocala,2012-11-19T17:13:42-05:00,atlanta
need ride to elkhart indiana south bend (forest corners ocala forest),ocala,http://ocala.craigslist.org/rid/3400666391.html,hello iam looking for a ride to elkhart indiana south bend area or close if anyone is heading this way can pay 80.00 to help with gas maybe 100.00 if i can get real close my cell is 727-251-8413 or email me anytime thanks for the help and good week t [...],2012-11-15T12:15:17-05:00,emailnotfound,FALSE,ocala,2012-05-10T12:15:17-05:00,elkhart
going to west palm beach (ocala),ocala,http://ocala.craigslist.org/rid/3410514471.html,"i'm traveling through ocala going south - west palm beach, lake worth, etc. i'll be in ocala tomorrow in the afternoon between 2-5pm. 
i'm a responsible, upstanding, professional and easy-going male. 
if interested, contact me immediately. you must b [...]",2012-11-14T20:45:30-05:00,emailnotfound,TRUE,ocala,2012-11-14T20:45:30-05:00,west
i need a ride to tallahassee wed 11/14 any time (villages / lady lake/wildwood),ocala,http://ocala.craigslist.org/rid/3408567618.html,"wed today 11 /14/12 i need a ride to tallahassee 
i a in the villages or can meet you at 1-75 and 44 
michele 352-223-8262",2012-11-14T02:38:25-05:00,emailnotfound,FALSE,ocala,2012-11-14T02:38:25-05:00,tallahassee
driving to colorado (ocala/orlando/tampa),ocala,http://ocala.craigslist.org/rid/3399914813.html,"driving to colorado next tuesday or wednesday room for 1 person, pet friendly and can transport some stuff in the bed of my pick up truck, share the petro. !!!!",2012-11-10T11:03:25-05:00,emailnotfound,TRUE,ocala,2012-11-13T11:03:25-05:00,colorado
emergency ride needed to airport in orlando (ocala),ocala,http://ocala.craigslist.org/rid/3396351557.html,need a ride to the airport asap to orlando anytime is reasonable for me please help.....flight leaves at 5:40am friday,2012-11-08T18:30:35-05:00,emailnotfound,FALSE,ocala,2012-11-08T18:30:35-05:00,airport
need rideshare asap due to family emergency (from homosassa to st. augustine),ocala,http://ocala.craigslist.org/rid/3383887607.html,"we're two females who need a rideshare to st. augustine from homosassa springs/crystal river area... we will pay fair gas money. we don't have much we're bringing with us, a couple backpacks, etc. 
thank you 
please e-mail or call 213-359-1459 ",2012-11-03T12:14:15-04:00,emailnotfound,FALSE,ocala,2012-11-03T12:14:15-04:00,family
need a ride south to orlando or ft lauderdale (lady lake),ocala,http://ocala.craigslist.org/rid/3382313507.html,"i'm in lady lake and am looking to split gas for a ride to orlando or ever further south to ft. lauderdale if you're heading in that direction. i'm looking to leave sometime next week (11/8-11/10). 
i'm a normal friendly 26 yr old guy visiting friend [...]",2012-11-02T16:38:16-04:00,emailnotfound,FALSE,ocala,2012-11-08T16:38:16-04:00,orlando
"need a rideshare asap, due to family emergency (homosassa to st. augustine)",ocala,http://ocala.craigslist.org/rid/3377103510.html,"we're two females who need a rideshare to st. augustine from homosassa springs/crystal river area... we will pay fair gas money. we don't have much we're bringing with us, a couple backpacks, etc. 
thank you 
please e-mail or call 213-359-1459",2012-10-31T11:55:01-04:00,emailnotfound,FALSE,ocala,2012-10-31T11:55:01-04:00,family
look inexpensive travel to any city,ocala,http://ocala.craigslist.org/rid/3332970738.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak we can get you or your friends tickets from and to any city in the country. so be sure to tell family an [...]",2012-10-30T20:42:12-04:00,emailnotfound,FALSE,ocala,2012-10-33T20:42:12-04:00,any
need ride to boynton beach fl asap (from summerfield/ocala),ocala,http://ocala.craigslist.org/rid/3357187402.html,"i need a ride to boynton beach, florida [[or closeby]] from summerfield, florida [[or ocala or the villages]] as soon as possible. can contribute to cost of fuel. just one person with one bag. please call or text my cell: 352-653-five nine two three.",2012-10-22T15:02:56-04:00,emailnotfound,TRUE,ocala,2012-10-22T15:02:56-04:00,boynton
ride share after election to nyc (ocala),ocala,http://ocala.craigslist.org/rid/3356978337.html,i am heading to the northeast on or about november 7 to 9. looking for a non smoking travel mate. i have a passat wagon. ,2012-10-22T13:48:23-04:00,emailnotfound,TRUE,ocala,2012-11-07T13:48:23-04:00,nyc
need to travel to nw arkansas. i  (rogers),ocala,http://ocala.craigslist.org/rid/3332106812.html,"i am looking for a ride to nw arkansas. would like to bring my personal things (no furniture), if possible. i would like to leave by nov. 1.",2012-10-17T15:34:30-04:00,emailnotfound,TRUE,ocala,2012-11-01T15:34:30-04:00,travel
ride to work (belleview to oxford (villages)),ocala,http://ocala.craigslist.org/rid/3315747003.html,"i need a ride to and from work!!! live in downtown belleview work in oxford on 301.& 466. 6 mi. give or take sunday's 9:00 am - 4:00 pm. mon. 8:00 am - 5:00 pm. tues. 8:00am - 5:00pm 
getting there is the problem. can probably get ride home on sunday [...]",2012-10-04T11:17:47-04:00,emailnotfound,FALSE,ocala,2012-10-08T11:17:47-04:00,work
