title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
"oly, wa to san fran dead show (olympia, wa)",olympic,http://olympic.craigslist.org/rid/3415257476.html,"leaving: 
dec 28 friday 07:00 am olympia, wa 
arriving: 
bill graham civic auditorium 
san francisco, ca 
deadheads only, if your just looking for a ride dont call. $100 bucks a head or trade, one way must find way back. room for 2 and small packs. 
 [...]",2012-11-16T18:18:14-08:00,emailnotfound,TRUE,olympic,2012-12-28T18:18:14-08:00,san
need a ride to boise,olympic,http://olympic.craigslist.org/rid/3415088884.html,i am hoping to catch a ride to boise on tuesday or wednesday. happy to help with gas$$,2012-11-16T16:42:23-08:00,emailnotfound,FALSE,olympic,2012-11-20T16:42:23-08:00,boise
ride needed seattle to jefferson co. nov 22 or 23 (downtown or wherever),olympic,http://olympic.craigslist.org/rid/3411822479.html,"hello! i'm coming home to quilcene for thanksgiving. my flight arrives seatac at 8:40 pm on wednesday, which would mean i could be downtown weds night around 10 pm. alternatively, a ride somewhat early in the day on thursday (thanksgiving) would be g [...]",2012-11-15T10:30:48-08:00,emailnotfound,FALSE,olympic,2012-11-22T10:30:48-08:00,jefferson
driving to seattle and back nov. 14th (port townsend),olympic,http://olympic.craigslist.org/rid/3405571048.html,"i will be driving to seattle for my art show opening in capitol hill on wednesday, november 14th and coming back friday afternoon, november 16th. if you'd like to tag along for the ride, any gas donation would be greatly appreciated! i have room for  [...]",2012-11-12T16:41:22-08:00,emailnotfound,TRUE,olympic,2012-11-14T16:41:22-08:00,seattle
need rideshare olympia/shelton 3 evenings (olympia to shelton),olympic,http://olympic.craigslist.org/rid/3389598314.html,i need to find a rideshare or carpool from olympia transfer station or tumwater square 3 evenings a week to anywhere in shelton. it needs to leave for shelton 8-8:30pm. mon. tues. and thurs. and be reliable. this is for my medical treatment that star [...],2012-11-10T21:40:37-08:00,emailnotfound,TRUE,olympic,2012-11-12T21:40:37-08:00,shelton
seeking ride to portland plz (olympia ),olympic,http://olympic.craigslist.org/rid/3384461696.html,"seeking a ride to portland anytime from today nov 3 or tomorrow nov 4th. 
will be able to pitch in for gas. just traveling and seeking a faster ride. not a creep 
and enjoy ppl. if you can help me out that would be cool. just shoot me an e-mail ",2012-11-03T13:00:28-07:00,emailnotfound,FALSE,olympic,2012-11-03T13:00:28-07:00,portland
"ride needed, olympia to portland 11.2 (evergreen/ downtown oly)",olympic,http://olympic.craigslist.org/rid/3379784584.html,"hi! im a student at evergreen looking for a ride to pdx this friday 11.2.12. im very easy going, up for road conversation but can entertain myself also. of course, i can give some money for gas. thanks for reading!",2012-11-01T12:15:53-07:00,emailnotfound,FALSE,olympic,2012-11-05T12:15:53-07:00,portland
ride needed olympia to portland (evergreen/ downtown oly),olympic,http://olympic.craigslist.org/rid/3379734127.html,"hi! im in search of a someone to ride w down to pdx w this friday. i am a kool kollege kid, non-creepy i swear, just trying to visit my best friend from back home. 
by the way, i have a scruffy beard- so you make the call. ",2012-11-01T11:56:08-07:00,emailnotfound,FALSE,olympic,2012-11-02T11:56:08-07:00,portland
needed olympia to portland (olympia),olympic,http://olympic.craigslist.org/rid/3373883424.html,hey! i am trying to get down to portland from olympia in the next few days. 10/31-11/2. if you have space please let me know. i also have a small dog with me. he is very good in car rides. i don't really have cash to pitch in for gas but i can bring  [...],2012-10-29T18:44:46-07:00,emailnotfound,FALSE,olympic,2012-10-31T18:44:46-07:00,portland
bremerton area (tacoma/olympia) to portland or 10/29 (bremerton),olympic,http://olympic.craigslist.org/rid/3354741057.html,i'm heading to portland on monday around 1 or 2 pm. help with gas and there's plenty of room for you in the accord. no smokers or pets please. just looking for someone to help with gas money. ,2012-10-28T16:39:30-07:00,emailnotfound,TRUE,olympic,2012-10-29T16:39:30-07:00,portland
ride needed - port angeles to portland! 11/2 or 11/3 (pa - pdx),olympic,http://olympic.craigslist.org/rid/3364222071.html,"hello! 
i'm a young dude looking for a lift down to portland on the second or third of november. i'll be catching the ferry from victoria, bc to port angeles on the second and would like to get to portland by the third. i can stay overnight in pa if  [...]",2012-10-25T10:17:24-07:00,emailnotfound,FALSE,olympic,2012-11-02T10:17:24-07:00,portland
rideshare needed: olympia to seatac friday 26th (olympia),olympic,http://olympic.craigslist.org/rid/3357893267.html,need a ride to seatac friday late morning/early afternoon. will share gas expense. ,2012-10-22T16:44:39-07:00,emailnotfound,TRUE,olympic,2012-10-26T16:44:39-07:00,seatac
needed: olympia to portland today ( mon 22) (olympia ( downtown )),olympic,http://olympic.craigslist.org/rid/3357462205.html,"hey ridesharers, two clean, considerate, friendly travellers seek ride to portland today ( mon 22 ). willing & able to share gas & driving. if you have room, please call or txt seven-75-815-8379 
thanks, 
tim & maria",2012-10-22T13:43:46-07:00,emailnotfound,FALSE,olympic,2012-10-22T13:43:46-07:00,portland
ride needed: port townsend to minnesota (port townsend),olympic,http://olympic.craigslist.org/rid/3355576278.html,a friend and i are looking to get a ride to minnesota asap. we are two 25 year old males and are able to pitch on gas and food. thanks!,2012-10-21T18:07:58-07:00,emailnotfound,FALSE,olympic,2012-10-21T18:07:58-07:00,minnesota
ride needed to oly/portland (port townsend to oly/portland),olympic,http://olympic.craigslist.org/rid/3347933853.html,"looking for a ride sunday or monday from port townsend to oly/portland. would like to stop in oly to pick up my bike, so if you have a truck/bike rack, that is ideal, but if not please contact me anyway! 
happy to help out with gas. 
thanks!",2012-10-18T10:38:36-07:00,emailnotfound,FALSE,olympic,2012-10-22T10:38:36-07:00,oly/portland
wanted: ride from port ang area to pdx/eugene,olympic,http://olympic.craigslist.org/rid/3341027932.html,"hello! 
two lovely folks looking for a ride tomorrow (tuesday) to portland or eugene from port ang. 
good company, can chip a little for gass. 
-fraea",2012-10-15T12:54:26-07:00,emailnotfound,TRUE,olympic,2012-10-15T12:54:26-07:00,pdx/eugene
"port townsend to olympia, portland, bend...",olympic,http://olympic.craigslist.org/rid/3334534023.html,"i am leaving the morning of monday, october 22th from port towsend and will be headed to bend, oregon. there will be the potential to stop in a number of places including portland, vancouver, centraillia, and olympia. gas $ pleeeeeease. call hailee a [...]",2012-10-12T12:49:30-07:00,emailnotfound,TRUE,olympic,2012-10-22T12:49:30-07:00,olympia
need a ride to seatac airport (brinnon wa.),olympic,http://olympic.craigslist.org/rid/3327203899.html,"i need a ride to seatac airport sat the 13th, i have to be there by noon, dont have much to carry, just a couple carry ons. been tryin to get home for a month now and finally got my ticket now i need to get to the airport please, will be able to give [...]",2012-10-09T10:24:18-07:00,emailnotfound,FALSE,olympic,2012-10-13T10:24:18-07:00,seatac
ride offered: port townsend to portland,olympic,http://olympic.craigslist.org/rid/3324513538.html,i am driving from pt to pdx on thursday morning (10/11). i am leaving at about 6 am and could pick you up at or near the qfc. i am headed to ne portland and would be happy to let you off there. i have room for two people and two bicycles. a little ga [...],2012-10-08T08:45:42-07:00,emailnotfound,TRUE,olympic,2012-10-11T08:45:42-07:00,portland
"ride offer:  olympia to portland, tues a.m. 10/9 (olympia)",olympic,http://olympic.craigslist.org/rid/3315644527.html,"i'm driving from olympia to portland, or on tuesday morning, october 9th. i have room for one passenger and luggage in the back of my small truck canopy. i ask for a $14.00 gas share contribution. i'm reliable, a good conversalist, nice, and sane. al [...]",2012-10-04T07:34:48-07:00,emailnotfound,TRUE,olympic,2012-10-09T07:34:48-07:00,portland
need ride from seattle to port townsend for the rmc oct 18 (seattle to port townsend),olympic,http://olympic.craigslist.org/rid/3254320054.html,"hello all! 
my boyfriend and i are coming to washington for the second annual radical mycology convergence, which is being held in the beautiful port townsend this year =). we are flying in to the seattle-tacoma intl airport on october 18th and will  [...]",2012-10-02T18:51:07-07:00,emailnotfound,FALSE,olympic,2012-10-18T18:51:07-07:00,port
