title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
rideshare from phx-skyharbor to sedona/voc (sky harbor),phoenix,http://phoenix.craigslist.org/nph/rid/3380904898.html,"hi im shaun, i will be in phoenix on december 3rd, looking for a ride to the village of oak creek, verde valley rd. i can pay up to $30 or a small tattoo. here is a link to my portfolio&gt; http://www.facebook.com/dawgzhaustattooz 
if you're interest [...]",2012-11-18T01:24:36-07:00,emailnotfound,TRUE,phoenix,2012-12-03T01:24:36-07:00,sedona/voc
need a ride to arizona (from n. dakota),phoenix,http://phoenix.craigslist.org/nph/rid/3417704451.html,"looking to leave north dakota (jamestown, but i can get to you....) this week...preferably asap. will share gas costs. just me and my clothes need to get home stat...need a ride to arizona or as close to there as you are going???",2012-11-17T22:15:27-07:00,emailnotfound,FALSE,phoenix,2012-11-17T22:15:27-07:00,arizona
need ride phx to flagstaff sun 11/18 (gilbert to flag),phoenix,http://phoenix.craigslist.org/evl/rid/3417619649.html,"need ride on sunday 11/18 from gilbert area to the sedona exit off of i-17. my destination is about 10 minutes north on the 179 freeway, but if you can't do that, my friend can pick me up at the i-17/179 junction. thanks. 
can help with gas $, drivin [...]",2012-11-17T20:58:30-07:00,emailnotfound,TRUE,phoenix,2012-11-18T20:58:30-07:00,flagstaff
arizona to new york (az- nyc),phoenix,http://phoenix.craigslist.org/cph/rid/3417576193.html,"driving to ny from az for thanksgiving. then to new hampshire on friday 23rd. 
leaving on monday most likely, not trying to do very long days in the car. 
looking for rider to help with gas cost and maybe some driving (5 spd) 
will be passing through [...]",2012-11-17T20:23:51-07:00,emailnotfound,TRUE,phoenix,2012-11-19T20:23:51-07:00,new
ride offered - phx to la (mesa/gilbert),phoenix,http://phoenix.craigslist.org/evl/rid/3417534164.html,"i am travelling to la on wednesday nov 21st around 3-5 in the afternoon and looking for good company. available 3 seats - one way. $30 per person. interested call/text 928 seven zero one 8727 
gokul",2012-11-17T19:52:39-07:00,emailnotfound,TRUE,phoenix,2012-11-21T19:52:39-07:00,la
looking to go to la wednesday (downtown phx),phoenix,http://phoenix.craigslist.org/cph/rid/3417044994.html,"hey! i'm trying to get back to la for thanksgiving! happy to pitch in! im otis. website is otisfunkmeyer.com to see who i be. 
thx!!! text me 8183693303 if ur going!",2012-11-17T15:13:38-07:00,emailnotfound,FALSE,phoenix,2012-11-21T15:13:38-07:00,go
phoenix to maricopa tuesday afternoon (44th &amp; washington (light rail area)),phoenix,http://phoenix.craigslist.org/cph/rid/3416936453.html,"i would like to get down to maricopa, az on this coming tuesday (20th) in the mid to late afternoon. anyone out there could use a few dollars for gas?",2012-11-17T14:23:49-07:00,emailnotfound,TRUE,phoenix,2012-11-20T14:23:49-07:00,maricopa
ride offer: phoenix to la (phoenix to la),phoenix,http://phoenix.craigslist.org/cph/rid/3416632242.html,"heading out from phoenix to la. planning to leave early tuesday morning, wanting to stop at the joshua tree national park to see the sights but going to be in la by the evening. there is an extra seat and we are looking for someone to fill it. 
gas m [...]",2012-11-17T12:17:53-07:00,emailnotfound,TRUE,phoenix,2012-11-20T12:17:53-07:00,la
ride needed to show low (phx - show low),phoenix,http://phoenix.craigslist.org/cph/rid/3411204476.html,"i need a ride from phoenix airport to show low on november 19th. i arrive at about 10:30 am, so anytime after 11 am would work. 
if you are available, it will be just 1 adult with a couple bags. 
you can phone or txt me at 407-982- 91 three three. 
t [...]",2012-11-17T10:44:15-07:00,emailnotfound,FALSE,phoenix,2012-11-19T10:44:15-07:00,show
phoenix to l a  (leaving early sun),phoenix,http://phoenix.craigslist.org/wvl/rid/3416346536.html,leaving late sat. or early sun. for l a area 6+ hour trip. $30. for gas. text me @ 310-347-1280 thanks......kelly,2012-11-17T10:28:24-07:00,emailnotfound,TRUE,phoenix,2012-11-17T10:28:24-07:00,l
