title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need driver to ny from ri (coventry to ny),providence,http://providence.craigslist.org/rid/3413926484.html,we are going to ny on noveber 28th-30th. rented a 15 passenger van and need a driver. your hotel will be paid for and we can negotiate pay for your time. we will also pay for all of your meals needed for the 3 days. you can choose to help us with the [...],2012-11-16T11:51:11-05:00,emailnotfound,FALSE,providence,2012-11-28T11:51:11-05:00,ny
carpool to providence or so. attleboro train station,providence,http://providence.craigslist.org/rid/3413808667.html,need ride to either south attleboro or providence train station monday through friday from johnston. must be to train station by 7 am.,2012-11-16T11:06:49-05:00,emailnotfound,TRUE,providence,2012-11-19T11:06:49-05:00,providence
offering thanksgiving ride: pvd to rochester ny,providence,http://providence.craigslist.org/rid/3413655138.html,"i'll be driving from providence to rochester ny and back, probably wednesday-sunday around thanksgiving. let me know if you want a ride. ",2012-11-16T10:01:21-05:00,emailnotfound,FALSE,providence,2012-11-21T10:01:21-05:00,rochester
ride offered - providence to manchester on thu 11/22 (providence),providence,http://providence.craigslist.org/rid/3409457726.html,"i'm offering a ride from providence to manchester. 
leaving november 22nd returning november 24th. i will have my two greyhounds with me. they are friendly, but will be occupying the back seat, so i can only have one additional passenger. i am a laid [...]",2012-11-14T13:17:41-05:00,emailnotfound,TRUE,providence,2012-11-22T13:17:41-05:00,manchester
ride offer - pvd to nyc 11/21 (pvd - ny),providence,http://providence.craigslist.org/rid/3405823454.html,"i'll be driving down to nyc wednesday, 11/21 (the day before thanksgiving) and i have room for a 1 or 2 people and some luggage (would also consider 1 person and a pet or just 1 person). looking to split gas and tolls (usually comes to about $20 per  [...]",2012-11-12T21:58:23-05:00,emailnotfound,TRUE,providence,2012-11-21T21:58:23-05:00,nyc
ri to swf 11/21 back 11/25-6 (s ri),providence,http://providence.craigslist.org/rid/3401874901.html,looking for one driver to share expenses. 30mpg,2012-11-11T09:34:44-05:00,emailnotfound,TRUE,providence,2012-11-21T09:34:44-05:00,swf
ride offered jfk airport  to rhode island nov 18 after 7 pm (cranston),providence,http://providence.craigslist.org/rid/3354401920.html,"i will be driving from jfk airport to cranston ri on nov 18 . can accommodate 2 people at $25 per person and can drop anywhere in rhode island. i will do all the driving , you don't have to worry about driving. i cannot start before 7pm but can start [...]",2012-11-10T13:21:10-05:00,emailnotfound,TRUE,providence,2012-11-18T13:21:10-05:00,rhode
do you need a ride to the pools in johnston (johnston),providence,http://providence.craigslist.org/rid/3389072343.html,"i am willing to give you a ride to the polls tomorrow, round trip in the johnston area. some people just don't have a ride. call me and get a time to go , convenient for you . i am a female with insurance and reliable. lets get our president into off [...]",2012-11-05T17:00:17-05:00,emailnotfound,TRUE,providence,2012-11-05T17:00:17-05:00,the
seeking a ride to boston today or tomorrow (providence),providence,http://providence.craigslist.org/rid/3381887408.html,"hello there, 
i'm a 23 year old boy trying to get home to boston today or tomorrow, just a very small backpack and me and that's it. i can't offer money for gas, but i'd gladly get us some food since i'm getting food stamps right now. 
ok well! send  [...]",2012-11-02T13:54:40-04:00,emailnotfound,FALSE,providence,2012-11-02T13:54:40-04:00,boston
discount  rate on travel to any city,providence,http://providence.craigslist.org/rid/3332967933.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak we can get you or your friends tickets from and to any city in the country. so be sure to tell family an [...]",2012-10-30T20:41:13-04:00,emailnotfound,FALSE,providence,2012-10-33T20:41:13-04:00,any
october 11  prov to jfk (need ride),providence,http://providence.craigslist.org/rid/3315887536.html,"need to be at jfk by 2 pm october 11th. 
can share driving and expenses. ",2012-10-28T07:14:34-04:00,emailnotfound,TRUE,providence,2012-10-11T07:14:34-04:00,jfk
"rhode island to manhattan (newport, ri)",providence,http://providence.craigslist.org/rid/3366173692.html,"i'm taking an impromptu trip to new york tonight. leaving from newport, ri around 6:30 pm to arrive in the city for 9:30/10:00 ish. 
if you are located in or can get yourself to newport, jamestown, or someplace in south county relatively on the way s [...]",2012-10-26T11:04:23-04:00,emailnotfound,TRUE,providence,2012-30-10T11:04:23-04:00,manhattan
driving from newport to nyc/southern westchester (bronxville/nyc),providence,http://providence.craigslist.org/rid/3365616994.html,"i am driving from newport to southern westchester county near the bronx on friday, nov. 2. i have extra room in my car if you would like a ride. email me if interested. thanks!",2012-10-26T00:57:37-04:00,emailnotfound,TRUE,providence,2012-11-02T00:57:37-04:00,nyc/southern
offering ride ri to albany ny  nov 2 ,providence,http://providence.craigslist.org/rid/3360705046.html,"hello, heading to albany ny from ri on nov 2. open to offering ride to nice person in need on nov 2",2012-10-23T22:46:31-04:00,emailnotfound,TRUE,providence,2012-11-02T22:46:31-04:00,albany
need ride to sterling va/washington dc area (pawcatuck ct),providence,http://providence.craigslist.org/rid/3355117477.html,i need a ride to sterling va or washington dc area this week 10/23 to 10/28. very flexible on the leaving time. thanks joe calls only 401-932-3830. no scams please!,2012-10-21T17:06:41-04:00,emailnotfound,TRUE,providence,2012-10-23T17:06:41-04:00,sterling
ride offered cranston ri to jfk  airport 12 dec morning or afternoon (cranston),providence,http://providence.craigslist.org/rid/3354415899.html,"i will be driving from cranston ri to jfk airport on dec 12 . can accommodate 2 people at $25 per person and can pick up from anywhere in rhode island.i will do all the driving , you don't have to worry about driving. i cannot start after 12pm but ca [...]",2012-10-21T11:44:35-04:00,emailnotfound,TRUE,providence,2012-12-12T11:44:35-04:00,jfk
providence to northern me (providence to bangor),providence,http://providence.craigslist.org/rid/3353996512.html,"have room for couple people plus baggage. $50 gas, females can ride for free.....lol 420 friendly, and have a place to crash if it to late. leaving 7-9 tonight 10/21/2012 maybe your a female that just wants to get away for a couple days...",2012-10-21T05:33:30-04:00,emailnotfound,TRUE,providence,2012-10-21T05:33:30-04:00,northern
ride offered - providence to burlington on sun 10/21 (providence),providence,http://providence.craigslist.org/rid/3351304874.html,"i'm offering a ride from providence to burlington. 
leaving october 21st returning october 22nd. i'm a student in providence right now, though i'm originally from miami. that's pretty much it. contact me on zimride: http://www.zimride.com/ride/share? [...]",2012-10-19T20:48:06-04:00,emailnotfound,TRUE,providence,2012-10-21T20:48:06-04:00,burlington
ri to miami saturday,providence,http://providence.craigslist.org/rid/3349259058.html,"looking to split gas/tolls. i get 30mpg. i'm pretty laid back. send me an email. let me know about yourself. 
luvin u",2012-10-19T00:13:21-04:00,emailnotfound,FALSE,providence,2012-10-20T00:13:21-04:00,miami
anyone going to foxwoods on sunday (prov to foxwoods),providence,http://providence.craigslist.org/rid/3348211186.html,i'd like to catch a ride to and from foxwoods on sunday. i'm also willing to contribute to gas $$. let me know what time your leaving from providence. thanks,2012-10-18T15:18:37-04:00,emailnotfound,FALSE,providence,2012-10-21T15:18:37-04:00,foxwoods
needed: to boston tuesday (providence),providence,http://providence.craigslist.org/rid/3333089063.html,"hi! i'm looking for a ride to boston (and/or back) this tuesday. i make pretty good company, and can chip in a couple bucks for gas too. i also will be going up to boston every tuesday for the next few weeks, so any week you head up there could be he [...]",2012-10-11T23:31:45-04:00,emailnotfound,FALSE,providence,2012-10-16T23:31:45-04:00,boston
pvd to nyc november 21 (penn  sta),providence,http://providence.craigslist.org/rid/3326757815.html,"i am looking for a ride to downtown, nyc on wednesday november 21st the day before thanksgiving day. i need to arrive by 2pm near penn station. have ezpass and will share gas expenses. i am a non-smoker, male (63), meeting family for macy's parade et [...]",2012-10-09T10:38:14-04:00,emailnotfound,FALSE,providence,2012-11-21T10:38:14-04:00,nyc
"new england to montreal, 10/18 or 19 to 10/22 (providence)",providence,http://providence.craigslist.org/rid/3324747964.html,"i'm driving up to montreal next week, starting in providence. i want to leave either the evening of thursday, october 18 or early morning the following day, friday. i can fit 4 people besides myself in the car, which is a 2008 toyota yaris, fully ins [...]",2012-10-08T13:07:44-04:00,emailnotfound,TRUE,providence,2012-10-18T13:07:44-04:00,montreal
"ride today from newport, providence to nyc",providence,http://providence.craigslist.org/rid/3317911531.html,"hey all, i'm a late 20s male who needs a ride from either providence or newport to nyc, this afternoon or this evening. will share gas expense. let me know if youre heading that way, thanks!",2012-10-05T10:06:59-04:00,emailnotfound,FALSE,providence,2012-10-05T10:06:59-04:00,nyc
ri to fla (newport ),providence,http://providence.craigslist.org/rid/3314884888.html,i'm hoping to find a ride to florida from rhode island asap. i can provide company and some gas $. i need to go back home to family please call dan 954.464.4432,2012-10-03T21:41:31-04:00,emailnotfound,FALSE,providence,2012-10-03T21:41:31-04:00,fla
