title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
need ride to work to rockledge (wuesthoff hospital),spacecoast,http://spacecoast.craigslist.org/rid/3415430614.html,need ride to work through christmas break from sat.bch to wuesthoff hospital mon - fri hours worked 8am to 4:30pm.,2012-11-16T23:21:09-05:00,emailnotfound,TRUE,spacecoast,2012-11-19T23:21:09-05:00,work
driving to atlanta for thanksgiving (melb to ga),spacecoast,http://spacecoast.craigslist.org/rid/3404432206.html,"driving to atlanta. i can either leave any time wed evening the 21st, thur morning the 22nd or fri morning the 23rd. 
i will be coming back to florida on sun the 25th. 
anyone need a ride, just let me know. i can pick you up and drop youoff anywhere  [...]",2012-11-15T18:47:23-05:00,emailnotfound,TRUE,spacecoast,2012-11-22T18:47:23-05:00,atlanta
room for one and some bags south on i-95 tonight after 7pm  (inb/sat.beach / melb to boca raton  ),spacecoast,http://spacecoast.craigslist.org/rid/3411379591.html,call shawn at 209518-9977 for more info ... thanks for your time ,2012-11-15T10:40:57-05:00,emailnotfound,TRUE,spacecoast,2012-11-17T10:40:57-05:00,boca
heading south thurs.morning* (*n.melbourne to ft.lauderdale*),spacecoast,http://spacecoast.craigslist.org/rid/3407522002.html,"avail.,need heads up.room for 2.carlo at 321-987-9847.$100 gets you there.can't beat it.thanks.",2012-11-13T16:09:02-05:00,emailnotfound,TRUE,spacecoast,2012-11-15T16:09:02-05:00,ft.lauderdale*
need a ride from my home to bus stop (indian harbour beach),spacecoast,http://spacecoast.craigslist.org/rid/3407483511.html,need ride monday-friday to drop off and pick up from my home to bus stop. and bus stop to my home.,2012-11-13T15:54:19-05:00,emailnotfound,TRUE,spacecoast,2012-11-19T15:54:19-05:00,bus
room for one and some bags to the airport 11/13 on the road by noon  (ihb/sat beach/melb. to orlando airport),spacecoast,http://spacecoast.craigslist.org/rid/3404364655.html,call shawn at 209-518-9977 u can call till 1:am,2012-11-12T12:07:04-05:00,emailnotfound,TRUE,spacecoast,2012-11-13T12:07:04-05:00,the
heading to ft.lauderdale thurs/fair-price* (*n.melbourne/nearby city's*),spacecoast,http://spacecoast.craigslist.org/rid/3404249597.html,carlo at 321-987-9847.have room for 2.thanks.,2012-11-12T11:26:59-05:00,emailnotfound,TRUE,spacecoast,2012-11-15T11:26:59-05:00,ft.lauderdale
carpool to denver (leaving tuesday) (merrit island),spacecoast,http://spacecoast.craigslist.org/rid/3403459334.html,"anyone interested in carpooling to denver? i'm looking for someone that wants to take turns driving 
and split the gas on a 2012 civic sedan, so it will be cheap gas! 
i'm 25... easy going... free spirited... a conversationalist with a good story as  [...]",2012-11-11T23:29:55-05:00,emailnotfound,TRUE,spacecoast,2012-11-13T23:29:55-05:00,denver
carpool from palm bay to ksc slf  (grant),spacecoast,http://spacecoast.craigslist.org/rid/3400684039.html,"i'm looking to find possibly one, two or three people that may interested in carpooling from the palm bay area to ksc. i work at the slf area, located just a few minutes north of the vab. i work a 7:00 a.m. - 3:30 p.m., monday thru friday work schedu [...]",2012-11-10T16:11:57-05:00,emailnotfound,TRUE,spacecoast,2012-11-12T16:11:57-05:00,ksc
step father very sick & i need ride to ohio to be with him. (titusville to canton ohio),spacecoast,http://spacecoast.craigslist.org/rid/3385145395.html,my step father is very sick and i am in need of aride from titusville fl to caton ohio. i am 28 and i am very polite and easy to get along with. i don't have much money but i can come up with some gas money. if you can help please email me. i need to [...],2012-11-03T22:08:35-04:00,emailnotfound,FALSE,spacecoast,2012-11-05T22:08:35-04:00,ohio
