title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
rides to casino from east syracuse area only,syracuse,http://syracuse.craigslist.org/rid/3416260685.html,"rides to casino 
weekdays after 3 till 10 /saturdays all day/sundays closed til february 
east syracuse or dewitt to casino $60 (one way) 
for both ways ($100) - 3 hour maximum $10 every hour after (max. total of 5) 
please call 315 741 8521 (don't t [...]",2012-11-17T11:55:06-05:00,emailnotfound,TRUE,syracuse,2012-11-17T11:55:06-05:00,casino
need a ride - syracuse to greece/rochester - sat. 11/24 (syracuse),syracuse,http://syracuse.craigslist.org/rid/3411373372.html,"i'm a student and i need a ride from syracuse to greece/rochester on saturday, november 24. 
i could also do with a return ride on sunday, november 25 if possible :) 
i can pay, etc. if you want to know more about me (whether i'm human, if i'm safe,  [...]",2012-11-15T10:38:12-05:00,emailnotfound,FALSE,syracuse,2012-11-24T10:38:12-05:00,greece/rochester
rideshare: syracuse to maine or maine to syracuse (syracuse),syracuse,http://syracuse.craigslist.org/rid/3409973875.html,"i am a technical professional working in the rochester, ny area but live in the portland, maine area. 
on wednesday, 11/21 i will be driving from rochester, ny to maine, leaving very early in the afternoon. i will be returning from maine to rochester [...]",2012-11-14T16:30:16-05:00,emailnotfound,TRUE,syracuse,2012-11-21T16:30:16-05:00,maine
cny to n.c. and back turkey week (sterling ny),syracuse,http://syracuse.craigslist.org/rid/3408845161.html,headed down to corolla nc for a week starting 11/17 returning 11/24. just looking for help with gas. extra seat and luggage room available. give us a call with questions 315 515 8749 - keith,2012-11-14T09:06:40-05:00,emailnotfound,TRUE,syracuse,2012-11-17T09:06:40-05:00,n.c.
need ride to az (syracuse),syracuse,http://syracuse.craigslist.org/rid/3384913084.html,sometime towards end of month..ty,2012-11-12T17:59:05-05:00,emailnotfound,TRUE,syracuse,2012-11-12T17:59:05-05:00,az
week day carpool opportunity (pulaski to e. syracuse),syracuse,http://syracuse.craigslist.org/rid/3400083004.html,"professional with monday - friday, 8-5 work week, traveling from pulaski to east syracuse looking for same to carpool. you can pay me & i'll drive my vehicle or i'll pay you and ride in yours. either way - i'm just looking to cut down on gas costs. 
 [...]",2012-11-10T12:09:40-05:00,emailnotfound,FALSE,syracuse,2012-11-12T12:09:40-05:00,e.
syracuse to ithaca(cornell) 11/16,syracuse,http://syracuse.craigslist.org/rid/3392476974.html,"i am looking for a ride to cornell, but anywhere around cornell will do. i can leave anytime after 5:30pm and can contribute gas money. ",2012-11-07T07:54:21-05:00,emailnotfound,FALSE,syracuse,2012-11-16T07:54:21-05:00,ithaca
ride to dc,syracuse,http://syracuse.craigslist.org/rid/3386664088.html,"ride offered to dc on nov. 8th. large van. room for a few plus luggage. 
call 617-899-0407 ",2012-11-04T16:44:07-05:00,emailnotfound,TRUE,syracuse,2012-11-08T16:44:07-05:00,dc
ride needed to ithaca sat 11/3 (syracuse to ithaca),syracuse,http://syracuse.craigslist.org/rid/3381543121.html,"college student looking for a ride to ithaca tomorrow anytime during the day (but the earlier, the better!). of course willing to contribute for gas!",2012-11-02T11:46:49-04:00,emailnotfound,FALSE,syracuse,2012-11-03T11:46:49-04:00,ithaca
ride needed: syracuse to ithaca 11/2 (syr to ith),syracuse,http://syracuse.craigslist.org/rid/3377429018.html,"hi! i'm in need of a ride from syracuse to ithaca (cornell) on friday, november 2. i'm taking a test during the day; i'm looking for a ride anytime after 7-7:30 pm. i'm happy to contribute for gas! ",2012-10-31T14:00:44-04:00,emailnotfound,FALSE,syracuse,2012-11-02T14:00:44-04:00,ithaca
ride to dc (syracuse to dc),syracuse,http://syracuse.craigslist.org/rid/3374911824.html,"driving down to d.c tomorrow, send me an email if you are interested in joining. $ 50 per person. flexible in terms of leaving time, but i will aim to leave around 8 am. 
thank you. ",2012-10-30T12:40:47-04:00,emailnotfound,TRUE,syracuse,2012-10-30T12:40:47-04:00,dc
"need ride to wilmington, nc thanksgiving weekend",syracuse,http://syracuse.craigslist.org/rid/3374779593.html,"looking for a ride to wilmington, nc on the saturday/sunday following thanksgiving. 1 person, 1 dog and a few pieces of luggage, bicycle and small hope chest. will pay for rental vehicle (standard suv is what i'm thinking), gas and food along the way [...]",2012-10-30T11:49:51-04:00,emailnotfound,TRUE,syracuse,2012-10-34T11:49:51-04:00,wilmington
ride needed: syracuse to ithaca 11/2 (syr to ith),syracuse,http://syracuse.craigslist.org/rid/3373638609.html,"hi! i'm in need of a ride from syracuse to ithaca (cornell) on friday, november 2. i'm taking a test during the day; i'm looking for a ride anytime after 7-7:30 pm. i'm happy to contribute for gas! ",2012-10-29T19:26:47-04:00,emailnotfound,FALSE,syracuse,2012-11-02T19:26:47-04:00,ithaca
"syracuse to binghamton 10/25 (ride offered) (syracuse, ny)",syracuse,http://syracuse.craigslist.org/rid/3362449389.html,"university student traveling to binghamton tomorrow afternoon. so long as you've got 10 bucks (or near it) for gas, we should be good to go. i can pick you up at any reasonable location in the syracuse area. thanks",2012-10-24T17:03:30-04:00,emailnotfound,TRUE,syracuse,2012-10-25T17:03:30-04:00,binghamton
ride needed: syracuse to ithaca 11/2 (syr to ith),syracuse,http://syracuse.craigslist.org/rid/3359683329.html,"hi! i'm in need of a ride from syracuse to ithaca (cornell) on friday, november 2. i'm taking a test during the day; i'm looking for a ride anytime after 7-7:30 pm. i'm happy to contribute for gas! ",2012-10-23T15:05:00-04:00,emailnotfound,FALSE,syracuse,2012-11-02T15:05:00-04:00,ithaca
"from syracuse,ny  to florida (syracuse,ny to florida)",syracuse,http://syracuse.craigslist.org/rid/3356478983.html,"i have a vehicle- leaving syracuse/central ny around nov 1st/2nd 
anyone who is looking for transportationto florida from syracuse/cny please contact me, and we can meet and discuss specifics and arrangements. 
3 things- 
1. i have a vehicle and i am [...]",2012-10-22T10:52:05-04:00,emailnotfound,TRUE,syracuse,2012-11-01T10:52:05-04:00,florida
ride offer to dc (syr),syracuse,http://syracuse.craigslist.org/rid/3354082690.html,"thursday, friday, or sat going to dc. jim 301 706 6474",2012-10-21T08:04:43-04:00,emailnotfound,TRUE,syracuse,2012-10-25T08:04:43-04:00,dc
headin to nyc this fri,syracuse,http://syracuse.craigslist.org/rid/3348252090.html,"aloha, 
me and my 2002 toyota camry will be driving to new york city this friday and returning on sunday at some point. if you would like a ride to manhattan or anywhere in between, let me know and please be willing to pay $25 for gas and tolls. also [...]",2012-10-18T15:34:08-04:00,emailnotfound,FALSE,syracuse,2012-10-19T15:34:08-04:00,nyc
needed:syracuse to nh. (granby),syracuse,http://syracuse.craigslist.org/rid/3344269184.html,"looking to save some money on the trip from here to new hampshire. i can work with who ever on where i get dropped off. 
any time within the week. 23yr old funny non smoker. let me know if your're going that way. 
six oh three nine two three nine fou [...]",2012-10-16T21:39:36-04:00,emailnotfound,FALSE,syracuse,2012-10-22T21:39:36-04:00,nh.
ride needed: syracuse to ithaca 11/2,syracuse,http://syracuse.craigslist.org/rid/3342116350.html,"hi! i'm in need of a ride from syracuse to ithaca (cornell) on friday, november 2. i'm taking a test during the day; i'm looking for a ride anytime after 7-7:30 pm. i'm happy to contribute for gas! ",2012-10-16T01:36:16-04:00,emailnotfound,FALSE,syracuse,2012-11-02T01:36:16-04:00,ithaca
