title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
going up to vegas! (nw tucson),tucson,http://tucson.craigslist.org/rid/3417756553.html,"have some family up in vegas and am leaving on tuesday 11/20 to be with them for thanksgiving. will be coming back to tucson on tuesday 11/27. i do smoke but i have a reliable car, if anyone needs a ride that way at that time let me know.",2012-11-17T23:12:48-07:00,emailnotfound,FALSE,tucson,2012-11-20T23:12:48-07:00,vegas
ride needed from scottsdale or phoenix to tucson - nov 25th ,tucson,http://tucson.craigslist.org/rid/3415663143.html,i'll be spending thanksgiving in scottsdale and i need a ride to go back home in tucson. ride can be from scottsdale or phoenix as early as possible that sunday.,2012-11-17T01:54:28-07:00,emailnotfound,FALSE,tucson,2012-11-25T01:54:28-07:00,tucson
i need to get home and i'm broke! (golflinks to broadway),tucson,http://tucson.craigslist.org/rid/3415095356.html,"my friend ended up not being able to take me home tonight since her car broke down now i'm trying to find a way home. 
you can text or call christin at 520 247 9009 
if you can help me out, that would be great. thanks!",2012-11-16T17:45:54-07:00,emailnotfound,FALSE,tucson,2012-11-16T17:45:54-07:00,get
tucson(arizona) to anaheim hills(cali) (10 interstate),tucson,http://tucson.craigslist.org/rid/3414927006.html,"i'm driving from houston texas to anaheim hills cali. i'm using the 10 interstate the whole way. i'll be leaving sometime saturday 11-17-2012. 
texas cities passing through. 
houston(main city), sugar land, seguin, san antonio(main city), boeme, comf [...]",2012-11-16T16:21:30-07:00,emailnotfound,TRUE,tucson,2012-11-17T16:21:30-07:00,anaheim
driving to phoenix today (tucson mall),tucson,http://tucson.craigslist.org/rid/3414251116.html,i am driving up to phoenix today around 3 and willing to rideshare. email me if your interested.,2012-11-16T11:48:57-07:00,emailnotfound,TRUE,tucson,2012-11-16T11:48:57-07:00,phoenix
ride offer from tucson to utah. (tucson-phoenix-flagstaff-kanab-orem.),tucson,http://tucson.craigslist.org/rid/3414095956.html,"leaving on sunday morning like at 10, trying to be back in utah by night. have room for 2 or 3 others. i drive a highlander hybrid. looking for someone willing to share gas. email me before saturday evening.",2012-11-16T10:52:49-07:00,emailnotfound,TRUE,tucson,2012-11-17T10:52:49-07:00,utah.
ride to phoenix next wed (tucson/arivaca),tucson,http://tucson.craigslist.org/rid/3410926738.html,"leaving arivaca next wed afternoon. can meet in on west side near i10 in tucson. can drop near 10 in chandler, tempe and phoenix. 
will be returning thur evening. chill guy with chill dog.",2012-11-15T00:21:00-07:00,emailnotfound,TRUE,tucson,2012-11-21T00:21:00-07:00,phoenix
"tucson to phoenix, rideshare, monday through friday (tucson-phoenix)",tucson,http://tucson.craigslist.org/rid/3349311731.html,"ride-shares from tucson to phoenix. 
if you need to go from tucson to phoenix, i am driving business related twice a
day (monday-friday) between these cities, and can provide an affordable rideshare. my
vehicle is safe (so am i), very comfortable and [...]",2012-11-14T23:55:42-07:00,emailnotfound,TRUE,tucson,2012-11-19T23:55:42-07:00,phoenix
ride offered: tucson to albuquerque or las cruces,tucson,http://tucson.craigslist.org/rid/3409631681.html,"i'll be going from tucson to albuquerque on either tuesday or wednesday the 20th or 21st (i don't really care which day), pitch for gas, trade for weed, or gas jug to come with",2012-11-14T12:20:50-07:00,emailnotfound,TRUE,tucson,2012-11-20T12:20:50-07:00,albuquerque
need a ride to flagstaff (to flagstaff),tucson,http://tucson.craigslist.org/rid/3408346829.html,"hello, 
i am a 22 year old non smoker looking for a ride from phoenix to flagstaff. i can pay gas money. if you want to pick me up on your way up north, text me at 928-310-6836. or email. 
:)",2012-11-13T20:51:17-07:00,emailnotfound,FALSE,tucson,2012-11-19T20:51:17-07:00,flagstaff
need ride to durango mid nov.,tucson,http://tucson.craigslist.org/rid/3365592674.html,"howdy, 
i am looking for a ride from tucson to durango sometime between november 14th and november 19th. i have one backpack, a bit of gas $, some stories, and am a safe driver if you want help driving. i am a 34 year old male working for various out [...]",2012-11-12T19:42:49-07:00,emailnotfound,FALSE,tucson,2012-11-14T19:42:49-07:00,durango
ride offered: tucson to san diego: wed nov 14,tucson,http://tucson.craigslist.org/rid/3405267404.html,"hi, 
i'm an easy going, male, surfer, engineer. 30 yrs old. i have a nice vw passat. 
this wed, i'm leaving from intersection of e glen st and and n country club rd in tucson. i'm ending in pacific beach. i'm flexible on the time i leave. 
i'm willin [...]",2012-11-12T15:26:16-07:00,emailnotfound,TRUE,tucson,2012-11-14T15:26:16-07:00,san
seeking ride to albuquerque 4 thanksgiving (tucson-abq),tucson,http://tucson.craigslist.org/rid/3404800574.html,"2-3 foreign exchange students seeking ride to abq for turkey day. 
can be available to leave at noon on wed & must be back to tucson by sunday nite. 
all are spanish speakers & willing to share gas. 
lisa @ five oh five six oh 4 eight 2 four seven ",2012-11-12T12:34:26-07:00,emailnotfound,FALSE,tucson,2012-11-14T12:34:26-07:00,albuquerque
need a ride to yuma! (tuscon),tucson,http://tucson.craigslist.org/rid/3384925652.html,"i need a ride from tuscon to yuma the day before thanksgiving, and i can compensate a bit for gas.",2012-11-11T03:20:20-07:00,emailnotfound,FALSE,tucson,2012-11-17T03:20:20-07:00,yuma
ride to las vegas  am  11/23 (green valley),tucson,http://tucson.craigslist.org/rid/3400042557.html,i need a ride to las vegas friday 11/23.........i'll split the gas with you......i have to be there by 4pm for a basketball tournament..arizona state.....i can meet you in tucson.....thanx..t2s,2012-11-10T09:54:04-07:00,emailnotfound,FALSE,tucson,2012-11-23T09:54:04-07:00,las
la to tucson ,tucson,http://tucson.craigslist.org/rid/3397954725.html,"leaving sunday (11/25) from hollywood (i-10 & labrea) 
... share gas. 
... non smoker, please. 
volvo wagon 
call 520-249-5043.",2012-11-09T11:17:26-07:00,emailnotfound,TRUE,tucson,2012-11-25T11:17:26-07:00,tucson
"to austin, tx",tucson,http://tucson.craigslist.org/rid/3397817785.html,"heading to austin, tx mid to late weekend. no later than sunday evening. looking for $130 cash for gas. send me a text if your interested five six two 5 3 seven six 4 8 six.",2012-11-09T10:28:31-07:00,emailnotfound,TRUE,tucson,2012-11-11T10:28:31-07:00,austin
tucson to san diego,tucson,http://tucson.craigslist.org/rid/3395466557.html,"ride offered to san diego. leaving monday morning. share gas. 
call 907 399-4133, or respond to this ad.",2012-11-08T10:39:01-07:00,emailnotfound,TRUE,tucson,2012-11-12T10:39:01-07:00,san
easy gas money! ride to converys  (prince interstate i10),tucson,http://tucson.craigslist.org/rid/3395103339.html,seeking someone who lives near grant and columbus who works at convergy's call center near prince and the i-10. my hours are from 3pm-11:30 pm for 5 days only. will compensate with gas. reliable only need to respond. need as soon asap.,2012-11-08T08:20:56-07:00,emailnotfound,FALSE,tucson,2012-11-08T08:20:56-07:00,converys
ride offered 11/11- tucson to los angeles one way (tucson),tucson,http://tucson.craigslist.org/rid/3392055704.html,"i have a uhaul and will be moving my things to los angeles this next weekend. looking for someone around my age who needs a lift to split the gas and pass the time with. i'm a 26 year old male, headed out to california for a career in sound. i won't  [...]",2012-11-06T20:28:23-07:00,emailnotfound,FALSE,tucson,2012-11-11T20:28:23-07:00,los
heading north to flagstaff on sunday (tucson - flagstaff),tucson,http://tucson.craigslist.org/rid/3391667559.html,hey everyone! i am in desperate need of a ride up to flagstaff on sunday - any time of day that is convenient to you. i am able to drive and i am able to pay for half if not most of the gas. please let me know if you can do this.,2012-11-06T16:38:52-07:00,emailnotfound,FALSE,tucson,2012-11-11T16:38:52-07:00,flagstaff
ride offered - tucson to chandler on fri 11/9 (tucson),tucson,http://tucson.craigslist.org/rid/3389795715.html,"i'm offering a ride from tucson to chandler. 
leaving november 9th returning november 12th. heading up to chandler to visit family. would love to have some passengers along for the ride. my preference is to the i-10w--&gt;az-587n. once i hit chandler [...]",2012-11-05T21:24:16-07:00,emailnotfound,TRUE,tucson,2012-11-09T21:24:16-07:00,chandler
ride to los angeles,tucson,http://tucson.craigslist.org/rid/3389390990.html,"hello, 
heading to los angeles, passing through sometime thursday. looking for $60 for gas.",2012-11-05T17:24:16-07:00,emailnotfound,FALSE,tucson,2012-11-08T17:24:16-07:00,los
"tucson to sfbay, phx, la tuesday",tucson,http://tucson.craigslist.org/rid/3389182810.html,"leaving from tucson tuesday morning to head home for oakland, looking for riders to help share in gas. vehicle is a 99 plymouth van, reliable ok gas mileage (20 mpg) cd player, heat, etc. i'm a non-smoker but ok with light smoking. no drugs please, i [...]",2012-11-05T15:46:58-07:00,emailnotfound,TRUE,tucson,2012-11-06T15:46:58-07:00,sfbay
driving to tennessee (tucson),tucson,http://tucson.craigslist.org/rid/3388924319.html,"i am driving to tennessee. leaving on the 14th and would be willing to drop you off anywhere along the way. 
40 yr old male...smoker...420 friendly. 
there is room for one person and a small amount of luggage. 
gas money is a plus and you must have m [...]",2012-11-05T14:02:13-07:00,emailnotfound,TRUE,tucson,2012-11-14T14:02:13-07:00,tennessee
tucson to san diego the sunday or monday before thanksgiving (alvernon and 29th),tucson,http://tucson.craigslist.org/rid/3386035484.html,"hello people with vehicles, i need to get out to san diego the 25th or 26th. if you're headed in that direction i can buy almost all the gas and split the driving with you. you can choose your own music for the trip although i have a wonderfully ecle [...]",2012-11-04T09:55:51-07:00,emailnotfound,FALSE,tucson,2012-11-25T09:55:51-07:00,san
tucson to florence (central az detention center),tucson,http://tucson.craigslist.org/rid/3384412485.html,"hello, 
wanting to see if anyone is going to visit a loved one during the week, if i can get a ride. can help pay for gas. needing to go on a tuesday, thursday, friday as i work the rest of the week. 
thank you 
heather",2012-11-03T12:39:51-07:00,emailnotfound,FALSE,tucson,2012-11-06T12:39:51-07:00,florence
ride to flagstaff  (november 14th),tucson,http://tucson.craigslist.org/rid/3382990521.html,"hey there my name is renee! 
i am looking for a ride to flagstaff on novemeber 14th can help with gas!!!! 
hope to hear from you soon! ",2012-11-02T19:26:42-07:00,emailnotfound,FALSE,tucson,2012-11-14T19:26:42-07:00,flagstaff
