title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered - ventura to berkeley on sun 11/18 (ventura),ventura,http://ventura.craigslist.org/rid/3416994468.html,"i'm offering a ride from ventura to berkeley. 
leaving november 18th. taking the 101 all the way contact me on zimride: http://www.zimride.com/ride/share?ride=535247 
i drive a 2004 toyota solara. ",2012-11-17T13:50:02-08:00,emailnotfound,TRUE,ventura,2012-11-18T13:50:02-08:00,berkeley
ride needed thousands oaks to la ,ventura,http://ventura.craigslist.org/rid/3413894389.html,"trying to leave thousand oaks to la before 11 am today. if you are on your way out i'll be liking to join you. 
thanks. 
colin 
928 600 9547",2012-11-16T08:39:18-08:00,emailnotfound,FALSE,ventura,2012-11-16T08:39:18-08:00,la
offered  ventura to colorado,ventura,http://ventura.craigslist.org/rid/3413208331.html,leaving saturday for colorado or points between. ,2012-11-15T22:33:37-08:00,emailnotfound,TRUE,ventura,2012-11-17T22:33:37-08:00,colorado
ride offered - ventura to berkeley on sun 11/18 (ventura),ventura,http://ventura.craigslist.org/rid/3412122387.html,"i'm offering a ride from ventura to berkeley. 
leaving november 18th. taking the 101 all the way contact me on zimride: http://www.zimride.com/ride/share?ride=535247 
i drive a 2004 toyota solara. ",2012-11-15T12:25:20-08:00,emailnotfound,TRUE,ventura,2012-11-18T12:25:20-08:00,berkeley
i need ride for 420 to marina (ojai),ventura,http://ventura.craigslist.org/rid/3411821234.html,"i will trade a ride for 420, must have 215, from ojai to channel island on fri morning....must be their before noon.....no bull shit please",2012-11-15T10:30:21-08:00,emailnotfound,TRUE,ventura,2012-11-16T10:30:21-08:00,marina
need ride form ventura county to reno/tahoe (ventura county ),ventura,http://ventura.craigslist.org/rid/3410015224.html,i am in need of a ride from the ventura area to the reno/tahoe area on tuesday the 20th or wednesday the 21st . i am a 22 year old student nonsmoker. i will split all costs 50/50. i will also split cost to get to sacramento. ,2012-11-14T13:47:13-08:00,emailnotfound,FALSE,ventura,2012-50-50T13:47:13-08:00,reno/tahoe
"share driving to santa rosa 12/20, return 12/27 (ojai to santa rosa)",ventura,http://ventura.craigslist.org/rid/3409886447.html,"i will be driving from ventura to santa rosa on 12/20, and returning 12/27. if you can help with driving, i don't mind paying for the gas. i will have had wrist surgery and can't drive with one hand, so i need help driving. 
i will be bringing my dog [...]",2012-11-14T12:55:48-08:00,emailnotfound,TRUE,ventura,2012-12-20T12:55:48-08:00,santa
carpool moorpark/t.o./simi to n.hollywood m-f (moorpark),ventura,http://ventura.craigslist.org/rid/3388641049.html,"looking for someone to carpool with. would like to split the driving 50-50. 
i have dependable newer truck. 
i live in moorpark and work in north hollywood monday-friday 7:30-4pm. 
if you live anywhere near moorpark and work near north hollywood 
ple [...]",2012-11-14T12:18:08-08:00,emailnotfound,TRUE,ventura,2012-11-19T12:18:08-08:00,n.hollywood
ventura county to arcata (moorpark),ventura,http://ventura.craigslist.org/rid/3401109639.html,"i am driving from moorpark to arcata on monday 19th. will be travelling up the 101 and intend leaving home about 5:00 am. i am willing to pick up anywhere along the route from moorpark to santa barbara as long as its fairly close to the freeway. 
i h [...]",2012-11-14T09:31:22-08:00,emailnotfound,TRUE,ventura,2012-11-19T09:31:22-08:00,arcata
going to vegas tuesday am (camarillo),ventura,http://ventura.craigslist.org/rid/3402801665.html,"i'm driving out to the las vegas strip starting tuesday am (should arrive mid-afternoon), and should have room in my car for two to three other people. no smoking in car. chip in for gas (or some other kindness) appreciated, particularly if you pull  [...]",2012-11-11T14:00:20-08:00,emailnotfound,TRUE,ventura,2012-11-13T14:00:20-08:00,vegas
