title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
pick up truck going to new  york ny this saturday!!! got a load??  (dc tonew york text 301-357-5071),washingtondc,http://washingtondc.craigslist.org/mld/rid/3410931168.html,"fyi im going tony this saturday if anyone needs to send something north of washington dc i can help 
from fort washington md i will pass 95 south pass philly new jersey then manhattan then to then dc bound on tuesday nov 20th 
let me know if you need [...]",2012-11-18T07:28:55-05:00,emailnotfound,TRUE,washingtondc,2012-11-20T07:28:55-05:00,new
"rides offered dec 9 or 10 ish  (great falls, va to n of worcester, mass)",washingtondc,http://washingtondc.craigslist.org/nva/rid/3417871515.html,"rides for 1-5 passengers offered dec 9 or 10 ish (great falls, va to n of worcester, mass) 
need your help to share the expense for a trip from dc to mass 
i am making this request for the best options and will have to make a decision by eod 5 decemb [...]",2012-11-18T04:16:57-05:00,emailnotfound,TRUE,washingtondc,2012-12-09T04:16:57-05:00,n
pick up truck going to new york city ny nov 18-20th need a truck ? (washington dc to new york 301-357-5071 text ),washingtondc,http://washingtondc.craigslist.org/doc/rid/3394796587.html,"hi future moving people in the dc va md metro area! 
need a last minute move? new year? ?? i can transport your newly purchased beds, couches, tv's, and oversized or luxury items, 
1 guy and a pick up truck will do? 
available to: falls church kingst [...]",2012-11-18T03:52:25-05:00,emailnotfound,TRUE,washingtondc,2012-11-18T03:52:25-05:00,new
ride offered - arlington to blairstown on wed 11/21 (arlington),washingtondc,http://washingtondc.craigslist.org/nva/rid/3417857816.html,"i'm offering a ride from arlington to blairstown. 
leaving november 21st returning november 26th. taking 95 up to philly, then rt 476, so i can stop at places that are on the way. vehicle is any suv, so luggage isn't a problem. contact me on zimride: [...]",2012-11-18T03:49:15-05:00,emailnotfound,TRUE,washingtondc,2012-11-21T03:49:15-05:00,blairstown
to dulles tomorrow at one (bloomingdale),washingtondc,http://washingtondc.craigslist.org/doc/rid/3417651562.html,"i'm heading that way. 20 bucks and i'll pick you up from your place. smooth, comfortable ride in a honda civic. one of the finest automobiles available. awwww yeah.",2012-11-17T23:25:50-05:00,emailnotfound,TRUE,washingtondc,2012-11-17T23:25:50-05:00,dulles
ride offered - dahlgren to princeton on mon 11/19 (dahlgren),washingtondc,http://washingtondc.craigslist.org/doc/rid/3417439243.html,"i'm offering a ride from dahlgren to princeton. 
leaving november 19th. i make some stops along my route.... contact me on zimride: http://www.zimride.com/ride/share?ride=539530 
i drive a 2003 chrysler town and country. ",2012-11-17T20:48:05-05:00,emailnotfound,TRUE,washingtondc,2012-11-19T20:48:05-05:00,princeton
"ride offered to central nj - wed, 11/21 (bethesda (near nih))",washingtondc,http://washingtondc.craigslist.org/mld/rid/3416883994.html,"driving to central nj (somerset county) on wednesday, 11/21. planning on leaving from bethesda (near nih) in the morning, around 8:30a. 
i'm a mid-20s male. ",2012-11-17T16:00:46-05:00,emailnotfound,TRUE,washingtondc,2012-11-21T16:00:46-05:00,central
"ride offered md to salt lake city (laurel, md)",washingtondc,http://washingtondc.craigslist.org/mld/rid/3416678685.html,"offering a free ride from laurel, md to salt lake city, ut on 12/21/2012 if you can help drive. obviously, good references and driving record required.",2012-11-17T14:36:13-05:00,emailnotfound,TRUE,washingtondc,2012-12-21T14:36:13-05:00,salt
"offer:  ride to long island, ny on wednesday nov 21st (dc / va / md)",washingtondc,http://washingtondc.craigslist.org/doc/rid/3416583254.html,"hello, 
i am leaving for long island, ny on wednesday morning -- looking to split gas and tolls. i'm definitely flexible on dropping you off somewhere along the way. 
i prefer email, but feel free to give me a ring... 
thanks! 
andrew ",2012-11-17T13:58:50-05:00,emailnotfound,TRUE,washingtondc,2012-11-21T13:58:50-05:00,long
ride offered - reston to pittsburgh on sun 11/18 (reston),washingtondc,http://washingtondc.craigslist.org/nva/rid/3415529424.html,"i'm offering a ride from reston to pittsburgh. 
leaving november 18th. contact me on zimride: http://www.zimride.com/ride/share?ride=538681 ",2012-11-17T00:50:11-05:00,emailnotfound,TRUE,washingtondc,2012-11-18T00:50:11-05:00,pittsburgh
