title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered to nyc tuesday 11/20 afternoon (i-91),westernmass,http://westernmass.craigslist.org/rid/3417984031.html,"i'm driving a pickup from new hampshire with a large piece of furniture into brooklyn tuesday afternoon. i'm happy to offer a ride to someone who can help me navigate in, and possibly help me move the furniture in to the apartment. i will then leave  [...]",2012-11-18T07:48:08-05:00,emailnotfound,TRUE,westernmass,2012-11-20T07:48:08-05:00,nyc
ride offered: bdl to springfield/noho/amherst / or to bdl./ - anytime! (chicopee),westernmass,http://westernmass.craigslist.org/rid/3416525130.html,"service offered - one-way 
bdl to springfield/nearby - $50 
bdl to noho/amherst - $60 
springfield to bdl - $50 
noho/amherst to bdl - $60 
also to nyc $150/160 
call for anything else. cheapest rides available! not by the mile, flat-rates only. 
no  [...]",2012-11-17T13:36:28-05:00,emailnotfound,TRUE,westernmass,2012-50-16T13:36:28-05:00,springfield/noho/amherst
urgent ride needed (amherst to boston),westernmass,http://westernmass.craigslist.org/rid/3415995246.html,"hey hey everyone, i need a ride from amherst to boston today, the earlier the better. i will split the cost with you, and provide great conversation along the way. please let me know, thanks. ",2012-11-17T10:01:16-05:00,emailnotfound,FALSE,westernmass,2012-11-17T10:01:16-05:00,boston
ride needed from amherst/noho to nyc thanksgiving week (nyc),westernmass,http://westernmass.craigslist.org/rid/3415804639.html,umass student willing to leave from the amherst area to nyc from tuesday night until anytime on wednesday. will chip in for gas and other expenses.,2012-11-17T07:56:11-05:00,emailnotfound,FALSE,westernmass,2012-11-20T07:56:11-05:00,nyc
ride needed to north carolina  (amherst),westernmass,http://westernmass.craigslist.org/rid/3415384008.html,"my sister and i are looking for ride back down to asheville, north carolina on saturday november 24th or sunday the 25th. we have gas money to share! ",2012-11-16T22:44:51-05:00,emailnotfound,FALSE,westernmass,2012-11-24T22:44:51-05:00,north
need a ride to nyc from amherst on wednesday (amherst-nyc),westernmass,http://westernmass.craigslist.org/rid/3415332014.html,"hi, 
i need a ride to amherst- nyc on wednesday. 
happy to split the cost.",2012-11-16T22:07:32-05:00,emailnotfound,TRUE,westernmass,2012-11-21T22:07:32-05:00,nyc
"ride offered tue 11/20 via brattleboro, keene, concord, wolfeboro (northampton to limington, me)",westernmass,http://westernmass.craigslist.org/rid/3415251865.html,"we're heading from northampton to limington, me via brattleboro, vt and keene, concord and wolfeboro, nh this tuesday, november 20th, leaving northampton early to mid-morning. we have two seats available. 
here is a map of our route: 
http://www.weat [...]",2012-11-16T21:14:45-05:00,emailnotfound,TRUE,westernmass,2012-11-20T21:14:45-05:00,limington
"offered to midtown manhattan today 4:30 (northampton, 91s)",westernmass,http://westernmass.craigslist.org/rid/3414218633.html,"hi-- 
i'll be driving to nyc on 91s from northampton. can offer a ride into midtown from hamp, easthampton, holyoke, springfield, enfield, hartford. leaving hamp at 4:30 or 5. would love $10-15 for gas. returning sometime in the afternoon on sunday.  [...]",2012-11-16T13:36:57-05:00,emailnotfound,TRUE,westernmass,2012-11-16T13:36:57-05:00,midtown
looking for a ride to nyc saturday morning ( northampton/amherst),westernmass,http://westernmass.craigslist.org/rid/3413700137.html,"hi! 
my name is campbell. i have been visiting a friend up here and would love help with a lift back to the city. i am willing to chip in for gas/tolls (obviously) and will bring along some snacks too, for the journey! if you're heade back that way p [...]",2012-11-16T10:21:38-05:00,emailnotfound,FALSE,westernmass,2012-11-16T10:21:38-05:00,nyc
ride offered to nyc from amherst friday nov 16th (amherst to nyc),westernmass,http://westernmass.craigslist.org/rid/3413113467.html,"leaving around 3pm, friday, from the umass amherst campus, and headed to east village, nyc (can drop you off at the l -1st ave stop.) if traffic is horrible, i might not drive all the way downtown, but will park and leave everyone at a subway 
it cos [...]",2012-11-16T00:01:14-05:00,emailnotfound,TRUE,westernmass,2012-11-16T00:01:14-05:00,nyc
ride available to boston tomrrow at 1.pm,westernmass,http://westernmass.craigslist.org/rid/3412219338.html,i will be leaving umass tomorrow at1pm. two seats available @ 10$,2012-11-15T16:05:10-05:00,emailnotfound,TRUE,westernmass,2012-11-15T16:05:10-05:00,boston
