title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need a ride to portland oregon (amarillo),amarillo,http://amarillo.craigslist.org/rid/3382393436.html,me and my son are needing to go to oregon but the bus wont let me take our great dane so we need a ride anyone heading that way that has room for us and a well behaved dane?,2012-11-16T17:59:17-06:00,emailnotfound
marillo to albuquerque (amarillo),amarillo,http://amarillo.craigslist.org/rid/3414313368.html,heading to albuquerque from wichita falls will pass through amarillo early saturday morning pitch in a few bucks for gas and you gotta ride. returning late sunday night or early mon morning if you need a return trip too. ,2012-11-16T13:11:57-06:00,emailnotfound
amarillo to albuquerque,amarillo,http://amarillo.craigslist.org/rid/3414141933.html,"going to albuquerque, contact if needing ride or hauling item(s). time, date, charges/expenses could/are negotiable. plan to leave nlt sunday. 806-681-0078",2012-11-16T12:09:31-06:00,emailnotfound
get out for less cheap rides to and from any state or city,amarillo,http://amarillo.craigslist.org/rid/3402720357.html,"this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel ticke [...]",2012-11-15T18:50:47-06:00,emailnotfound
risde to any state for cheap,amarillo,http://amarillo.craigslist.org/rid/3407639586.html,"we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak. since we are an online only travel booker, we are able to further discount travel tickets b/c we have very low operating costs. we specia [...]",2012-11-15T17:54:24-06:00,emailnotfound
amarillo to las vegas (amarillo),amarillo,http://amarillo.craigslist.org/rid/3412166193.html,i will be leaving for las vegas on sunday nov 18th - white male 43 -will not be stopping except for gas - you will need 50 dollars to help with gas - i will be leaving in the morning - driving a 97 saturn sc1 - call me at 503 901 9438 my name is titu [...],2012-11-15T14:43:24-06:00,emailnotfound
amarillo tx to denver colorado (amarillo tx ),amarillo,http://amarillo.craigslist.org/rid/3408097726.html,i am driving on thurday 2am in the morning and could pick up anyone headed our way to colorado who is willing to split gas and doesn't mind sharing (very friendly) hit me up if interested text lolo 8066268532,2012-11-13T19:24:02-06:00,emailnotfound
ride to chicago offered 12/21- okc/st. louis/chicago (amarillo-chicago),amarillo,http://amarillo.craigslist.org/rid/3403148967.html,i'll be leaving amarillo on december 21 around 730pm or very early december 22. i plan on leaving chicago and heading back to amarillo on december 26th. i can stop anywhere along the route such as oklahoma city or st. louis. you will need to chip in  [...],2012-11-11T19:03:07-06:00,emailnotfound
"ride offered: amarillo to ok, ar, tn, nc (amarillo to asheville nc)",amarillo,http://amarillo.craigslist.org/rid/3402021644.html,"hi there road warriors! 
i am driving through amarillo tomorrow afternoon and will be headed on to oaklahoma city by tomorrow evening and then through to asheville nc in the following days. i can drop you anywhere along the way. if you want to stay o [...]",2012-11-11T09:59:03-06:00,emailnotfound
need ride to n. colorado from amarillo (amarillo),amarillo,http://amarillo.craigslist.org/rid/3390420428.html,"i need a ride from amarillo to colorado asap. i am not a creep, therefore i expect you to be a decent person as well. please reply to the email above if you can help.",2012-11-06T09:26:07-06:00,emailnotfound
please help (snyder texas),amarillo,http://amarillo.craigslist.org/rid/3389256455.html,trying to get to snyder tx from amarillo just i dont have money im a hot white 29 year old,2012-11-05T17:20:22-06:00,emailnotfound
get out of town for less inexpensive travel to any city (travel to anywhere in the country),amarillo,http://amarillo.craigslist.org/rid/3328313368.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-03T08:28:52-05:00,emailnotfound
ride offered to colorado ,amarillo,http://amarillo.craigslist.org/rid/3379717976.html,driving through tonight and could pick up anyone headed our way who is willing to split gas and doesn't mind sharing the backseat with our dog (very friendly) hit me up if interested,2012-11-01T13:50:03-05:00,emailnotfound
deals on travel to anywhere any state or city cheap,amarillo,http://amarillo.craigslist.org/rid/3369698922.html,"we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak. since we are an online only travel booker, we are able to further discount travel tickets b/c we have very low operating costs. we specia [...]",2012-10-30T20:01:31-05:00,emailnotfound
driving to florida with a truck,amarillo,http://amarillo.craigslist.org/rid/3370973002.html,"going to florida in the next couple of days, looking for a rider with pet or not to share the petro , also can tow or transport stuff to any state along the way,email me",2012-10-28T15:00:00-05:00,emailnotfound
ride offered - amarillo to denver on tue 10/30 (amarillo),amarillo,http://amarillo.craigslist.org/rid/3367439910.html,"i'm offering a ride from amarillo to denver. 
leaving october 30th. 2513778283 contact me on zimride: http://www.zimride.com/ride/share?ride=507473 ",2012-10-26T18:50:36-05:00,emailnotfound
"stuck in amarillo need to get anywhere west/south (amarillo, tx)",amarillo,http://amarillo.craigslist.org/rid/3366537583.html,my girlfriend and i are stuck in amarillo. we're traveling and broke and just trying to get back to la. anywhere south or west of amarillo will help us out. you can send us a email with info about you an a number and we will call you. ,2012-10-26T12:23:38-05:00,emailnotfound
need a lift ? (canyon),amarillo,http://amarillo.craigslist.org/rid/3300701339.html,",,local /long distance /airport service /package delivery service,,nice new a/c vehicles / very reasonable ....anywhere anytime ",2012-10-23T13:42:24-05:00,emailnotfound
going to austin nov. 1 ( thursday) (amarillo to austin &amp; back ),amarillo,http://amarillo.craigslist.org/rid/3358225193.html,go down and have fun for the weekend. cost ya $100. willing to negotiate on times. got a wedding. going to austin. leaving thursday afternoon (nov. 1). coming back monday (nov. 5). $50 either way. you don't have to drive. will meet you beforehand if  [...],2012-10-22T21:44:48-05:00,emailnotfound
free ride west for stick driver today! (40w to cali ),amarillo,http://amarillo.craigslist.org/rid/3352409814.html,"headed west on 40, should be passing thru amarillo abt 9pm tonight. have room for 1-2 stick drivers. no gas money needed, just need help driving. i am a personable and laid back female. want to drive straight thru to san diego but anywhere along the  [...]",2012-10-20T11:20:04-05:00,emailnotfound
going through amarillo (okc to phoenix),amarillo,http://amarillo.craigslist.org/rid/3352250524.html,"leaving nov 2 going through amarillo to tuscon then to phoenix and back by nov 4th email cash offer, have crew cab with space. ",2012-10-20T10:16:57-05:00,emailnotfound
n.w.roadtrip in nov. truck? van? (oregon),amarillo,http://amarillo.craigslist.org/rid/3347782031.html,i am moving to oregon in november with all of my non illegal stuff and need to transport it. i will also be driving my own car at the same time; will pay for gas (for your vehicle) and some expenses. truck or van going nw empty in november? roadtrip  [...],2012-10-18T11:44:40-05:00,emailnotfound
"ride offered to albuquerque, nm (clinton, ok)",amarillo,http://amarillo.craigslist.org/rid/3347493906.html,"coming into amarillo hopefully today or tomorrow, will leave asap. seeking gas-paying riders ($45 for one, or split two-way, up to 2 passengers, tho negotiable), pets okay, luggage okay (up to two heavy packs each). i do all the driving. rv-type rig  [...]",2012-10-18T09:58:10-05:00,emailnotfound
to northwest in november (oregon),amarillo,http://amarillo.craigslist.org/rid/3346629724.html,i am moving to oregon and need to transport my non illegal stuff there. flexible on dates. have a van or pick up going that way? please email me details.,2012-10-17T20:25:02-05:00,emailnotfound
to austin,amarillo,http://amarillo.craigslist.org/rid/3345515080.html,"going to austin tonight, if you need a ride will be $40 for gas not sure what time i will 
be rolling through, still in colorado, but will be in amarillo in the next 24-48 hours. 
call me at 
three one 0 six five 0 0 seven two 0 
jason",2012-10-17T12:32:04-05:00,emailnotfound
"ride offered to dfw, for a mere 100.00 chip in. (amarillo)",amarillo,http://amarillo.craigslist.org/rid/3340882690.html,"100 bucks short of my tire being replaced on the way to dallas fort worth. 
you got a hundred bucks? then you got a ride. pets okay too. 
8173603337 
in a real comfortable motorhome.... 
hell, i'll feed ya too.",2012-10-15T14:00:16-05:00,emailnotfound
amarillo to abilene area (sweetwater),amarillo,http://amarillo.craigslist.org/rid/3339423999.html,college student planning on going to sweetwater on thursday or friday for the weekend (oct 18 - 21). share gas...your car or mine...,2012-10-14T21:03:58-05:00,emailnotfound
colorado !? (lbk!),amarillo,http://amarillo.craigslist.org/rid/3338516279.html,"hey, i am trying to make gas money to get there. 
please chip me in, ill barter windows 8 keys for gas cards alternatively! 
have a nice day 402-699-5861 (let's get stoned together!) hope the weather is great! ",2012-10-14T13:18:18-05:00,emailnotfound
seat open-need gas money- amarillo to arkansas (tucumcari),amarillo,http://amarillo.craigslist.org/rid/3337562775.html,"does anyone need a ride towards fayetville, arkansas? i'm in tucumcari, i have 2 puppy's and drive a jeep, i'm willing to stop and/or drop anyone off wherever towards ar. for some gas money. i'm 25 guy, very laid back. trained dogs. wouldn't mind a l [...]",2012-10-13T22:34:39-05:00,emailnotfound
"trade  ride for gas- santa rosa, nm-fayetville, ar",amarillo,http://amarillo.craigslist.org/rid/3337504496.html,"hi i'm 25 laid back guy with 2 sweet dogs trying to get to fayetville, arkansas. i ran out of gas money bc my jeep had a few issues that are now taken care of. 
need to leave asap! if anyone needs a ride that can provide gas money, i'm ready, call an [...]",2012-10-13T21:44:21-05:00,emailnotfound
need to get to liberal ks wensday 3 pm (amarillo),amarillo,http://amarillo.craigslist.org/rid/3333963398.html,i need to get to liberal ks for a job physical 3 pm wensday but i hve no cash to get there if any one is heading up that way soon id like to catch a ride ,2012-10-12T11:20:11-05:00,emailnotfound
youth group needs van!!!,amarillo,http://amarillo.craigslist.org/rid/3330558708.html,our youth group is in desperate need of a van for our youth retreat november 3&4. please help!! our kids are so excited but if we don't find a van we won't be able to go. we can not rent because they won't allow transporting of kids under 18 if they  [...],2012-10-10T20:34:09-05:00,emailnotfound
ride offered - amarillo to memphis on wed 11/7 (amarillo),amarillo,http://amarillo.craigslist.org/rid/3319356747.html,"i'm offering a ride from amarillo to memphis. 
leaving november 7th. the dates are very flexible depending on everyone's schedules. my sister and i need to be in new jersey before thanksgiving.my sister and i are making a cross country trek, californ [...]",2012-10-05T19:11:54-05:00,emailnotfound
bored need company (amarillo t.x),amarillo,http://amarillo.craigslist.org/rid/3317383769.html,i'm in amarillo headed to new mexico then headed back to north carolina anybody looking for a ride hit me up 864-541-5912,2012-10-04T22:35:08-05:00,emailnotfound
