title,postingFrom,permalink,shortDescription,postingDate,mailToLink
heading east,bloomington,http://bloomington.craigslist.org/rid/3416590243.html,"heading east tomorrow (sunday the 18th) straight across i 64 to the coast, would consider taking someone along. let me know.",2012-11-17T14:01:37-05:00,emailnotfound
offered: bloomington to chicago 11/17 (hyde park),bloomington,http://bloomington.craigslist.org/rid/3414305465.html,"driving from bloomington to chicago on saturday around noon. get in touch if you can offer something for gas and would like a ride any part of the way. 
phone: six 0 8 three three4 76four six 
there is room for four.",2012-11-16T14:09:01-05:00,emailnotfound
looking for a ride from bloomington in. to bloomington il (bloomington in. to bloomington il. ),bloomington,http://bloomington.craigslist.org/rid/3411453803.html,hoping to share a ride from bloomington indiana to bloomington illinois. thought maybe someone would be heading that way for thanksgiving for a couple of days. i would also need a ride back to bloomington indiana and i would gladly share in gas expen [...],2012-11-15T11:12:11-05:00,emailnotfound
ride to chicago offered (united states),bloomington,http://bloomington.craigslist.org/rid/3409006663.html,"going to chicago thursday afternoon around 2pm. some space available, split gas.",2012-11-14T10:28:04-05:00,emailnotfound
"need box delivered from munster, in to bloomington, in (bloomington, in)",bloomington,http://bloomington.craigslist.org/rid/3408860074.html,"i desperately need someone willing to pick up a box of my stuff from my old house in munster, in and bring it somewhere close to bloomington, in so i can pick it up. the container is about 3' x 2' x 1' and weighs about 150 lbs. help will be given to  [...]",2012-11-14T09:15:28-05:00,emailnotfound
ride needed - bloomington to chicago on wed 11/21 (bloomington),bloomington,http://bloomington.craigslist.org/rid/3402635986.html,"i'm looking for a ride from bloomington to chicago. 
leaving november 21st returning november 25th. contact me on zimride: http://www.zimride.com/ride/share?ride=526551 ",2012-11-11T15:40:45-05:00,emailnotfound
columbus to bloomington for iu basketball games (columbus),bloomington,http://bloomington.craigslist.org/rid/3396237652.html,"i'm an iu basketball season ticket holder in columbus, in and attend most iu home games in bloomington. looking for anyone who is interested in carpooling to home games. contact me if interested.",2012-11-08T17:37:27-05:00,emailnotfound
ride to ny (saratoga springs),bloomington,http://bloomington.craigslist.org/rid/3395719815.html,leaving seymour indiana 11/ 15 driving to saratoga springs ny return after thanksgiving 11/26 anyone needing a ride please let me know.,2012-11-08T14:10:54-05:00,emailnotfound
split costs of ride bloomington to chicago 11/9-11/11 or 12,bloomington,http://bloomington.craigslist.org/rid/3395664834.html,"anyone interested in sharing the costs of car rental & gas for a trip from bloomington to chicago this weekend? i want to leave bloomington either late fri nov 9 or early sat nov 10, and return either late sun nov 11 or early mon nov 12. i guess it w [...]",2012-11-08T13:50:53-05:00,emailnotfound
ride offer to cleveland this weekend (bloomington),bloomington,http://bloomington.craigslist.org/rid/3395643649.html,"i will be driving from bloomington to cleveland, oh and back this weekend- leaving either friday evening the 9th or saturday morning the 10th and coming back monday the 12th. i'll be heading north on 37 to indianapolis, west on 70 to columbus, oh and [...]",2012-11-08T13:43:06-05:00,emailnotfound
ride offered - columbus to detroit on fri 11/9 (columbus),bloomington,http://bloomington.craigslist.org/rid/3394626575.html,"i'm offering a ride from columbus to detroit. 
leaving november 9th returning november 11th. i am willing to take reasonable detours, if my rides need it.
thanks i am a university of michigan alumni - class of 2011. i presently work for cummins inc.  [...]",2012-11-08T01:39:27-05:00,emailnotfound
ride from bloomington in to louiville kentucky  (louiville kentucky ),bloomington,http://bloomington.craigslist.org/rid/3386508134.html,"i'm a 21 year old taveler that needs to get to louiville kentucky before election day. i don't have any money to contribute for gas, but i will give you a beautiful piece of art work i've done. 
i need to meet back up with my traveling partner before [...]",2012-11-04T15:29:40-05:00,emailnotfound
need a ride to hwys 37 + 44 (close to franklin),bloomington,http://bloomington.craigslist.org/rid/3385934696.html,"going north or to indy? if you can get me near hwys 37 and 44, i'd be happy to share in the gas cost. if you can get me all the way to franklin, i'd pay a little bonus. 
hoping to go today (sun) or tomorrow (mon) call me 812-219-3525 
thanks, 
darren",2012-11-04T11:08:08-05:00,emailnotfound
ride to chicago (bloomington),bloomington,http://bloomington.craigslist.org/rid/3382569181.html,i need a ride to go the chicago on sunday and come back here on monday night i will pay your gas just myself please let me know if you interest asap,2012-11-02T18:28:20-04:00,emailnotfound
going west?  hitch a ride with us. (bloomington),bloomington,http://bloomington.craigslist.org/rid/3379866365.html,"leaving for sedona, az on nov 17. leaving to come back on nov. 26. can drop you off anywhere along the way. taking i-70 to st, louis, then i-44 west to tulsa. i-17 north to az 89a to sedona. help drive and pay 1/3 gas. (fuel-efficient car). responsib [...]",2012-11-01T15:48:05-04:00,emailnotfound
ride to minneapolis  (iu bloomington),bloomington,http://bloomington.craigslist.org/rid/3377899135.html,"driving up to minneapolis on december 18th and coming back to bloomington on december 21st. have room in our car for three people. will be fun to drive with interesting people who can help drive an share gas. 
email for more information and about dat [...]",2012-10-31T17:15:14-04:00,emailnotfound
going: bloomington to central tn and back.  11-1 - 11-6 (brown county),bloomington,http://bloomington.craigslist.org/rid/3377068365.html,"will be going to central tn through louisville and beyond this thursday. 
call me if you want to connect and ride down and possibly ride up. 
812 927 0879 
jon",2012-10-31T11:41:08-04:00,emailnotfound
ride offered - bloomington to miami on fri 3/15 (bloomington),bloomington,http://bloomington.craigslist.org/rid/3376424501.html,"i'm offering a ride from bloomington to miami. 
leaving march 15th returning march 17th. i have a 2012 mustang. first come first serve for the front seat. contact me on zimride: http://www.zimride.com/ride/share?ride=512035 ",2012-10-31T01:04:59-04:00,emailnotfound
 bloomfield/bloomington/indy to ca,bloomington,http://bloomington.craigslist.org/rid/3346812692.html,i am driving from bloomfield to so. ca at the end of october...just throwing it out there in case someone needs a ride to some point in between...any contribution is appreciated...reply via e-mail with your sitch,2012-10-27T11:24:04-04:00,emailnotfound
"indy/bloomington-asheville,nc (asheville final destination)",bloomington,http://bloomington.craigslist.org/rid/3366012446.html,"i'm headed from illinois- passing through indy and bloomington if anyone needs a ride along the way or to asheville, nc. 
leaving monday morning. contact me asap 217 418 4722",2012-10-26T09:49:26-04:00,emailnotfound
offering rides; to/from indy and bloomington areas,bloomington,http://bloomington.craigslist.org/rid/3361679440.html,"i am able to give rides between indianapolis and bloomington most times of the day/night. i am able to go to/from indy int'l airport, greyhound bus station, and most other indy areas. if u need a ride, please dont hesitate to contact me. email first  [...]",2012-10-24T12:18:17-04:00,emailnotfound
please help i need to get home to miami (btown),bloomington,http://bloomington.craigslist.org/rid/3317921750.html,"please can anyone help me or tell me who will get me a ticket home to my family i am broke but can help with food ,/sodas i am going to miami but any place in florida will help please help ",2012-10-23T11:46:09-04:00,emailnotfound
ride needed - bloomington to nashville on thu 10/25 (bloomington),bloomington,http://bloomington.craigslist.org/rid/3355802344.html,"i'm looking for a ride from bloomington to nashville, tn for a conference. 
leaving october 25th returning october 28th. contact me on zimride: http://www.zimride.com/ride/share?ride=502504 ",2012-10-21T23:34:22-04:00,emailnotfound
martinsville to indy (lawrence and giest area),bloomington,http://bloomington.craigslist.org/rid/3354769406.html,hey. i drive from martinsville to indy mon-thurs. i do this for work and have been doing it for a year. would like a car pull buddy to share gas. i leave martinsville at 6:30 am every morning and come home at varying times. usually leaving indy betwe [...],2012-10-21T14:25:54-04:00,emailnotfound
ride needed - bloomington to chicago on fri 11/16 (bloomington),bloomington,http://bloomington.craigslist.org/rid/3354755030.html,"i'm looking for a ride from bloomington to chicago. 
leaving november 16th. undeclared freshman from buffalo grove, il. briscoe shoemaker. contact me on zimride: http://www.zimride.com/ride/share?ride=501738 ",2012-10-21T14:19:22-04:00,emailnotfound
wanted: ride to chicago sat morning nov 3 (bloomington to chicago),bloomington,http://bloomington.craigslist.org/rid/3354740106.html,"hello, 
if you are driving from bloomington to chicago on the morning/early afternoon of nov 3rd, i'd love to hop in your car and help pay for gas $$. please let me know. 
thanks!",2012-10-21T14:12:46-04:00,emailnotfound
need: ride from chicago to bloomington 10/19 (chicago),bloomington,http://bloomington.craigslist.org/rid/3345814750.html,"need a ride from chicago to bloomington, in or indi on 10/19. will split gas. contact asap!",2012-10-17T15:19:33-04:00,emailnotfound
