title,postingFrom,permalink,shortDescription,postingDate,mailToLink
excellent app for rideshare/carpool (ios/android),boise,http://boise.craigslist.org/rid/3394478348.html,"hello boise ride-sharers/carpoolers, 
need ride partners??? 
using android/ios device? post your ride on your android phone and check back later on your ipad! truly cross platform with all your preferences loaded on either device. 
fun, fast and mult [...]",2012-11-18T02:46:28-07:00,emailnotfound
ride offer (from nampa),boise,http://boise.craigslist.org/rid/3417717228.html,"please help me out and allow me to help you out. i'm looking for work and my unemployment weekly benefits ran out. i'm a responsible safe, reliable, friendly, dependable, driver with a great background and a fully insured 4x4 toyota pickup. need a de [...]",2012-11-17T22:28:37-07:00,emailnotfound
ride offer from boise to reno & cali 11/23 (boise - cali),boise,http://boise.craigslist.org/rid/3410951801.html,"ride offer from boise to reno on friday the 23rd, $40 for gas share, i want to leave around noon more questions txt or call 208 nine 5 four 4 six 5 three my names bri possible ride into cali if needed saturday am going to roseville area - lincoln ca",2012-11-17T11:40:32-07:00,emailnotfound
"ride for 2 utah gas $$$ (boise,nampa,caldwell)",boise,http://boise.craigslist.org/rid/3416262960.html,friendly couple gas money available!,2012-11-17T09:56:01-07:00,emailnotfound
traveling to utah tomorrow  (boise ),boise,http://boise.craigslist.org/rid/3416055127.html,my daughter dog and me are headed to utah sunday. we have room for one if you have money and can help pay your way. text 4354219417,2012-11-17T08:30:04-07:00,emailnotfound
ride needed boise to coeur d' alene  (boise ),boise,http://boise.craigslist.org/rid/3410687853.html,"ride needed to cd'a for thanksgiving. can help with gas, snacks and driving. looking to catch a roundtrip ride leaving wed, nov 21 and returning sunday, nov 25th. 
contact jane at 208 863-4492. thanks!",2012-11-17T08:00:33-07:00,emailnotfound
boise to salt lake today,boise,http://boise.craigslist.org/rid/3415932470.html,"leaving for salt lake city this afternoon, 2pm ish. one way ( i won't be returning for a week) one seat available with room for a bag or two. traveling with kids",2012-11-17T07:26:51-07:00,emailnotfound
looking for a ride to portland on or after 11/26 (boise/meridian),boise,http://boise.craigslist.org/rid/3415511090.html,"hey! i'm coming home to boise for thanksgiving, but haven't worked out a way to get back to portland yet. i'm an easy-going adult male who excels at being un-annoying on road trips. i have a valid license and i'm happy to take a turn at the wheel if  [...]",2012-11-16T22:31:42-07:00,emailnotfound
ride offered to kansas city or anywhere along the way,boise,http://boise.craigslist.org/rid/3415398805.html,"headed to kansas city on the 17th headed east through, salt lake city utah, cheyenne wyoming, denver colorado, and finally getting to kansas city then going south monday afternoon to austin texas. looking for someone to help drive and a little help w [...]",2012-11-16T20:56:06-07:00,emailnotfound
cheap discount travel to any state,boise,http://boise.craigslist.org/rid/3415276650.html,"we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak. since we are an online only travel booker, we are able to further discount travel tickets b/c we have very low operating costs. we specia [...]",2012-11-16T19:30:28-07:00,emailnotfound
