title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need trailer from charlotte to boone (boone),boone,http://boone.craigslist.org/rid/3415130397.html,i have a jeep that i need moved to boone from the west side of charlotte. if anyone has an empty trailer and and is going that way i would happily help with gas money. trying to spend less then $80 so no professional transport companies please. i had [...],2012-11-16T20:04:30-05:00,emailnotfound
ride offered - boone to hickory on sat 11/17 (boone),boone,http://boone.craigslist.org/rid/3414053876.html,"i'm offering a ride from boone to hickory. 
leaving november 17th returning november 18th. willing to pick up and drop off anywhere in hickory/boone. return time is flexible, as is leaving time. leaving time must be after 4pm. call brittany at 828-51 [...]",2012-11-16T12:37:47-05:00,emailnotfound
truck headed to fl... (boone),boone,http://boone.craigslist.org/rid/3413483878.html,"driving to central fl to see them family for turkey day. we have a topper on the bed and could haul items south if needed for a reasonable rate. also, heading back up on the 25th if anything needs to ne brought north. ",2012-11-16T08:20:52-05:00,emailnotfound
ride offered - boone to richmond on tue 11/20 (boone),boone,http://boone.craigslist.org/rid/3411832714.html,"i'm offering a ride from boone to richmond. 
leaving november 20th returning november 25th. i'm driving from boone to richmond on tuesday around noon for thanksgiving break. i will return on sunday morning. i have one more seat left in my car (we're  [...]",2012-11-15T13:34:37-05:00,emailnotfound
van and trailer for hire (nc),boone,http://boone.craigslist.org/rid/3382867128.html,anyone looking for a ride or to have something moved anywhere in the usa. i have a full size conversion van so any trip will be comfy and i have a 6x6 trailer i can haul things as well. have ins and several yrs truck driving exp so drop me a line and [...],2012-11-15T00:09:48-05:00,emailnotfound
ride offered - boone to wake forest on wed 11/21 (boone),boone,http://boone.craigslist.org/rid/3410171555.html,"i'm offering a ride from boone to wake forest. 
leaving november 21st returning november 25th. departure back can be saturday if required. prefer sunday morning or afternoon, though! no real music preference. i enjoy meeting others and want to help o [...]",2012-11-14T17:53:39-05:00,emailnotfound
ride needed from boone to greensboro airport nov 26 (boone),boone,http://boone.craigslist.org/rid/3405347283.html,i need a ride from boone to the greensboro airport on nov 26th. i'm happy to help pay for gas. ,2012-11-12T17:59:04-05:00,emailnotfound
"headed to baltimore,md (balto)",boone,http://boone.craigslist.org/rid/3403519401.html,"anyone want a ride or 13th (tuesday), need a ride from blowing rock to baltimore leaving blo roc around 9 am november can drop you on the way if you like, i will not go far off interstate, im going i40,to 85 to 95, i am returning to blo roc thurs nov [...]",2012-11-12T00:24:52-05:00,emailnotfound
offering west,boone,http://boone.craigslist.org/rid/3403213600.html,"heading west i gas jug and busk i don't require that you help but we'd get to the west coast a lot faster 
(919)444-4164",2012-11-11T20:41:27-05:00,emailnotfound
app student needs a ride to va,boone,http://boone.craigslist.org/rid/3398942537.html,hi im looking for a ride home to the virginia beach area of va from boone nc for thanksgiving nov 21 i will split gas thanks,2012-11-09T20:20:03-05:00,emailnotfound
app student - asheville to boone  on sunday (asheville to boone),boone,http://boone.craigslist.org/rid/3398862251.html,app student needs ride to boone from asheville on sunday. will help with gas. thanks.,2012-11-09T19:35:26-05:00,emailnotfound
boone to chicago,boone,http://boone.craigslist.org/rid/3396071029.html,"need ride from boone to chicago anytime soon........ going onto boulder, but have to stay in chicago area for a few days if that fits in ur schedule.",2012-11-08T16:26:57-05:00,emailnotfound
ride offered - boone to greensboro on tue 11/20 (boone),boone,http://boone.craigslist.org/rid/3395713394.html,"i'm offering a ride from boone to greensboro. 
leaving november 20th returning november 25th. contact me on zimride: http://www.zimride.com/ride/share?ride=522335 ",2012-11-08T14:08:30-05:00,emailnotfound
ride to florida end of nov,boone,http://boone.craigslist.org/rid/3393916855.html,"hi there, i am offering a ride to southeast florida on thursday, november 29th i have a small toyota king cab pick up truck, covered, so can take a few people, small dog in animal cage(have done that before) and some stuff too. leaving from asheville [...]",2012-11-07T17:57:17-05:00,emailnotfound
baltimore (baltimore),boone,http://boone.craigslist.org/rid/3391995844.html,"anyone want a ride or 13th (tuesday), need a ride from blowing rock to baltimore leaving blo roc around 9 am novemberi can drop you on the way if you like, i will not go far off interstate, im going i40,to 85 to 95, i am returning to blo roc thurs no [...]",2012-11-06T21:46:52-05:00,emailnotfound
ride needed - boone to winston-salem on fri 11/2 (boone),boone,http://boone.craigslist.org/rid/3380684421.html,"i'm looking for a ride from boone to winston-salem. 
leaving november 2nd. contact me on zimride: http://www.zimride.com/ride/share?ride=514355 ",2012-11-01T22:28:54-04:00,emailnotfound
app student needs ride from asheville to boone sunday (asheville/boone),boone,http://boone.craigslist.org/rid/3379148684.html,app student looking for ride sunday afternoon or evening from asheville to boone. can share gas money. thanks,2012-11-01T11:09:54-04:00,emailnotfound
need ride to asheville from boone fri oct 26,boone,http://boone.craigslist.org/rid/3367024730.html,"hi, my name is owen. i'm a student at app state and i'm hoping to get a ride to asheville this afternoon/early eve to visit my brother. i'd also like to return saturday anytime during the day. i'm good company and i'll throw some gas money in! $7 the [...]",2012-10-26T16:33:29-04:00,emailnotfound
ride offered to appstate v. western carolina football game 10/27 (boone to cullowhee),boone,http://boone.craigslist.org/rid/3311866686.html,"i will be going to the appalachian state v western carolina university football game that will take place on 10/27. 
i am able to take 3 or 4 people in my car. i will need 10 dollars per person for gas. 
(we may have two cars going so theres opportun [...]",2012-10-23T13:04:23-04:00,emailnotfound
"need ride to asheville asap (boone, nc)",boone,http://boone.craigslist.org/rid/3358117886.html,"need ride asap! i am desperate for a ride to asheville out of boone as soon as possible. it is just me, so only one passenger. contact me through email or text/call my cellphone: 9104708227 thank you!",2012-10-22T21:39:50-04:00,emailnotfound
ride needed:boone to asheville  (boone),boone,http://boone.craigslist.org/rid/3355182248.html,party of four needs a ride to asheville in the next few days. we dont smell bad,2012-10-21T17:38:12-04:00,emailnotfound
deliver from boone to michigan,boone,http://boone.craigslist.org/rid/3352794460.html,"i am trying to find someone to deliver two boxes of motorcycle magazines from boone, nc to michigan (lansing area). i will pay $75. 
the seller will hold the magazines, so maybe around thanksgiving would work. 
please email.",2012-10-20T14:47:41-04:00,emailnotfound
"ride to anywhere. i just wanna drive, so hit me up... (anywhere you need to go)",boone,http://boone.craigslist.org/rid/3349497195.html,"hello. i have a car and no where to go in it. i want to drive somewhere, but have no destination. if you give me one, i'll take you there, for your share of gas money, of course, though trading may be a possibility... 
just let me know where you need [...]",2012-10-19T07:33:23-04:00,emailnotfound
city to city travel (nc),boone,http://boone.craigslist.org/rid/3283270232.html,"we provide safe and dependable transportation throughout nc. 
give us a call at vantransit 336-986-0575. vantransit2go.com 
have a nice trip!",2012-10-18T19:29:01-04:00,emailnotfound
need ride to athens for halloween  (boone),boone,http://boone.craigslist.org/rid/3348298875.html,looking for a ride to athens ohio (ohio university) for their halloween festivities. bout to be a real throw down. looking to leave thursday or friday the 25th or 26th until sunday. split gas and party materials. put halloween in subject,2012-10-18T15:52:06-04:00,emailnotfound
kayak seeks ride west (boone),boone,http://boone.craigslist.org/rid/3347240227.html,"i am looking for a ride for my kayak from boone to montana or colorado. it has no outfitting so the inside can be filled with gear or luggage. i will compensate the vehicle owner with money or a worthwhile trade of some sort of craigslist ""gold"" stan [...]",2012-10-18T08:53:31-04:00,emailnotfound
ride needed - boone to chicago on sat 12/15 (boone),boone,http://boone.craigslist.org/rid/3340920566.html,"i'm looking for a ride from boone to chicago. 
leaving december 15th returning january 12th. i live in the northwest suburbs but if i can get a ride anywhere in chicagoland i can work with that contact me on zimride: http://www.zimride.com/ride/share [...]",2012-10-15T15:14:10-04:00,emailnotfound
ride needed - boone to chicago for thanksgiving & back (boone),boone,http://boone.craigslist.org/rid/3320788140.html,"i'm looking for a ride from boone to chicago and back, around thanksgiving. 
leaving november 21st returning november 25th, or around those dates. i am a first-year graduate student at appalachian state, hoping to visit family in chicago for thanksgi [...]",2012-10-14T20:16:33-04:00,emailnotfound
"ride needed to charleston, sc- wheneva (via boone)",boone,http://boone.craigslist.org/rid/3338692857.html,"hello family!! i am looking for a ride to charleston, sc whenever someone may be going in that direction. i have some family there that i would like to visit as often as possible. thanks for your loving consideration. 8-four-three- 2 zero 9- 57four n [...]",2012-10-14T15:39:12-04:00,emailnotfound
"looking for driver to central florida from boone, share gas (boone nc)",boone,http://boone.craigslist.org/rid/3305845869.html,"flexible on date, i have two vehicles and can only drive one. must have valid driver's license and be able to drive straight through (about 12 hours). i will pay for half the gas or maybe more, though i am not returning to boone. i don't have interne [...]",2012-10-12T19:58:44-04:00,emailnotfound
"app student needs ride to asheville area 10/10, return to boone 10/14 (boone/asheville)",boone,http://boone.craigslist.org/rid/3326772967.html,app student needs ride home to asheville area on october 10th (wednesday) and return to boone on october 14th (sunday). can pay $15 for gas money each way. thanks ,2012-10-09T10:44:43-04:00,emailnotfound
(ride needed) boone~asheville,boone,http://boone.craigslist.org/rid/3323750884.html,"greetings, 
looking for a ride from boone to asheville sometime around the 26th of october. 
if you know of anything or someone you may know does, please message me... thanks! ",2012-10-07T23:31:55-04:00,emailnotfound
"ride needed to asheville from boone (any time thursday, or early friday morni)",boone,http://boone.craigslist.org/rid/3314620753.html,"i am in desperate need of a ride to asheville either tomorrow or friday morning. i would of course contribute to gas! 
let me know! 
miranda 
5707139717",2012-10-03T19:18:37-04:00,emailnotfound
boone to raleigh/fayetteville/chapel hill/sanford (ride needed),boone,http://boone.craigslist.org/rid/3314212637.html,"hello, 
i'm a student here in boone trying to find a ride home this weekend. i can split gas, anywhere around raleigh/chapel hill/sanford/fayetteville would be awesome. 
txt/call me at 919 935 3459 ",2012-10-03T16:21:04-04:00,emailnotfound
