title,postingFrom,permalink,shortDescription,postingDate,mailToLink
boulder to carbondale /paonia (boulder),boulder,http://boulder.craigslist.org/rid/3417771133.html,"hello out there! headin' down to paonia/ crawford via carbondale on thanksgiving late morning. share gas, conversation and the beautiful views. returning to boulder saturday, nov. 24 or pos. sunday nov. 25.",2012-11-17T23:30:55-07:00,emailnotfound
im looking for a ride to winter park or copper  (from wondervu ned golden ),boulder,http://boulder.craigslist.org/rid/3417678338.html,hi my name is ben im a 25 year old skier with a broken down car im down to throw in gas and cover all the grass if your into that any way email me and ill call or text you back in mins oh yeah as im not employed currently im down to go any time any d [...],2012-11-17T21:50:26-07:00,emailnotfound
"can haul loads under 1500lbs across the country. (seattle, denver, baltimore)",boulder,http://boulder.craigslist.org/rid/3396642100.html,"will be in denver saturday. driving a little ranger w/canopy and towing a 4x6 trailer around the country looking for loads that aren't big enough for the transport companies, but a nuisance for someone that just needs it moved. i'm out of seattle and [...]",2012-11-17T21:38:20-07:00,emailnotfound
ride offered - boulder to keystone on sun 11/18 (boulder),boulder,http://boulder.craigslist.org/rid/3417174942.html,"i'm offering a ride from boulder to keystone. 
leaving november 18th returning november 18th. going to ski keystone! planning on getting there early (8:30-8:45) and leaving early (2:00) , but am only asking for $8 round trip. contact me on zimride: h [...]",2012-11-17T16:17:24-07:00,emailnotfound
loveland ski area (boulder),boulder,http://boulder.craigslist.org/rid/3416909236.html,"offering a ride, for a little gas, to anyone who wants to ski/board loveland tomorrow until closing. there's a demo day being hosted there. supposed to have the best snow out of the mountains right now. i have a truck, so you can throw your gear in t [...]",2012-11-17T14:11:44-07:00,emailnotfound
offer ride to fort collins  (lyons/longmont),boulder,http://boulder.craigslist.org/rid/3416565737.html,"leaving anytime before 4 pm. from lyons to fort collins and back tomorrow morning . 
602 930 1324 ",2012-11-17T11:52:02-07:00,emailnotfound
need a ride east? leaving tuesday(11/20) (boulder),boulder,http://boulder.craigslist.org/rid/3415495108.html,"looking to get home east for the holidays? md/dc area are final destination, but very flexible with drop off locations in the area. we'll be leaving tuesday (20th) morning very early and getting to dc area by early evening wednesday (21st). if you're [...]",2012-11-16T22:16:42-07:00,emailnotfound
anyone headed to phoenix or san deigo have room for my bike??? (boulder/phoenix),boulder,http://boulder.craigslist.org/rid/3359795899.html,"hi, 
i need to ride for my bike from boulder to phoenix. 
can pay some gas fare for you to bring it safe and sound to me. 
please phone me at 602-400-8485 
thanks a bunch!! 
michelle ",2012-11-16T20:36:32-07:00,emailnotfound
ride share to california,boulder,http://boulder.craigslist.org/rid/3414986673.html,i am looking to ride share to california i can leave any time any day i am headed to santa cruz but will be happy to get a ride to the state!!!!! please inform i have very few things and a great many stories to tell my name is gina i am 53 years old  [...],2012-11-16T16:50:37-07:00,emailnotfound
boulder to new york city (boulder/denver),boulder,http://boulder.craigslist.org/rid/3388237660.html,"i will be driving from boulder to new york city on sunday, november 18th to arrive in new york on wednesday, november 21st. my plan is to make stops in omaha, chicago and pittsburgh along the way. i'm just looking for someone to talk to and split gas [...]",2012-11-16T13:00:11-07:00,emailnotfound
