title,postingFrom,permalink,shortDescription,postingDate,mailToLink
to indy w/cargo van & back (c-u),chambana,http://chambana.craigslist.org/rid/3412739924.html,"need anything picked up in indy or along the way? or rideshare? 
i'll be making weekly trips to indianapolis with a rental van. would be glad to deliver your cl sales along the way for a reasonable fee, or pick up your purchases from indy to here, an [...]",2012-11-18T02:43:59-06:00,emailnotfound
ride offered to chicago 11/20 or 11/21 and back 11/24 (champaign),chambana,http://chambana.craigslist.org/rid/3416675500.html,"i'm driving to chicago either this tuesday or wednesday and will return to champaign 11/24. if anyone wants to join along for the ride for $20 toward gas, let me know. 
i'm a current grad student at u of i and have a clean driving record, driving a t [...]",2012-11-17T13:34:57-06:00,emailnotfound
ride to chicago on november 17 (uiuc),chambana,http://chambana.craigslist.org/rid/3354883362.html,"i'm leaving on saturday night anytime after 5.. if you can chip in $15 for gas, i'd be more than happy to have you on board! email or text if interested! 3l2 89o 2879 the furthest north i can drop you off at in downtown chicago so if you're going off [...]",2012-11-16T22:49:48-06:00,emailnotfound
south side express bus ticket: champaign/urbana to chicago only $18.99 (champaign/urbana to &amp; from chicago),chambana,http://chambana.craigslist.org/rid/3405335963.html,"are you going home for thanksgiving, or the holidays? 
south side express is now offering tickets online with i-card for $18.99, without i-card for $22.00 to and from chicago at http://www.southsideexpress.net 
this is a direct run so you will not be [...]",2012-11-16T19:26:20-06:00,emailnotfound
offering ride:  to chicago sat night,chambana,http://chambana.craigslist.org/rid/3415115289.html,"leaving c-u around 10pm to chicago south side (around us cellular/sox) saturday 11/17. 
call me if interested. 
steven 
312.375.0586 ",2012-11-16T18:56:20-06:00,emailnotfound
local rides hoopeston to danville (vermilion area),chambana,http://chambana.craigslist.org/rid/3414240161.html,well the kids are back at school and i have alot of time on my hands. looking to help out in giving rides back and forth in the area! don't wait on end for the cab to finally show up and your ice cream is melted! i have a van in very good condition a [...],2012-11-16T12:44:56-06:00,emailnotfound
local rides hoopeston to danville (vermilion area),chambana,http://chambana.craigslist.org/rid/3398381697.html,well the kids are back at school and i have alot of time on my hands. looking to help out in giving rides back and forth in the area! don't wait on end for the cab to finally show up and your ice cream is melted! i have a van in very good condition a [...],2012-11-16T12:39:16-06:00,emailnotfound
discount bus tickets champaign/urbana to chicago only $18.99 (champaign/urbana to &amp; from chicago),chambana,http://chambana.craigslist.org/rid/3414063346.html,"are you going home for thanksgiving, or the holidays? 
south side express is now offering tickets online with i-card for $18.99, without i-card for $22.00 to and from chicago at http://www.southsideexpress.net 
have questions? call us directly at eit [...]",2012-11-16T11:41:13-06:00,emailnotfound
ride offered - champaign to schaumburg on fri 11/16 (champaign),chambana,http://chambana.craigslist.org/rid/3413033070.html,"i'm offering a ride from champaign to schaumburg. 
leaving november 16th. contact me on zimride: http://www.zimride.com/ride/share?ride=536234 or email me asap since i am leaving tomorrow.",2012-11-15T21:59:30-06:00,emailnotfound
need a lift? chambana to woodfield mall cheap!! (nw suburbs),chambana,http://chambana.craigslist.org/rid/3413012729.html,i am a student at uiuc and i am going home on friday the 16th afterschool. so if you need a lift to woodfield mall in schaumburg for $15 i can take you. it is about half the amount needed to take the bus to schaumburg also you don't have to wait for  [...],2012-11-15T21:45:32-06:00,emailnotfound
to indy w/cargo van & back (c-u),chambana,http://chambana.craigslist.org/rid/3405642140.html,"need anything picked up in indy or along the way? or rideshare? 
i'll be making weekly trips to indianapolis with a rental van. would be glad to deliver your cl sales along the way for a reasonable fee, or pick up your purchases from indy to here, an [...]",2012-11-15T16:18:32-06:00,emailnotfound
ride offered - champaign to chicago on fri 11/16 (champaign),chambana,http://chambana.craigslist.org/rid/3410842797.html,"i'm offering a ride from champaign to chicago. 
leaving november 16th. contact me on zimride: http://www.zimride.com/ride/share?ride=533909 ",2012-11-14T23:36:26-06:00,emailnotfound
ride offered - champaign to chicago on thu 11/22 (champaign),chambana,http://chambana.craigslist.org/rid/3410836093.html,"i'm offering a ride from champaign to chicago. 
leaving november 22nd. pick up and drop off at any location in the city (champaign/ chicago) contact me on zimride: http://www.zimride.com/ride/share?ride=533867 ",2012-11-14T23:29:47-06:00,emailnotfound
ride offered - champaign to fairfax on mon 12/24 (champaign),chambana,http://chambana.craigslist.org/rid/3410526803.html,"i'm offering a ride from champaign to fairfax. 
leaving december 24th returning january 4th. i plan to only stop for gas and food. destinations are more or less flexible, but the dates aren't. contact me on zimride: http://www.zimride.com/ride/share? [...]",2012-11-14T19:52:28-06:00,emailnotfound
anyone heading to chicago on 11/20 or 11/21? (champaign--&gt;chicago),chambana,http://chambana.craigslist.org/rid/3410106053.html,is anyone heading to chicago/the suburbs on tuesday (11/20) or wednesday (11/21)? i could pitch in for gas money and won't have many things to bring along!,2012-11-14T16:25:22-06:00,emailnotfound
