title,postingFrom,permalink,shortDescription,postingDate,mailToLink
seeking medical transport drivers for injured workers (charleston &amp; surrounding areas),charlestonwv,http://charlestonwv.craigslist.org/rid/3392305606.html,"are you looking for a high-reward job with flexible hours and low stress levels? boomerang transport is looking for reliable drivers in your area. our drivers take injured workers to their doctors/physical therapy appointments and bring them home. 
b [...]",2012-11-16T09:52:15-05:00,emailnotfound
need ride (la vergne to el paso),charlestonwv,http://charlestonwv.craigslist.org/rid/3413220371.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap.,2012-11-16T01:47:46-05:00,emailnotfound
headed north to ohio then back south  (along i-77),charlestonwv,http://charlestonwv.craigslist.org/rid/3408555275.html,"headed north toward bowling green, ohio on sunday and can stop anywhere along the way 
monday headed south from ohio back thru wv, va then into north carolina 
have equipment to pick-up so only room for 1 passenger and any luggage",2012-11-14T02:18:10-05:00,emailnotfound
"charleston to elkins / beverly (charleston, wv)",charlestonwv,http://charlestonwv.craigslist.org/rid/3407898821.html,"i am a nice young man willing to pay gas money to go get a ride from charleston to the elkins / beverly area. 304-721-9854 
this week at some point to do a vehicle swap as a result of the storm 2 weeks ago.",2012-11-13T18:46:22-05:00,emailnotfound
"heading to colorado 11/15 (charleston, wv)",charlestonwv,http://charlestonwv.craigslist.org/rid/3405409280.html,"leaving charleston, wv on 11/15 maybe the 16th heading to boulder co offering ride for gas money. it will be myself and my dog, not a ton of space left so you would have to pack light. email me and we can go from there.",2012-11-12T18:26:10-05:00,emailnotfound
need ride from charleston wv to amarillo tx (charleston to amarillo ),charlestonwv,http://charlestonwv.craigslist.org/rid/3402884023.html,me and my girlfriend wanna rideshare will pitch in on gas or food from charleston wv to amarillo tx around jan 4. email if u can help ,2012-11-11T17:40:43-05:00,emailnotfound
"man and a truck,  coast to coast",charlestonwv,http://charlestonwv.craigslist.org/rid/3397962646.html,"leaving wv nov 10, heading to az.6027156073",2012-11-09T13:20:17-05:00,emailnotfound
man and his dog needs to go as far west as possible (phx),charlestonwv,http://charlestonwv.craigslist.org/rid/3397840522.html,man and dog need ride from west virginia to phoenix to get to mom or as far west as possible. 6027156073,2012-11-09T12:36:35-05:00,emailnotfound
family member needs help (mill creek),charlestonwv,http://charlestonwv.craigslist.org/rid/3395091874.html,"we have a man who needs a ride to charleston asap. 
he is down on his luck and we are trying to get him to the amtrack station where 
a ticket will be waiting for him to come home to his relatives. 
we need a generous and kind hearted person to give  [...]",2012-11-08T10:15:55-05:00,emailnotfound
baltimore- charleston round trip (1/14-1/15),charlestonwv,http://charlestonwv.craigslist.org/rid/3382843010.html,i need to travel to charleston west virginia for interview on 1/15/2013. it will be the full day. i will be traveling from baltimore on jan 14 and come back jan 15 after 5pm. i don't drive so like to share a ride with respected sharing. anyone drivin [...],2012-11-02T20:51:28-04:00,emailnotfound
in bad need of a ride (st albans),charlestonwv,http://charlestonwv.craigslist.org/rid/3349298869.html,"stuck in motel and needing a ride, anyone?",2012-10-19T00:52:16-04:00,emailnotfound
"bridge day (culloden, wv)",charlestonwv,http://charlestonwv.craigslist.org/rid/3348913428.html,"i'm planning go to the bridge day in fayettville. i'm looking for somebody to want share a ride round trip to the festival bridge day new river gorge in fayettville, wv next saturday oct. 20. 
for share costs. i have a pick up truck 2 doors, i have s [...]",2012-10-18T20:24:14-04:00,emailnotfound
charleston airport to bridge day (fayetteville/summersville),charlestonwv,http://charlestonwv.craigslist.org/rid/3336259817.html,"i will be flying into charleston on wednesday (10/17) to go to bridge day. if anyone is headed that way from charleston, i will buy gas, food, what ever else. 
i am a climber/slackliner and am looking to end up at summersville lake to climb and highl [...]",2012-10-13T12:24:25-04:00,emailnotfound
need to share ride from f ville to bozeman mt (fayetteville),charlestonwv,http://charlestonwv.craigslist.org/rid/3328254582.html,hey there. i lost my cars transmission on a kayak trip and a new one is unavailable.i am looking for a ride back to montana. i am super friendly aswell is my professional avalanche dog. if you are heading back that way please let me know. gas money f [...],2012-10-09T20:33:54-04:00,emailnotfound
