title,postingFrom,permalink,shortDescription,postingDate,mailToLink
charlottesville-dc (nov 20 and dec 15-16) (charlottesville),charlottesville,http://charlottesville.craigslist.org/rid/3417859383.html,"need a ride to dc on those two times, but especially nov 20 after 6 pm! will pay gas money 
for dec 15, it would be after 5 pm.",2012-11-18T03:52:05-05:00,emailnotfound
little red gogo! (uva),charlottesville,http://charlottesville.craigslist.org/rid/3417366662.html,we welcome you to little red gogo! anywhere in charlottesville you want to go for $10! only $3 per extra rider! call or text night life special! 4349532169 paris,2012-11-17T20:03:15-05:00,emailnotfound
rides inside uva and to richmond (palmyra/charlottesville),charlottesville,http://charlottesville.craigslist.org/rid/3413106968.html,"hello all, i am offering my car for taxi rides all over charlottesville and fluvanna areas to include richmond in the route. 
catch a ride to richmond, va from charlottesville for only $50 
charlottesville rides start as low as $10 and no more than $ [...]",2012-11-15T23:55:51-05:00,emailnotfound
ride to philly (charlottesville),charlottesville,http://charlottesville.craigslist.org/rid/3412438483.html,"need a ride to philly on wednesday, the 21st of november. will split gas and bring some good food. 
alex",2012-11-15T17:39:11-05:00,emailnotfound
visiting meditator seeks ride south  (va--&gt;ga),charlottesville,http://charlottesville.craigslist.org/rid/3396074537.html,"hello cl family .. i am visiting the dc & central va areas from ca soon and am signed up take a retreat in southeast ga (jesup, not far off 95) at the vipassana center there starting on the 18th 
i am seeking a ride that can at least take me close, p [...]",2012-11-13T14:41:46-05:00,emailnotfound
"heading west? (charlottesville, pacific northwest )",charlottesville,http://charlottesville.craigslist.org/rid/3406528688.html,"i'm looking to make it home for the holidays and would like to rideshare if possible. if you're going somewhere remotely close to idaho (ut, co, wy, mt, or, wa, etc), i can catch a bus the rest of the way. i don't have much gas money, but i have an e [...]",2012-11-13T09:56:59-05:00,emailnotfound
lexington va to charlottesville va (lexington va),charlottesville,http://charlottesville.craigslist.org/rid/3406483724.html,"hi, i'm looking for a rideshare to charlottesville va mon-fri regular working hours starting dec. 10th. specifically north of cville off 29. thank you, 
julie",2012-11-13T09:35:00-05:00,emailnotfound
from uva to dulles airport needed (dec 15th),charlottesville,http://charlottesville.craigslist.org/rid/3404373868.html,"ride needed from uva to dulles airport on dec 15th. i need to get there by no later than 3 pm. 
jk6ek@virginia.edu 
thank you.",2012-11-12T12:10:13-05:00,emailnotfound
pick up and delivery (western va),charlottesville,http://charlottesville.craigslist.org/rid/3371417153.html,"not really people, awkward size and or heavy stuff to be picked up and delivered door to door. 
pick ups and drop off anywhere within the western va area. 
sw va, to harrisonburg, charlottesville, lynchburg, danville, martinsville and places in betwe [...]",2012-11-08T18:41:07-05:00,emailnotfound
offering ride to dc - november 19 (charlottesville),charlottesville,http://charlottesville.craigslist.org/rid/3396077353.html,"leaving morning of monday, november 19 @ 8:00 am. can give you ride to arlington, va or nova. returning same day @ 6:00 pm. flexible on return time, but will leave no later than 7:00 pm.",2012-11-08T16:29:27-05:00,emailnotfound
