title,postingFrom,permalink,shortDescription,postingDate,mailToLink
local or long distance driving for you! (cincinnati),cincinnati,http://cincinnati.craigslist.org/rid/3374302391.html,"if you would like a safe driver, no points on my license, to take you on a local or long distance trip, please let me know! my rates and accomodations are fair. you must provide me two forms of id, pay in advance for my services and pay for the fuel  [...]",2012-11-17T22:46:20-05:00,emailnotfound
"if you are drunk, please let me drive you! (cincinnati)",cincinnati,http://cincinnati.craigslist.org/rid/3400617530.html,"i am willing to come pick you and your party up(my car will seat 4 passengers) ..i had to many friends get dui""s and one was killed by a drunk driver(lost a good friend)...and maybe you have lost a friend to a drunk driver? when i drink, i taxi it... [...]",2012-11-17T22:44:26-05:00,emailnotfound
need a ride out of area ?? (cincinnati &amp; surrounding),cincinnati,http://cincinnati.craigslist.org/rid/3397579531.html,"hate taking a greyhound ?? hate to fly ?? hate taxis ?? need a ride out of ohio ?? excellent driving history, insured, safe & honest... willing to get you where you need to be... leaving from the general cincinnati (513) area.... email me the zip cod [...]",2012-11-17T21:46:14-05:00,emailnotfound
i need a regular driver (hamiltion/cincinnati),cincinnati,http://cincinnati.craigslist.org/rid/3417159949.html,im in need of sumone that can drive ill pay if you are 420 friendly thats a plus but not a must if you can do this hit me with a email or txt five one three six five two six four three five ,2012-11-17T18:09:46-05:00,emailnotfound
"driving to dallas, tx (clifton)",cincinnati,http://cincinnati.craigslist.org/rid/3416865637.html,"i need to get to dallas, tx first or second week of december. preferred dates leaving on 5th or 6th from cincinnati or 12th or 13th. i am flexible. please reply back. i can share the driving and split cost of gas etc. i need to be in dallas for about [...]",2012-11-17T15:52:58-05:00,emailnotfound
seeking ride to pain management fl or sc (nky),cincinnati,http://cincinnati.craigslist.org/rid/3395874502.html,i want to ride with someone who travels to pain management in fl or sc ,2012-11-17T13:18:43-05:00,emailnotfound
"to / from the bar , or other trips one might need (cincinnati)",cincinnati,http://cincinnati.craigslist.org/rid/3389233257.html,""" will do trips after last call "" making trips to , from bars or other trips in the cincinnati area . i have a compact saturn 3 door , license , insurance , non drinker . i can have 3 riders at a time , call (513) 426-1803 im tyring to make few bucks [...]",2012-11-17T13:15:12-05:00,emailnotfound
"to / from the bar , or other trips one might need (cincinnati)",cincinnati,http://cincinnati.craigslist.org/rid/3366150774.html,""" will do trips after last call "" making trips to , from bars or other trips in the cincinnati area . i have a compact saturn 3 door , license , insurance , non drinker . i can have 3 riders at a time , call (513) 426-1803 im tyring to make few bucks [...]",2012-11-17T13:14:57-05:00,emailnotfound
"to / from the bar , or other trips one might need (cincinnati)",cincinnati,http://cincinnati.craigslist.org/rid/3353249947.html,""" will do trips after last call "" making trips to , from bars or other trips in the cincinnati area . i have a compact saturn 3 door , license , insurance , non drinker . i can have 3 riders at a time , call (513) 426-1803 im tyring to make few bucks [...]",2012-11-17T13:14:49-05:00,emailnotfound
i can get you there !!! (cincy area),cincinnati,http://cincinnati.craigslist.org/rid/3391763249.html,"call if you need a ride to / from bars or other errands call vincent (513)-426-1803 services available as late as last call maybe later as required . i am liscensed , insured and very safe driver ",2012-11-17T13:14:17-05:00,emailnotfound
if you need a ride  look!! (cinainnati an hamilton),cincinnati,http://cincinnati.craigslist.org/rid/3400062069.html,hey if you are in need of a ride call me and i will help you txt or call 5132403618 thank you ,2012-11-17T10:28:00-05:00,emailnotfound
do you need a ride! look!!! (cincinnati? hamilton),cincinnati,http://cincinnati.craigslist.org/rid/3416024855.html,hey i am willing to give you a ride for the right price! send me a message and we will work out a fair price so if you need a ride txt 5132403618!,2012-11-17T10:15:56-05:00,emailnotfound
"jim butcher cold days - nov 29 (kansas city, mo)",cincinnati,http://cincinnati.craigslist.org/rid/3415305668.html,"driving to the jim butcher book event in kansas city, mo. ( 707 w 47th st, k.c., mo. 64112 ) nov.29th at 7 pm. 
aprox schedule: leave cincinnati, ohio - wed., nov 28 & drive to kansas city. attend event thursday evening ( i have one xtra ticket ) 
le [...]",2012-11-16T21:49:21-05:00,emailnotfound
if you need a ride look!! (cincinnati/ hamilton),cincinnati,http://cincinnati.craigslist.org/rid/3400785262.html,"if you need a ride message me and ill see what i can do, to and from a store maybe from the bar or familys house ill pick you up 5132403618",2012-11-16T17:45:36-05:00,emailnotfound
cheap ride to any state or city,cincinnati,http://cincinnati.craigslist.org/rid/3414710409.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-16T16:46:24-05:00,emailnotfound
"need a one way/round trip ride to chicago (chicago,il)",cincinnati,http://cincinnati.craigslist.org/rid/3414687917.html,"hi, 
i stay in blue ash, cincinnati and i am planning to go to chicago on wednesday (11/21/12) for the weekend. if anyone is planning to go to chicago on that day in the evening i am willing to pay for gas. i am an engineer by profession and good com [...]",2012-11-16T16:37:05-05:00,emailnotfound
"need a ride to miami, fl !! :) (from cinci to miami)",cincinnati,http://cincinnati.craigslist.org/rid/3351483381.html,"i need a ride to miami, fl asap - i was going to rent a van to take my things but i can't afford it, so please reply only if you have some 
space so i can take my stuff. i do have one piece of furniture. i'll also be taking my small dog. thanks :) ",2012-11-16T16:28:15-05:00,emailnotfound
cinci to toledo i need a ride,cincinnati,http://cincinnati.craigslist.org/rid/3414548042.html,need a ride whenever you ill help you with gas mone please call asap at 586 441 6048 thank you,2012-11-16T15:41:07-05:00,emailnotfound
invitation to 350.org event at freedom plaza (cincy),cincinnati,http://cincinnati.craigslist.org/rid/3414052412.html,"inviting you to come to d.c. with me this weekend for a 350.org event called ""do the math tour"" followed by a rally at freedom plaza to protest the keystone xl pipeline. this is a follow-up to the action started last year to stop this tar sands pipel [...]",2012-11-16T12:37:15-05:00,emailnotfound
cincinnati (d.c.),cincinnati,http://cincinnati.craigslist.org/rid/3413647703.html,"offering shared transportation to d.c. on saturday night 11/17 to any women going this way, please e-mail, thank you 
megan",2012-11-16T09:57:45-05:00,emailnotfound
carpool/rideshare app (ios/android),cincinnati,http://cincinnati.craigslist.org/rid/3345502040.html,"hello ride-sharers/carpoolers, 
app name is rideshare4less a.k.a rs4l 
android - 
https://play.google.com/store/apps/details?id=com.rs4l.rideshare 
ios - 
http://itunes.apple.com/us/app/ride-share-4-less/id490880546?ls=1&mt=8 
imagine going to boston [...]",2012-11-15T19:58:58-05:00,emailnotfound
ihop onething- need a ride!  (cincinnati to kansas city),cincinnati,http://cincinnati.craigslist.org/rid/3411909153.html,"i am going to the onething conference with international house of prayer from dec 27/28ish to the 1st of jan. 
my car will not make it and i would love to get a ride there, i can contribute 40 towards gas. let me know if you can get me either there o [...]",2012-11-15T14:02:32-05:00,emailnotfound
transportation to arrowhead stadium in kansas city from kci (kansas city),cincinnati,http://cincinnati.craigslist.org/rid/3411578268.html,"johnnys arrive alive of kc can get you to and from kci to arrowhead stadium, 
we offer: 
- flight tracking (for on time pick-up) 
- private sedans and minivans 
- door to door service 
- roundtrip 
- complimentary snacks and beverages while in route  [...]",2012-11-15T12:00:30-05:00,emailnotfound
need ride to chicago 12/6 (kenwood),cincinnati,http://cincinnati.craigslist.org/rid/3411139941.html,"in need of a ride to chicago. 
will be needing to leave 12/6/12(thursday). 
if going -- call six oh two nine one one six -- call and speak!!!! 
texting on this phone has been disabled. 
included in message estimate expectation for help out with gas e [...]",2012-11-15T08:24:31-05:00,emailnotfound
if ride needed call me (cincinnati/ hamilton),cincinnati,http://cincinnati.craigslist.org/rid/3410342291.html,if you need a ride let me know and i will try my best to help make an offer txt 5132403618 ,2012-11-14T19:14:08-05:00,emailnotfound
ride needed to louisville from nky (nky),cincinnati,http://cincinnati.craigslist.org/rid/3409651819.html,need a ride to louisville any time after noon tomorrow. will chip on gas. emails come straight to my phone so email me back and i'll be in contact quickly,2012-11-14T14:28:11-05:00,emailnotfound
heading anywhere for thanksgiving weekend. anyone need a ride? (northern kentucky),cincinnati,http://cincinnati.craigslist.org/rid/3408973336.html,"my family is going to be out of town for thanksgiving weekend, so rather than sit home alone and be bored, i want to head somewhere preferably warmer and somewhere i've never visited before, and have my own adventure. if someone needs a ride (and wou [...]",2012-11-14T10:13:15-05:00,emailnotfound
"cincinnati north on 75-will stop anywhere on way (vanderbilt/gaylord, mi)",cincinnati,http://cincinnati.craigslist.org/rid/3408425400.html,"on thanksgiving day (nov 22)--possibly on wed afternoon/evening-- i plan to drive from cincinnati up to vanderbilt, mi (up north). i would be happy to stop in toledo, ann arbor/detroit, flint, saginaw, etc. anywhere on the way. my return trip will be [...]",2012-11-13T23:51:01-05:00,emailnotfound
"cincy to bloomington, in ride needed (clifton)",cincinnati,http://cincinnati.craigslist.org/rid/3407379751.html,"looking for a one way ride to bloomington, in on either 19th or 20th. i am flexible. i need to be there by 20th by 4 pm at the latest. anyone going towards indianapolis or bloomington, in can pick me up. i can share gas and driving. i am an excellent [...]",2012-11-13T15:15:48-05:00,emailnotfound
today i need ride to work (eastgate to batavia),cincinnati,http://cincinnati.craigslist.org/rid/3407073085.html,i just started a job yesterday and my only transportation broke down. i may need a ride to and from work all this week. if you can help please call no emails. 5138435254 need to get there by 4 pm today. thank you ,2012-11-13T13:24:14-05:00,emailnotfound
looking for a rideshare (cincinnati to colorado),cincinnati,http://cincinnati.craigslist.org/rid/3406986663.html,"i'm going to visit/help on an organic farm in durango, colorado for the month of january. i need a ride leaving cincinnati any time between december 31 and january 6. i can help with gas money and have a license to help with driving if that is desire [...]",2012-11-13T12:53:29-05:00,emailnotfound
afternoons from clifton to blue ash (usa insulation 10979 reed hartman ),cincinnati,http://cincinnati.craigslist.org/rid/3406559074.html,"looking for ride to blue ash most weekday afternoons. 
also looking for ride back to clifton around 9pm most weekdays. 
can pay for gas of course. martin 293-8254 ",2012-11-13T10:11:25-05:00,emailnotfound
please help (cincinnati),cincinnati,http://cincinnati.craigslist.org/rid/3404950973.html,please help looking for any labor work can fix cars can do household jobs !! i am homeless in cincinnati and need work !! i have no resources to beable to count on !! i will work for housing or work for next to little money !! i am a hard and dependa [...],2012-11-12T15:27:50-05:00,emailnotfound
ride offered cincy/columbus-washington dc d dc tues/weds 1 person only (cincinnati columbus ohioto nw dc),cincinnati,http://cincinnati.craigslist.org/rid/3404605084.html,cal l 2023619060 asap if need a ride tomorrow of wedsnesday this week to dc or cumberland or morgantown towards dc thanks and room for only1 with little baggage ,2012-11-12T13:27:55-05:00,emailnotfound
cinnci to mich or toledo,cincinnati,http://cincinnati.craigslist.org/rid/3404064379.html,going to mich or toledo please call me asap at 586 441 6048 thank you,2012-11-12T10:16:04-05:00,emailnotfound
"need to get to chicago for xmas?  (cincy-chicago, il )",cincinnati,http://cincinnati.craigslist.org/rid/3374373024.html,"i had purchased mega-bus tickets to and from chicago details below: 
to chicago: 
depart cincinnati, oh, w 4th st at race st on december 23, 2012 6:30 pm arrive chicago, il, union station s canal st south of jackson blvd. at december 23, 2012 11:15 p [...]",2012-11-12T05:04:34-05:00,emailnotfound
are you lookin for a ride?? (cincinnati an hamilton),cincinnati,http://cincinnati.craigslist.org/rid/3383697666.html,if you need a ride txt 5132403618 name is kc thank you!,2012-11-10T10:27:59-05:00,emailnotfound
necesita un ray? (blanchester wilmington and milford area ),cincinnati,http://cincinnati.craigslist.org/rid/3398735045.html,necesita un ray yo soy la persona adecuada que usted necesita para un ray a todas partes que usted necesite ir y a cualquier hora ,2012-11-09T18:30:44-05:00,emailnotfound
cincy to utah (moab utah),cincinnati,http://cincinnati.craigslist.org/rid/3398137386.html,im driving from cincinnati to utah (moab area) mid to late march and then onward to california...ill be stopping in utah for a week or so. im looking for some like minded folks to split gas! let me know if your interested.......text me at five one th [...],2012-11-09T14:24:01-05:00,emailnotfound
transportation service provided at low cost (cincinnati and surrounding areas),cincinnati,http://cincinnati.craigslist.org/rid/3397753089.html,"we provide transportation services all over ne ohio! 
don't hesitate to call us for all of your transportation needs. we offer taxi, shuttle and limo services. we are open 24 hours a day, 7 days a week. 
location: 
47 case ave 
akron, oh, 44305 
tel  [...]",2012-11-09T12:05:15-05:00,emailnotfound
cincy to denver/colorado springs 11-11-12 (the back seat),cincinnati,http://cincinnati.craigslist.org/rid/3396955170.html,i am going on a week long trip to colorado with a friend to do some recon on a relocation to colorado. we will be leaving sunday 11-11-12 and coming back the following sunday 11-18-12. we will be traveling around playing disc golf and scoping out the [...],2012-11-09T00:55:35-05:00,emailnotfound
lf some one to share a trip during winter break (oxford),cincinnati,http://cincinnati.craigslist.org/rid/3396857560.html,"i do need to enrich my blank winter break from dec. 14 to jan. 14. if you have any trip idea, and do not mind to add someone, please email me. 
perfer someone experienced with budget travel. if not, it doesnot matter we could plan together. 
the trip [...]",2012-11-08T23:26:14-05:00,emailnotfound
"ride needed to detroit, mi (yellow spgs, oh)",cincinnati,http://cincinnati.craigslist.org/rid/3395699977.html,"hi there, 
i'm looking to make it home for thanksgiving with my family. i live in yellow springs, oh and am trying to get to detroit, mi- my folks live in a suburb called rochester hills. i would like to leave sometime between nov 17th and the 19th.  [...]",2012-11-08T14:03:35-05:00,emailnotfound
nj for thanksgiving (cincy to nj),cincinnati,http://cincinnati.craigslist.org/rid/3395534440.html,"hi all, 
i am traveling east for thanksgiving. 
i will leave early morning on the 21st of november, and travel east towards philadelphia / trenton area. i have a reasonable amount of space, but will be transporting 2 kittens, so its best if you aren' [...]",2012-11-08T13:03:21-05:00,emailnotfound
headed to wyoming (from northern kentucky),cincinnati,http://cincinnati.craigslist.org/rid/3395301100.html,"hey guys, i'm moving out to wyoming... need a rride hit me up, i am a 21 year old male and smoke cigarettes.",2012-11-08T11:39:01-05:00,emailnotfound
"boston for christmas? (cincinnati, oh)",cincinnati,http://cincinnati.craigslist.org/rid/3394757470.html,"i'm looking for a college student or someone who is willing to share the drive to boston, ma and back to cincinnati over christmas week. 
must be willing to submit to a background check. this is only to protect my safety and give me peace of mind. 
w [...]",2012-11-08T05:50:28-05:00,emailnotfound
ride this sun for $ (nky),cincinnati,http://cincinnati.craigslist.org/rid/3394489001.html,i am in need of a ride this sunday afternoon from northern kentucky to cincinnati. i then need a ride later in the evening from cincinnati back to northern kentucky. i can pay you money for your services. ,2012-11-07T23:22:01-05:00,emailnotfound
butler county to canton/akron/cleve (butler county),cincinnati,http://cincinnati.craigslist.org/rid/3394237359.html,"i have 3 trash pumps i need picked up in butlercounty, ohio, and brought to me in canton. if anybody is coming this way or close. maybe going up i 77 to cleve, or even columbus or mansfield maybe we could work out a deal for you to make some cash. e  [...]",2012-11-07T20:37:25-05:00,emailnotfound
short rips around town (avondale),cincinnati,http://cincinnati.craigslist.org/rid/3393770934.html,i live at the end of st. bernard and can take you on short trips to and from the grocery store or where ever. i'm also available for long trips if we can come to an agreement on pricing. (513)238-9901,2012-11-07T16:54:49-05:00,emailnotfound
ride offered: cincinnati or columbus ohio - washington dc this weekend (cincinnati columbus to dc sat/sun/mon ),cincinnati,http://cincinnati.craigslist.org/rid/3393423254.html,room for one person with little luggage and ideally non-smoker and be able to contribute towards gas..call 202-361-9060 no texts,2012-11-07T14:39:13-05:00,emailnotfound
"leaving for new york city/new jersey today, on 11/07/12 (hamilton/northern cincinnati)",cincinnati,http://cincinnati.craigslist.org/rid/3392262078.html,"im leaving for new york city today at around 10am. im lookin for someone that wants a ride there, that can share gas expense/driving. leaving from cincinnati area. text? or call chris at 513 571 8900",2012-11-07T01:51:09-05:00,emailnotfound
