title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride needed - college station to houston on wed 12/12 (college station),collegestation,http://collegestation.craigslist.org/rid/3417754479.html,"i'm looking for a ride from college station to houston. 
leaving december 12th. need to catch a plane at 7pm contact me on zimride: http://www.zimride.com/ride/share?ride=539750 ",2012-11-18T00:10:20-06:00,emailnotfound
"ride needed, from college station to austin on dec 4 (college station)",collegestation,http://collegestation.craigslist.org/rid/3416060556.html,"i am looking for a ride from college station to austin on dec 4. my flight is 5:00pm. so as long as we can arrive austin before 3:00pm, the leaving time is fine for me. 
really appreciate for the help, i will share the gas.",2012-11-17T09:32:32-06:00,emailnotfound
anyone driving to or through corpus christi? (bryan),collegestation,http://collegestation.craigslist.org/rid/3380740496.html,"i'm looking for a ride from bryan to corpus christi, preferably leaving this coming tuesday, 11/20, and returning the following sunday, but my schedule can be flexible. 
i'll gladly chip in for gas/road snacks, too, of course. just send me an e-mail  [...]",2012-11-17T09:23:43-06:00,emailnotfound
ride needed from cs to austin saturday 11/17 (college station),collegestation,http://collegestation.craigslist.org/rid/3415464841.html,"i need a ride to austin to be dropped off at highland mall on saturday 11/17. i hope to get there by 3-4pm if possible. 
call me at 281.990.5797 or reply to post. thanks.",2012-11-16T22:49:45-06:00,emailnotfound
need something moved? (north houston),collegestation,http://collegestation.craigslist.org/rid/3407077445.html,i have a 1994 ford ranger work truck if you have something need moved im in north houston 77039 let me know thank you.,2012-11-16T22:33:22-06:00,emailnotfound
ride offered - college station to dallas on wed 11/21 (college station),collegestation,http://collegestation.craigslist.org/rid/3413147918.html,"i'm offering a ride from college station to dallas. 
leaving november 21st. contact me on zimride: http://www.zimride.com/ride/share?ride=536380 ",2012-11-15T23:31:29-06:00,emailnotfound
"offering ride to waco friday, november 16 (college station)",collegestation,http://collegestation.craigslist.org/rid/3385708797.html,"i am offering a ride to waco. 
leaving friday november 16 about 8:00am. 
getting back to cs friday, november 16 about 9:00pm.",2012-11-15T22:41:34-06:00,emailnotfound
ride offered - college station to austin on fri 11/16 (college station),collegestation,http://collegestation.craigslist.org/rid/3412464666.html,"i'm offering a ride from college station to austin. 
leaving november 16th. contact me on zimride: http://www.zimride.com/ride/share?ride=535572 ",2012-11-15T16:50:49-06:00,emailnotfound
ride offered - cs to dallas/plano/mckinney 11/16 (cs),collegestation,http://collegestation.craigslist.org/rid/3411455523.html,"hello, i'm offering a ride to dallas on fri (11/16). one way or round trip. i go up on 45 and join 75 to downtown dallas. 
i can drop off on mockingbird ln, or all the way up to mckinney. 
please email me. i'm taking off on fri in the morning (latest [...]",2012-11-15T10:12:55-06:00,emailnotfound
ride offered - college station to austin on sat 11/17 (college station),collegestation,http://collegestation.craigslist.org/rid/3410404800.html,"i'm offering a ride from college station to austin. 
leaving november 17th. contact me on zimride: http://www.zimride.com/ride/share?ride=530224 ",2012-11-14T18:46:02-06:00,emailnotfound
ride offered - college station to killeen on tue 11/20 (college station),collegestation,http://collegestation.craigslist.org/rid/3410401005.html,"i'm offering a ride from college station to killeen. 
leaving november 20th. contact me on zimride: http://www.zimride.com/ride/share?ride=533005 ",2012-11-14T18:44:01-06:00,emailnotfound
