title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need a ride! - charlotte to columbia!,columbia,http://columbia.craigslist.org/rid/3416370243.html,i need a ride from charlotte nc to columbia sc on monday the 19th. i need to be in columbia by 7:00pm. can pay for all of the gas and a bit more for the trouble. email me back or call me at 704-258-1788 ,2012-11-17T12:37:31-05:00,emailnotfound
need a ride?? contact me!! (north/south carolina),columbia,http://columbia.craigslist.org/rid/3386375838.html,"rides offered through out north/south carolina 
prices are much more cheaper then taxi fare and i do affordable weekly rates based on your income!! so call, text or even e-mail me now!! : )) 
(7 days a week 6am-12am = midnight) i'm available all day  [...]",2012-11-16T13:42:36-05:00,emailnotfound
need ride from park st. to lady&assembly weekday mornings (park &amp; beaufort st columbia),columbia,http://columbia.craigslist.org/rid/3411085695.html,"i am in need of a short ride from corner of park and beaufort in earlewood park neighborhood to assembly and lady or main and lady in downtown columbia, sc by 8:45 am weekday mornings. being picked up as early as 8:30 am would be fine as well. it's a [...]",2012-11-15T07:31:05-05:00,emailnotfound
"need ride from (11/30) & to (12/2) charleston, sc",columbia,http://columbia.craigslist.org/rid/3410742429.html,"hey there. i am visiting my brother in columbia, south carolina from friday, november 30th - sunday, december 2nd. 
i would love to catch a ride charleston to columbia on friday night (11/30) and/or a ride from columbia to charleston on sunday aftern [...]",2012-11-14T23:09:39-05:00,emailnotfound
"ride to and from carolina, clemson game.",columbia,http://columbia.craigslist.org/rid/3409045867.html,"i will take a group of up tp 6 people to the carolina clemson game, wait and return for $500. this is an all day flat rate. leave as early as you want return as late as you want, stop eat whatever you get a driver and a town and country minivan all d [...]",2012-11-14T10:44:57-05:00,emailnotfound
offering rides to and from charlotte and columbia  (charlotte columbia),columbia,http://columbia.craigslist.org/rid/3407649112.html,i travel back and forth between columbia and charlotte and figured i would offer up a free ride share if anyone is interested. i am a young professional male and just your average guy. feel free to drop me a line if you are in need of a ride. thanks! [...],2012-11-13T16:58:40-05:00,emailnotfound
ride to new york  11/16 (columbia sc),columbia,http://columbia.craigslist.org/rid/3406761256.html,ride to nyc 11/16 7:00pm visit: www.getawaytravels.org visit: www.getawaytravels.org visit: www.getawaytravels.org visit: www.getawaytravels.org visit: www.getawaytravels.org visit: www.getawaytravels.org visit: www.getawaytravels.org ,2012-11-13T11:32:52-05:00,emailnotfound
ride offered - west columbia to washington on sat 11/17 (west columbia),columbia,http://columbia.craigslist.org/rid/3404924558.html,"i'm offering a ride from west columbia to washington. 
leaving november 17th returning november 17th. i'm not a bad driver, i promise! this is particularly for those heading to move:dc. contact me on zimride: http://www.zimride.com/ride/share?ride=52 [...]",2012-11-12T15:18:20-05:00,emailnotfound
columbia(pelion) to n. myrtle beach thanksgiving (pelion),columbia,http://columbia.craigslist.org/rid/3399539274.html,"couple seeking ride to north myrtle beach the day before thanksgiving, will cover gas. also seeking return trip on sunday or saturday after. 
please text or call 803-834-2918 or reply to this post with nmbride to receive response. thank you.",2012-11-12T07:45:05-05:00,emailnotfound
blythewood ride needed (blythewood),columbia,http://columbia.craigslist.org/rid/3399905631.html,"seeking transportation to work in blythewood, sc. i was just hired by the belks distribution center in blythewood, sc, but my hours are 11 p.m. to 6 a.m. monday through friday. i live in blythewood off of wilson blvd., but i don't have a drivers lice [...]",2012-11-10T10:59:27-05:00,emailnotfound
