title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need ride to jeff city (columbia),columbiamo,http://columbiamo.craigslist.org/rid/3413191596.html,can somebody give me a ride to jeff city next week before thankgiving will pay for gas 573fourfournine8fourfive3 usally home after 7:00 i do have answering machine leave # and i will call back when i get in thanks to anybody that reads this and helps [...],2012-11-18T06:47:58-06:00,emailnotfound
ride needed to nashville - end of november,columbiamo,http://columbiamo.craigslist.org/rid/3414250091.html,couple needs a ride to nashville (tn) last days of november (28 or 29). you can collect us around springfield (mo) or let us know where. ,2012-11-16T12:48:35-06:00,emailnotfound
need ride to chicago area (dekalb),columbiamo,http://columbiamo.craigslist.org/rid/3409451831.html,"looking to get my son a ride home for the holidays, he's 15 in the columbia area to anywhere in the chicagoland area.. dekalb or naperville would be preferred but anywhere close is good. any day 
today to next wednesday .. thanks.",2012-11-14T12:15:32-06:00,emailnotfound
need ride to jeff city next week (columbia),columbiamo,http://columbiamo.craigslist.org/rid/3409067685.html,i need a ride to jeff city to have thankgiving dinner with my mom next week anytime before thursday the 22 of november i will help with gas can someone help me out on this i would be very thankfull if you did thanks for reading my ad------573fourfour [...],2012-11-14T09:53:49-06:00,emailnotfound
"ride needed to chicago area (moline, il)",columbiamo,http://columbiamo.craigslist.org/rid/3406640566.html,"2 individuals need ride to moline, il tomorrow or thursday early, please! we can help with both driving and gas cost. one british male and one female from n.c. thank you! you can also text at: 215-874-4668.",2012-11-13T09:46:23-06:00,emailnotfound
fulton toronto// toronto fulton (fulton),columbiamo,http://columbiamo.craigslist.org/rid/3405696187.html,goin drive from fulton to toronto in 11/ 15 or 16 /12 stays there about week and drives back home again welcome riders wit drives and gas help interested send message before 15,2012-11-12T19:46:04-06:00,emailnotfound
ride needed to nashville - end of november,columbiamo,http://columbiamo.craigslist.org/rid/3403129560.html,couple needs a ride to nashville (tn) last days of november (28 or 29). you can collect us around springfield (mo) or let us know where. ,2012-11-11T18:52:04-06:00,emailnotfound
need ride to st.louis airport on nov.19 (rock quarry rd),columbiamo,http://columbiamo.craigslist.org/rid/3401062571.html,i need a ride to st.louis airport on nov.19th since i have a flight in the afternoon of nov.19th. share gas fee. thanks very much!,2012-11-10T18:25:54-06:00,emailnotfound
im driving columbia to kansas city nov 11 wanna go? (columbia to kc),columbiamo,http://columbiamo.craigslist.org/rid/3400093892.html,"im driving from columbia missouri to kansas city missouri tommorow (sunday nov 11) leaving about noon 
three,one,four,two,two,one,four,two,seven,eight try it it works name is eric",2012-11-10T11:13:47-06:00,emailnotfound
driver or ride share (columbia to chicago),columbiamo,http://columbiamo.craigslist.org/rid/3391311134.html,"taking a trip from columbia to chicago. round trip. looking to leave within the week, stay 3-4 days, and return. 
looking for a driver or someone else visiting chicago. 
e-mail if interested and we can agree on the date to leave and return.",2012-11-06T15:03:27-06:00,emailnotfound
need ride fulton to jeff city and back (11/12/12 by 1pm ),columbiamo,http://columbiamo.craigslist.org/rid/3386842067.html,i need to be in jeff city for 3 hours for a satop meeting from 1pm till 4. will need a ride back. and mite need to go fore 5 weeks we can talk about.,2012-11-04T17:13:27-06:00,emailnotfound
"ride wanted from columbia on 70-w (columbia, mo)",columbiamo,http://columbiamo.craigslist.org/rid/3386304541.html,"looking for a ride from columbia westwards to marshall on nov. 9. if i can get as close as the junction with 65, that'll work just great. i'll help with gas, let me know if you're headed that way.",2012-11-04T12:57:13-06:00,emailnotfound
nov 19th to st.louis airport (mu campus),columbiamo,http://columbiamo.craigslist.org/rid/3375768021.html,"we three need a ride to st.louis airport in the morning of nov.19th, we are glad to share gas fee. thanks!",2012-10-30T17:19:15-05:00,emailnotfound
columbia to kc (columbia),columbiamo,http://columbiamo.craigslist.org/rid/3367739002.html,i'm going to kansas city tomorrow. if you would like to ride along please contact me. 660-215-0696. ,2012-10-26T22:06:57-05:00,emailnotfound
columbia to dc and ny (east),columbiamo,http://columbiamo.craigslist.org/rid/3366041637.html,driving through missouri on way to dc and ny. i have space for 2 and can take a pet. text and call 410.two-nine-two.2049,2012-10-26T09:04:29-05:00,emailnotfound
columbia to springfield (columbia),columbiamo,http://columbiamo.craigslist.org/rid/3365545441.html,"i'm offering a ride from columbia, mo to springfield, mo this saturday. please contact me to talk details. 660-215-0696. ",2012-10-25T22:47:18-05:00,emailnotfound
marshall to austin tx (marshall),columbiamo,http://columbiamo.craigslist.org/rid/3359412028.html,i am headed to just east of austin tx thrusday nov 1 leaving early in the morning. then will be leaving east austin nov 6 early in the morning. plenty of room. 2004 f-250 ford four door diesel loaded with leather. i am the only one going and would ta [...],2012-10-23T12:29:02-05:00,emailnotfound
from columbia to mexico every day,columbiamo,http://columbiamo.craigslist.org/rid/3265462955.html,"i can take as many as 5 people daily to mexico from columbia. pick up at your location in columbia and deliver 
to your location in mexico. rates are $40.00 per person. if more in group call for pricing. call jim 573-473-8518 
please read!!!!! 
my pr [...]",2012-10-10T18:59:07-05:00,emailnotfound
rolla to columbia (alex's pizza),columbiamo,http://columbiamo.craigslist.org/rid/3328017307.html,i need to get an alex's sausage and mushroom pizza up to columbia before 10/16. can someone help me out?,2012-10-09T17:38:44-05:00,emailnotfound
need ride from columbia to st louis (in the world),columbiamo,http://columbiamo.craigslist.org/rid/3327061683.html,"hello folks my name is annabell and my boyfriend, dog, and i need a ride to st. louis from columbia, missouri sometime close to oct. 10th. we would greatly appreciate any help! please shoot me an email if you are interested. thank you and have a love [...]",2012-10-09T11:33:37-05:00,emailnotfound
columbia to denver  (columbia ),columbiamo,http://columbiamo.craigslist.org/rid/3326993438.html,"me and two friends are biking from indianapolis to denver to find work, and the winter seems to be beating us. we're in columbia right now, and would love a ride to denver. we can help with gas. thanks ahead of time! ",2012-10-09T11:08:59-05:00,emailnotfound
ride needed north to kirksville/memphis,columbiamo,http://columbiamo.craigslist.org/rid/3318075668.html,"hi, 
i am trying to get to a farm in northeast missouri between kirksville and memphis. if anyone is heading up that way and would be willing to host a 24 year old australian in their car i would be very greatful. i will chip in for fuel money and ho [...]",2012-10-05T10:18:05-05:00,emailnotfound
"ride to detroit (columbia, mo)",columbiamo,http://columbiamo.craigslist.org/rid/3283186533.html,"looking for a ride to detroit next week. have a few boxes of books, a bag of clothes and a bike. will share gas money and buy you a meal. please e-mail with details. 
thanks! 
pavan",2012-09-19T17:33:28-05:00,emailnotfound
